,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,The Neighbourhood,Sweater Weather,2QjOHCTQ1Jl3zawyYOpxh6,79,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,240400,4
1,Grouplove,Tongue Tied,0GO8y8jQk1PkHzS31d699N,77,0.56,0.936,3,-5.835,1,0.0439,0.00847,0.0,0.161,0.371,112.96,218013,4
2,Nirvana,Smells Like Teen Spirit,5ghIJDpPoe3CfHMGu71E6T,73,0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,301920,4
3,Smash Mouth,All Star,3cfOd4CMv2snFaKAnMdnvK,78,0.731,0.867,11,-5.881,1,0.032,0.0395,0.0,0.0861,0.776,104.019,200373,4
4,Red Hot Chili Peppers,Under the Bridge,3d9DChrdc6BOeFsbrZ3Is0,80,0.559,0.345,4,-13.496,1,0.0459,0.0576,0.000105,0.141,0.458,84.581,264307,4
5,The White Stripes,Seven Nation Army,7i6r9KotUPQg3ozKKgEPIN,73,0.737,0.463,0,-7.828,1,0.0792,0.00817,0.447,0.255,0.324,123.881,231733,4
6,MGMT,Electric Feel,3FtYbEfBqAlGO46NUDQSAt,76,0.763,0.807,1,-3.714,1,0.035,0.0714,0.28,0.348,0.559,103.038,229640,3
7,The 1975,Somebody Else,5hc71nKsUgtwQ3z52KEKQk,74,0.61,0.788,0,-5.724,1,0.0585,0.195,0.0142,0.153,0.472,101.045,347520,4
8,grandson,Blood // Water,7clyJIrLkEbXUDwj1tC9zz,70,0.504,0.891,6,-5.632,0,0.137,0.00163,0.00199,0.148,0.628,153.988,214520,4
9,X Ambassadors,Unsteady,7lGKEWMXVWWTt3X71Bv44I,76,0.389,0.665,0,-6.169,1,0.0644,0.178,0.000732,0.116,0.199,117.055,193547,4
10,Metallica,Enter Sandman,5BIMPccDwShpXq784RJlJp,73,0.579,0.824,6,-8.71,0,0.03,0.00206,0.00903,0.059,0.635,123.331,331573,4
11,Foo Fighters,Everlong,5UWwZ5lm5PKu6eKsHAGxOk,76,0.412,0.882,11,-5.54,0,0.0369,5.96e-05,0.00031,0.0805,0.356,158.066,250547,4
12,Third Eye Blind,Semi-Charmed Life,42et6fnHCw1HIPSrdPprMl,73,0.64,0.864,7,-6.576,1,0.0315,0.00832,0.0,0.123,0.7,102.026,268360,4
13,Radiohead,Creep,6b2oQwSGFkzsMtQruIWm2p,81,0.515,0.43,7,-9.935,1,0.0369,0.0102,0.000141,0.129,0.104,91.841,238640,4
14,Nirvana,Come As You Are,4P5KoWXOxwuobLmHXLMobV,71,0.5,0.824,4,-5.846,0,0.0388,0.00016,0.00161,0.0916,0.539,120.125,218920,4
15,Skillet,Monster,2UREu1Y8CO4jXkbvqAtP7g,74,0.64,0.957,8,-2.336,1,0.0741,0.0431,0.0,0.0789,0.692,134.992,178013,4
16,3 Doors Down,Kryptonite,6ZOBP3NvffbU4SZcrnt1k6,76,0.545,0.865,11,-5.708,0,0.0286,0.00664,1.12e-05,0.168,0.543,99.01,233933,4
