,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Wolfgang Amadeus Mozart,"Clarinet Quintet in A Major, K. 581: II. Larghetto",6QKJEJuF70YxOaVT90QDgX,0,0.0744,0.0357,2,-27.489,1,0.0431,0.984,0.555,0.11,0.0412,78.35,423093,4
1,Wolfgang Amadeus Mozart,"Piano Concerto No. 22 in E-Flat Major, K. 482: III. Allegro",7JH64rSSRaeX1JuemHCtgz,1,0.277,0.0602,3,-23.29,1,0.0398,0.989,0.919,0.0973,0.264,149.812,660667,3
2,Wolfgang Amadeus Mozart,"Le Nozze di Figaro, K. 492: Overture",7KxQSPXuMk79BWBNfxFILY,1,0.334,0.175,2,-17.733,1,0.0351,0.966,0.938,0.15,0.392,144.226,256160,4
3,Wolfgang Amadeus Mozart,"Piano Concerto No. 20 in D Minor, K. 466: II. Romance",1CH93SPR1haWrSD0qhtFsM,0,0.215,0.0404,10,-24.241,1,0.0329,0.989,0.833,0.118,0.112,94.451,493973,4
4,Wolfgang Amadeus Mozart,"Violin Concerto No. 2 in D Major, K. 211: II. Andante",1OEWKurO9oqty0Sc6Smq5A,0,0.134,0.0987,7,-24.376,1,0.0461,0.843,0.477,0.0928,0.042,85.356,506480,4
5,Wolfgang Amadeus Mozart,"Piano Sonata No. 8 in A Minor, K. 310: II. Andante cantabile, con espressione",50rnjB0iN8gBmFYNncJLHG,0,0.434,0.0203,5,-27.701,1,0.0471,0.993,0.933,0.0839,0.174,137.291,478440,4
6,Wolfgang Amadeus Mozart,"Serenade No. 13 in G Major, K. 525 ""Eine Kleine Nachtmusik"": II. Romance (Andante)",6wMXGCDtLjSi1PotngxgOI,1,0.352,0.0832,0,-17.551,1,0.0465,0.973,0.681,0.0716,0.239,124.749,406133,4
7,Wolfgang Amadeus Mozart,"Don Giovanni, K. 527: Overture",0AENs4WqXPwobFSIfj5m4C,0,0.365,0.111,2,-18.211,1,0.037,0.961,0.864,0.0849,0.174,126.084,391813,4
8,Wolfgang Amadeus Mozart,"Violin Concerto No. 5 in A Major, K. 219: II. Adagio",0Sll5U85nfqsGskKgZaPMb,0,0.214,0.0556,4,-22.373,1,0.0461,0.94,0.783,0.0969,0.134,101.588,637000,4
9,Wolfgang Amadeus Mozart,"Piano Concerto No. 6 in B-Flat Major, K. 238: II. Andante un poco adagio",2guANQPP5p0r6gWbNlNW14,0,0.183,0.0365,3,-27.007,1,0.0431,0.993,0.945,0.0835,0.12,75.043,358200,4
10,Wolfgang Amadeus Mozart,"Piano Concerto No. 21 in C Major, K. 467 ""Elvira Madigan"": III. Allegro vivace assai",56z3kEDR2CInanBKgpcmu1,0,0.268,0.124,0,-23.516,1,0.0414,0.989,0.943,0.308,0.342,80.724,396560,4
11,András Schiff,"Aria mit 30 Veränderungen, BWV 988 ""Goldberg Variations"": Aria",4YDEILCnPZNfgA7nYbxT8C,22,0.328,0.0379,7,-31.113,1,0.0413,0.989,0.914,0.116,0.282,64.326,230133,3
12,Martha Argerich,"English Suite No.2 In A Minor, BWV 807: 2. Allemande",0Lt2a6z6CWjtWzJxPMLffl,20,0.358,0.15,9,-26.95,0,0.0469,0.993,0.849,0.0946,0.626,135.485,176333,4
