,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,TOTO,Africa,2374M0fQpWi3dLnB54qaLX,82,0.671,0.373,9,-18.064,1,0.0323,0.257,7.95e-05,0.0481,0.732,92.717,295893,4
1,Fleetwood Mac,Dreams - 2004 Remaster,0ofHAoxe9vBkTCp2UQIavz,78,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,257800,4
2,The Beatles,Here Comes The Sun - Remastered 2009,6dGnYIeXmHdcikdzNNDMm2,81,0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.171,185733,4
3,Creedence Clearwater Revival,Fortunate Son,4BP3uh0hFLFRb5cjsgLqDh,79,0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77,140773,4
4,Lynyrd Skynyrd,Sweet Home Alabama,7e89621JPkKaeDSTQ3avtg,80,0.596,0.605,7,-12.145,1,0.0255,0.181,0.000331,0.0863,0.886,97.798,283800,4
5,Fleetwood Mac,Landslide,5ihS6UUlyQAfmp48eSkxuQ,76,0.414,0.161,7,-22.32,0,0.0318,0.883,0.000223,0.117,0.423,159.375,199493,4
6,Journey,Don't Stop Believin',4bHsxqR3GMrXTxEPLuK5ue,78,0.5,0.748,4,-9.072,1,0.0363,0.127,0.0,0.447,0.514,118.852,250987,4
7,Fleetwood Mac,The Chain - 2004 Remaster,5e9TFTbltYBg2xThimr0rU,77,0.545,0.67,9,-8.81,1,0.0496,0.009,0.000822,0.0451,0.481,151.553,270213,4
8,Eagles,Hotel California - 2013 Remaster,40riOy7x9W7GXjyGp4pjAv,81,0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,391376,4
9,Van Morrison,Brown Eyed Girl,3yrSvpt2l1xhsV9Em88Pul,78,0.491,0.583,7,-10.964,1,0.0376,0.182,0.0,0.407,0.907,150.572,183307,4
10,Electric Light Orchestra,Mr. Blue Sky,2RlgNHKcydI9sayD2Df2xp,78,0.388,0.338,10,-10.054,1,0.0328,0.652,3.72e-06,0.248,0.477,177.784,303373,4
11,Boston,More Than a Feeling,1QEEqeFIZktqIpPI4jSVSF,77,0.377,0.682,7,-8.039,1,0.0299,0.000894,0.00217,0.0504,0.288,108.736,285133,4
12,Tom Petty,Free Fallin',5tVA6TkbaAH9QMITTQRrNv,75,0.623,0.449,5,-13.333,1,0.0253,0.212,0.0,0.0613,0.572,84.383,256000,4
13,The Beatles,Come Together - Remastered 2009,2EqlS6tkEnglzr7tkKAAYD,78,0.533,0.376,9,-11.913,0,0.0393,0.0302,0.248,0.0926,0.187,165.007,259947,4
14,Creedence Clearwater Revival,Have You Ever Seen The Rain,5DnT9a5IM3eMjKgXTWVJvi,70,0.743,0.47,0,-13.154,1,0.029,0.0936,3.15e-05,0.186,0.89,116.122,160333,4
15,Fleetwood Mac,Go Your Own Way - 2004 Remaster,4xh7W7tlNMIczFhupCPniY,72,0.586,0.941,5,-5.139,1,0.0375,0.0167,0.000776,0.068,0.831,135.448,223613,4
16,Aerosmith,Dream On,5MxNLUsfh7uzROypsoO5qe,77,0.307,0.433,1,-10.057,1,0.029,0.388,9.08e-05,0.332,0.224,160.9,266960,4
17,Steve Miller Band,The Joker,1bp2IO61zbQrbWNmKKxg3f,74,0.596,0.448,5,-9.616,1,0.0396,0.365,5.3e-06,0.206,0.796,83.293,264504,4
18,Blue Öyster Cult,(Don't Fear) The Reaper,5QTxFnGygVM4jFQiBovmRo,74,0.333,0.927,9,-8.55,0,0.0733,0.0029,0.000211,0.297,0.382,141.47,308120,4
