,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Dan + Shay,"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,89,0.654,0.63,10,-4.644,1,0.0259,0.153,0.0,0.111,0.43,89.991,167693,4
1,Old Dominion,One Man Band,08dFHFTx6r67MTsYn5ilDR,79,0.706,0.358,6,-8.331,1,0.0348,0.677,0.0,0.107,0.478,75.991,186240,4
2,Luke Combs,Beautiful Crazy,2rxQMGVafnNaRaXlRMWPde,79,0.552,0.402,11,-7.431,1,0.0262,0.676,0.0,0.0928,0.382,103.313,193200,4
3,Gabby Barrett,I Hope,2Hc4t9N2nt37oO4sF9BynI,78,0.561,0.536,6,-6.227,1,0.0346,0.0951,0.0,0.114,0.378,150.014,209229,4
4,Morgan Wallen,Whiskey Glasses,6foY66mWZN0pSRjZ408c00,79,0.614,0.68,6,-4.58,1,0.0289,0.369,1.84e-06,0.115,0.707,149.959,234347,4
5,Maren Morris,The Bones,3npzogdOEiVsieXmmhBepL,79,0.612,0.57,11,-6.642,0,0.0347,0.279,0.0,0.0963,0.335,77.004,197293,4
6,Sam Hunt,Kinfolks,53F1MVa1BWUkTBbVqgVAfN,76,0.565,0.805,0,-4.457,1,0.0489,0.0808,0.0,0.173,0.869,76.04,181933,4
7,Luke Combs,Beer Never Broke My Heart,3RzcoFkZ0AOp2nH71jP504,77,0.54,0.863,1,-4.483,1,0.0481,0.0138,0.0,0.0874,0.64,77.0,186733,4
8,Morgan Wallen,Chasin' You,5MwynWK9s4hlyKHqhkNn4A,77,0.631,0.591,7,-5.785,1,0.0277,0.657,0.0,0.11,0.489,97.074,205453,4
9,Luke Combs,Even Though I'm Leaving,5aZQrb2TXWEh9uZR4HEY3r,77,0.554,0.755,2,-6.04,1,0.0319,0.225,0.0,0.301,0.624,77.962,225253,4
10,Chris Stapleton,Tennessee Whiskey,3fqwjXwUGN6vbzIwvyFMhx,77,0.392,0.37,9,-10.888,1,0.0298,0.205,0.0096,0.0821,0.512,48.718,293293,4
11,Sam Hunt,Body Like A Back Road,7mldq42yDuxiUNn08nvzHO,77,0.732,0.458,5,-7.225,1,0.0311,0.447,0.0,0.136,0.661,98.938,165387,4
12,Kane Brown,Homesick,30RZAuEkYeDXvy46Iv6l7E,75,0.701,0.5,8,-8.82,1,0.0303,0.46,0.0,0.234,0.409,97.028,205400,4
13,Luke Combs,Hurricane,6xHI9KjUjYT0FPtGO8Mxa1,76,0.464,0.813,10,-6.185,1,0.0416,0.0153,0.0,0.254,0.516,75.975,222533,4
14,Dan + Shay,Speechless,3GJ4hzg4lrGwU51Y3VARbF,78,0.616,0.438,1,-5.968,1,0.0298,0.356,0.0,0.24,0.386,135.929,213387,4
15,Kane Brown,Heaven,1HXy5I3HTWq8OvxCn0z7G7,76,0.677,0.556,9,-6.544,1,0.0306,0.263,0.0,0.105,0.521,80.009,179507,4
16,Lee Brice,Rumor,56eGOeSsqdg3FLxdo83TwV,74,0.655,0.56,9,-6.857,1,0.0486,0.749,0.0,0.115,0.599,140.975,198440,4
17,Thomas Rhett,Die A Happy Man,5kNe7PE09d6Kvw5pAsx23n,74,0.595,0.389,2,-9.245,1,0.0349,0.418,1.39e-06,0.116,0.4,166.052,227427,4
18,Luke Combs,She Got the Best of Me,698eQRku24PIYPQPHItKlA,76,0.533,0.907,11,-3.793,1,0.0406,0.0292,0.0,0.386,0.7,150.99,183160,4
19,Lil Nas X,Old Town Road - Remix,2YpeDb67231RjR0MgVLzsG,87,0.878,0.619,6,-5.56,1,0.102,0.0533,0.0,0.113,0.639,136.041,157067,4
20,Luke Combs,When It Rains It Pours,1mMLMZYXkMueg65jRRWG1l,76,0.551,0.801,6,-5.069,1,0.0303,0.013,6.03e-06,0.265,0.625,128.027,240760,4
21,Kane Brown,What Ifs,7zVCrzzEJU7u24sbJPXA5W,75,0.612,0.799,10,-4.603,1,0.0275,0.00898,0.0,0.172,0.687,125.976,188253,4
22,Blake Shelton,God's Country,1dyxS3YzBbL0t8rEVwVQ1K,74,0.538,0.752,10,-5.106,1,0.0396,0.0608,5.39e-06,0.118,0.217,139.984,205107,4
23,Lady Antebellum,What If I Never Get Over You,0qkdE1C0ufnUISKwhg8Wh6,75,0.576,0.724,0,-5.147,1,0.0274,0.016,0.0,0.107,0.34,93.029,206598,4
24,Blake Shelton,Nobody But You (Duet with Gwen Stefani),5M8goiFYynmNxhueYW6grR,74,0.463,0.653,0,-5.515,1,0.0273,0.111,0.000136,0.172,0.233,143.912,194867,4
25,Florida Georgia Line,Blessings,7dnDBbHKyJNFXoeVwO8KBY,74,0.466,0.672,4,-5.926,1,0.036,0.737,0.0,0.0858,0.334,89.081,198520,4
26,Ryan Hurd,To a T,64wjSAPLRnrjNByQCxnX3u,74,0.687,0.641,11,-5.814,1,0.03,0.17,0.0,0.111,0.663,120.04,178813,4
27,Chase Rice,Eyes On You,5AnSllIrgGsCZzZJkVnApx,74,0.606,0.652,9,-6.982,1,0.0281,0.323,0.0,0.201,0.476,97.155,182493,4
28,Luke Bryan,Play It Again,03fT3OHB9KyMtGMt2zwqCT,73,0.506,0.886,11,-3.225,1,0.0655,0.0916,0.0,0.0734,0.595,143.935,226867,4
29,Zac Brown Band,Chicken Fried,4dGJf1SER1T6ooX46vwzRB,75,0.566,0.713,6,-4.25,1,0.0417,0.645,0.0,0.114,0.807,169.864,238147,4
30,Kane Brown,Good as You,19kUPdKTp85q9RZNwaXM15,74,0.634,0.516,8,-6.05,1,0.0373,0.4,0.0,0.142,0.769,153.831,192053,4
31,Ingrid Andress,More Hearts Than Mine,0LcspVKJxhEQQSvVMiTPWz,73,0.413,0.428,0,-7.414,1,0.0296,0.111,0.0,0.114,0.391,79.985,214160,4
32,Lil Nas X,Panini - DaBaby Remix,4SDgTLDYrJ2UrHbkRkg7MD,79,0.717,0.598,5,-5.613,0,0.0809,0.22,0.0,0.122,0.496,153.905,151040,4
33,Thomas Rhett,Look What God Gave Her,2KqJC0koTBUyDlsMt5ok1V,73,0.739,0.85,2,-3.966,1,0.0308,0.0272,0.0,0.181,0.883,113.0,168960,4
34,Luke Bryan,Knockin' Boots,6ERR6e7h6wCqGoz1TjiUJb,73,0.739,0.682,2,-3.728,1,0.205,0.129,0.0,0.328,0.634,131.983,199382,4
35,Riley Green,I Wish Grandpas Never Died,7Dxes6VnfbZYV0S2QTnVuT,72,0.445,0.492,6,-5.717,1,0.0294,0.036,0.0,0.122,0.24,148.013,250413,4
36,Luke Bryan,What She Wants Tonight,5M3v6frAiTyqenNAeQVcxC,73,0.484,0.903,8,-3.9,0,0.0882,0.0649,0.0,0.151,0.716,169.948,186988,4
37,Darius Rucker,Wagon Wheel,3xdjjKMcMOFgo1eQrfbogM,74,0.537,0.66,9,-7.174,1,0.0296,0.455,0.0,0.135,0.574,148.096,298373,4
38,Chris Lane,I Don't Know About You,3yOs8FffuG6hPbzQG9lIqV,73,0.593,0.81,1,-5.733,1,0.0625,0.602,0.0,0.119,0.712,144.011,207933,4
39,Maren Morris,The Bones - with Hozier,1yTTMcUhL7rtz08Dsgb7Qb,76,0.561,0.597,11,-6.0,0,0.0405,0.286,0.0,0.0979,0.355,76.826,197299,4
40,Morgan Wallen,This Bar,7oSq5fbsFkTS9zeJQwMihf,74,0.545,0.884,2,-5.208,1,0.0817,0.115,0.000424,0.0496,0.272,110.015,185733,4
