,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,ILLENIUM,Good Things Fall Apart (with Jon Bellion),6pooRNiLyYpxZeIA5kJ5EX,72,0.643,0.594,2,-5.453,1,0.0318,0.0128,0.0,0.118,0.442,144.033,216668,4
1,ILLENIUM,In Your Arms (with X Ambassadors),70YPzqSEwJvAIQ6nMs1cjY,75,0.404,0.806,2,-4.75,1,0.0496,0.198,0.0,0.114,0.112,148.036,220730,4
2,Cartoon,On & On,4B2kkxg3wKSTZw5JPaUtzQ,70,0.458,0.696,11,-4.742,1,0.0402,0.285,0.0,0.123,0.418,174.141,207069,4
3,ILLENIUM,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],6m8SIT10j41SPpPFOknTmP,66,0.563,0.81,2,-2.921,1,0.0522,0.00522,0.0,0.0846,0.495,129.975,247385,4
4,ILLENIUM,Crashing (feat. Bahari),17Efhyf4A96n0EFXKeB7Ya,65,0.582,0.681,5,-6.138,1,0.0458,0.342,0.0,0.186,0.273,95.995,230000,4
5,ILLENIUM,Crawl Outta Love,0q7oMII7kWTj1ZSX6GT6LU,62,0.376,0.723,7,-2.951,1,0.046,0.178,0.0,0.0815,0.167,84.146,242012,4
6,TheFatRat,Fly Away,0hTrQoqDmFnA4S1PC265e1,67,0.597,0.581,1,-4.565,0,0.0366,0.59,4.38e-06,0.137,0.212,147.987,194268,4
7,K-391,Play,4jp4Z02kzzg8gK0NmDGgml,76,0.52,0.798,6,-5.498,0,0.0391,0.101,0.0,0.0932,0.168,101.944,167977,4
8,Seven Lions,First Time (feat. Dylan Matthew),27YD36FUikKxbp3bKSiKGZ,64,0.422,0.677,11,-5.76,1,0.0365,0.251,3.55e-06,0.16,0.146,150.131,297782,4
9,TheFatRat,Unity,47qYqGPgMTh3l1PRKBHEfI,66,0.707,0.88,4,-3.211,0,0.0317,0.00424,0.0379,0.0534,0.565,105.003,249286,4
10,Seven Lions,Only Now (feat. Tyler Graves),6mE1m1NmzO7slSiN6vzovg,58,0.384,0.808,7,-5.225,1,0.0397,0.00558,8.51e-06,0.116,0.195,149.926,211200,4
11,ILLENIUM,Hold On (with Georgia Ku),5Cevkgj9FyNRFIwY3xSCn8,62,0.506,0.744,9,-3.605,1,0.042,0.0463,6.62e-06,0.52,0.396,76.056,235263,4
12,ILLENIUM,Beautiful Creatures (feat. MAX),4pWawf1Rq4qHDv4Ktqjg2D,63,0.589,0.826,0,-4.577,0,0.0776,0.0663,0.000735,0.367,0.215,117.099,240508,4
13,Noisestorm,Crab Rave,4qDHt2ClApBBzDAvhNGWFd,68,0.768,0.933,2,-2.95,0,0.0385,0.206,0.915,0.0833,0.245,124.996,161280,4
14,TheFatRat,Monody (feat. Laura Brehm),3VvBPkc24zC7x05mgJTyGO,64,0.53,0.69,1,-3.591,0,0.035,0.114,0.00217,0.0969,0.224,107.014,290467,4
15,ILLENIUM,Lonely (with Chandler Leighton),2tPzQueGEjxjmBvJrYe02u,59,0.451,0.402,9,-4.63,1,0.0286,0.597,3.77e-06,0.294,0.129,92.93,270968,4
16,Said the Sky,All I Got,1iaTDu4PCIWQQOwwwqq5qW,60,0.325,0.578,2,-6.786,1,0.0455,0.158,0.00479,0.575,0.103,144.745,315724,4
17,ILLENIUM,Sad Songs (& Said The Sky with Annika Wells),4pioeMejnqa4T3QAEqwVA3,59,0.532,0.571,1,-6.291,1,0.041,0.679,0.0,0.109,0.475,144.912,210423,4
18,Seven Lions,Rush Over Me,6BDLcvvtyJD2vnXRDi1IjQ,61,0.441,0.753,0,-4.074,1,0.044,0.0701,0.0,0.027,0.254,135.015,259556,4
19,ILLENIUM,Take You Down,6f1oG9hTx3NETgV6q4rkw5,59,0.275,0.657,11,-3.9,1,0.0431,0.396,0.000148,0.305,0.219,169.638,221398,4
20,TheFatRat,Stronger,0iTI5FTB9iEUtcMdx9YyZS,63,0.673,0.916,6,-3.814,0,0.0344,0.0658,0.0587,0.0769,0.513,160.025,205500,3
21,ILLENIUM,Where'd U Go,2oL0HIuo0cxIycDtJWbpuN,59,0.464,0.637,2,-4.37,1,0.0694,0.0302,3.37e-05,0.0876,0.281,186.1,184556,4
22,Seven Lions,Island (feat. Nevve),3HKiR4t12GW18bnPUVhx5l,58,0.427,0.836,5,-3.323,0,0.0466,0.0456,0.00238,0.369,0.248,150.128,278400,4
23,Seven Lions,Strangers,2U0pVx4m1Kdm1Gsjjm6iq8,57,0.577,0.697,0,-7.429,0,0.0399,0.0142,1.6e-06,0.157,0.489,129.978,204213,4
24,TheFatRat,Rise Up,6inzGTxyGsXVjpVKtFGrcE,62,0.614,0.694,10,-5.713,0,0.0932,0.254,2.63e-06,0.0733,0.578,163.942,169756,4
25,Janji,Heroes Tonight,3SipFlNddvL0XNZRLXvdZD,67,0.537,0.786,8,-4.331,1,0.0317,0.0719,0.0,0.253,0.18,128.0,208140,3
26,ILLENIUM,God Damnit (with Call Me Karizma),2wm6DCnWcWwfsIl0LvWYZ8,59,0.68,0.618,7,-5.469,1,0.0981,0.293,0.0,0.252,0.367,96.104,215874,4
27,Cartoon,Why We Lose,5NmENli4oodYuWrI0vSGK4,64,0.424,0.921,4,-3.174,0,0.0427,0.00118,0.00817,0.328,0.0973,174.986,197486,4
28,ILLENIUM,Leaving,5XlvOh5YbJMp7CU3NoksNf,57,0.281,0.639,11,-3.452,1,0.0381,0.0359,1.7e-05,0.951,0.186,140.776,234857,4
29,Jacob Tillberg,Ghosts,1Rpj9CZE7cGSXUCfiBf0eA,58,0.719,0.809,6,-4.679,1,0.182,0.286,0.0,0.081,0.238,125.072,215050,4
30,Tristam,Flight,23qSOTzMlj97ltJyah0lnV,63,0.495,0.756,4,-5.734,0,0.655,0.0409,2.67e-05,0.102,0.217,87.396,219429,4
31,TheFatRat,MAYDAY,5xXB7wVgRmBHoMBmcfEE3C,60,0.416,0.564,6,-7.092,0,0.032,0.0138,0.00567,0.105,0.132,149.718,247340,4
32,ILLENIUM,Sound of Walking Away,5WggjuxMubr94bo33Aan4K,59,0.345,0.79,2,-2.761,1,0.065,0.075,0.000165,0.101,0.208,179.849,253333,4
33,Deaf Kev,Invincible,7MTZVwYiEahXQIyCU2FLPV,63,0.567,0.97,5,-2.858,0,0.0497,0.000153,0.705,0.0763,0.278,100.011,279600,4
34,ILLENIUM,That’s Why (with GOLDN),4HQwS0eDQ57zOER0fp7DoD,57,0.487,0.621,2,-4.676,1,0.0333,0.091,0.0,0.132,0.178,140.04,252913,4
35,TheFatRat,Xenogenesis,6QJnaTEqZYHoA1RWv9NHKS,60,0.544,0.608,10,-8.058,0,0.0287,0.0313,0.736,0.0912,0.0876,145.055,233379,4
36,Seven Lions,Another Me (with Dylan Matthew),6sLohu3lQbmMhYVnb6OTvw,57,0.453,0.894,0,-3.493,0,0.0544,0.0168,0.0,0.15,0.297,75.063,208052,4
37,Lost Sky,Fearless,7HU0fgCVI8ZcdCum2bZThz,65,0.669,0.937,6,-4.325,1,0.0397,0.302,0.783,0.118,0.344,110.006,194284,4
38,OMFG,Hello,6BAnxKyld909yo6Pk1DO3r,63,0.844,0.864,7,-4.483,0,0.0348,0.0339,0.216,0.386,0.796,104.997,226308,4
39,ILLENIUM,Fractures (feat. Nevve),6H0zRPEV1ezBHOidNXSt1D,58,0.41,0.711,4,-3.064,1,0.0432,0.373,0.00179,0.139,0.266,159.837,245250,4
40,ILLENIUM,Broken Ones (with Anna Clendening),6tPnAqe6UNeKMoOrruBSEi,57,0.545,0.668,7,-3.962,0,0.0906,0.148,0.0,0.372,0.249,149.988,198286,4
41,ILLENIUM,It's All on U - T-Mass & LZRD Remix,0Vc3nfRMdvY5iX6AHVWSMN,59,0.536,0.782,7,-4.139,0,0.0485,0.039,3.64e-05,0.0691,0.405,154.93,204778,4
42,ILLENIUM,Lost,4rIAqwhHGfWChQvQGYwEfR,57,0.673,0.616,8,-5.906,1,0.0482,0.101,0.00653,0.0966,0.327,135.048,200000,4
43,ILLENIUM,Fractures,4G3IXyVRxSx5lLhUvv3fu3,57,0.41,0.711,4,-3.064,1,0.0432,0.373,0.00179,0.139,0.266,159.837,245250,4
44,Vicetone,Nevada,02shCNmb6IvgB5jLqKjtkK,68,0.605,0.783,3,-4.271,1,0.0324,0.299,0.000175,0.133,0.105,124.015,208562,4
45,Diamond Eyes,Everything,2goIIAg5kdzfwclJMFZM33,60,0.609,0.681,10,-4.084,1,0.0516,0.0509,0.0,0.0845,0.386,140.038,267429,4
46,Unknown Brain,Superhero,7EYv3adMrIC5mqurz7fHhD,67,0.669,0.937,8,-4.054,0,0.0714,0.028,1.79e-05,0.318,0.223,75.013,179225,4
47,Flux Pavilion,I Can't Stop,5WSL7UTa38jMWoBzObD4BD,55,0.524,0.601,0,-13.399,0,0.0335,0.00108,0.601,0.398,0.314,139.972,305786,4
48,TheFatRat,The Storm,5Uh1uXAwxHdzeENqcBVZIH,60,0.68,0.735,11,-6.271,0,0.0345,0.267,0.0003,0.0819,0.402,93.995,168578,4
49,Rich Edwards,Burst,7z0OR6Ul8ugATT4CRBoUOd,30,0.566,0.716,6,-6.753,0,0.0952,0.0634,0.0,0.495,0.681,92.806,186024,4
50,Said the Sky,Hero,1TbtdFSGDB7tREDarNlUne,55,0.561,0.666,4,-5.268,1,0.0471,0.172,0.0,0.11,0.258,77.5,249371,4
51,Unknown Brain,Control,4SF6S1UUsTes8qQfpnnOWB,64,0.548,0.767,5,-4.092,0,0.0609,0.00337,1.76e-05,0.181,0.302,99.976,166800,4
52,Tobu,Candyland,6V7vDKrlnxOvZoIhZk9CjF,59,0.686,0.848,4,-4.149,1,0.0386,0.043,0.00221,0.462,0.338,127.976,200673,4
53,Prismo,Solo,5aWooiRZSWS0P4I5dzLkUJ,60,0.442,0.846,10,-4.11,0,0.107,0.000352,0.0106,0.376,0.506,179.936,183755,3
54,MitiS,Moments,4mj0eDXQaPjTIub0CI9dpW,54,0.498,0.778,2,-3.236,1,0.0508,0.463,0.0,0.101,0.182,149.89,278400,4
55,Flux Pavilion,Lion's Cage - Heyz Remix,7yaMzzNy6JTwfeQtL4epPw,51,0.472,0.734,7,-3.582,1,0.094,0.029,0.132,0.111,0.261,149.985,233825,4
56,ILLENIUM,Needed You,4d42YQbGZxwYq7YZiCkTDb,54,0.173,0.717,1,-4.292,0,0.0475,0.158,0.000417,0.089,0.317,183.745,305571,5
57,Seven Lions,Only Now (feat. Tyler Graves) [ABGT369],3eLsLsf6lDYFBkGDSXYALv,29,0.353,0.677,7,-10.963,1,0.0543,0.00195,1.52e-05,0.852,0.189,149.924,203005,4
58,ILLENIUM,Free Fall,4ZAerT2NicBmzZ4VkpmWEn,54,0.429,0.524,2,-4.399,1,0.0383,0.458,6.17e-05,0.124,0.227,133.97,205970,4
59,TheFatRat,Windfall,7HX6O8k7gAHFzm9Dd50Kuz,58,0.651,0.852,0,-5.439,0,0.0301,0.0471,0.696,0.0658,0.397,101.992,228382,4
60,Disfigure,Blank,2EjSewEKEZShOUBwFXUrK5,61,0.619,0.642,11,-5.194,0,0.0328,0.00154,1.38e-06,0.158,0.448,140.012,208901,4
61,Defqwop,Heart Afire,4s4XzNKcU3PtmeV7OdXDmv,61,0.414,0.708,0,-4.181,0,0.0912,0.0316,0.0,0.0623,0.392,199.9,240039,4
62,ILLENIUM,With You,1BsCq2fxpa1llb73lDdgw5,54,0.676,0.697,7,-5.934,1,0.0412,0.0772,4.65e-05,0.326,0.118,89.95,186125,4
63,Said the Sky,Show & Tell,2uoWHninMACac1KBFn8rXQ,54,0.667,0.86,1,-3.74,1,0.0527,0.235,0.0,0.135,0.461,150.114,185600,4
64,JVNA,Gurenge,5CPb3hIAHW1YAJsy5n2DQj,54,0.262,0.679,4,-3.882,0,0.0414,0.0737,0.0,0.145,0.0667,149.577,204800,4
65,Ship Wrek,Ark,2hjqFVoMk6ssbfgtHEyhsY,61,0.515,0.745,7,-5.359,0,0.0394,0.0156,0.00787,0.485,0.0687,150.134,180800,4
66,Different Heaven,My Heart,08z6EsebfUH0Q6J0Wf3eWf,61,0.516,0.786,10,-5.264,1,0.0412,0.000279,0.00369,0.305,0.164,174.035,266900,4
67,Dabin,Holding On,71kkmlYkfgbrFNozWnquQi,56,0.491,0.675,5,-5.722,1,0.0368,0.0518,1.19e-05,0.111,0.23,144.98,217655,4
68,TheFatRat,The Calling,2k1bFfcPIRTMeCGO48F0OE,59,0.672,0.504,11,-8.284,0,0.0322,0.423,0.00885,0.117,0.109,109.998,233591,4
69,Different Heaven,Nekozilla,6ULbkJ16YabZNdJMHsIVmE,61,0.745,0.905,6,-5.182,0,0.0473,0.000387,0.148,0.0699,0.378,128.031,168760,4
