,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Frank Sinatra,Fly Me To The Moon (In Other Words),5b7OgznPJJr1vHNYGyvxau,74,0.668,0.26,7,-14.256,1,0.0523,0.453,0.0,0.0621,0.368,119.416,147000,4
1,Frank Sinatra,That's Life,4FmCUATNIarCQh72JYdvnm,73,0.55,0.439,7,-14.193,1,0.071,0.528,0.0,0.437,0.633,111.652,187040,3
2,Frank Sinatra,My Way,3spdoTYpuCpmq19tuD0bOe,71,0.401,0.381,2,-7.458,1,0.0274,0.7,0.0,0.122,0.229,75.454,276800,4
3,Frank Sinatra,Come Fly With Me - Remastered,4hHbeIIKO5Y5uLyIEbY9Gn,68,0.574,0.338,6,-11.376,1,0.042,0.845,0.0,0.165,0.493,67.008,199093,4
4,Paul Anka,Put Your Head On My Shoulder,2DpJ9T2RVRanZcYFHKOAfA,70,0.547,0.335,4,-9.2,0,0.0307,0.747,0.0,0.101,0.474,115.838,154733,3
5,Brenda Lee,Rockin' Around The Christmas Tree,2EjXfH91m7f8HiJN1yQg97,70,0.589,0.472,8,-8.749,1,0.0502,0.614,0.0,0.505,0.898,67.196,126267,4
6,Frank Sinatra,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),4kKdvXD0ez7jp1296JmAts,69,0.653,0.259,2,-13.336,1,0.0595,0.903,0.0,0.362,0.835,142.157,155453,4
7,Bing Crosby,White Christmas,4so0Wek9Ig1p6CRCHuINwW,66,0.317,0.158,9,-16.485,1,0.0381,0.673,0.353,0.338,0.247,130.503,177480,3
8,Andy Williams,It's the Most Wonderful Time of the Year,5hslUAKq9I9CG2bAulFkHN,69,0.24,0.598,7,-8.435,1,0.037,0.766,0.0,0.117,0.776,202.082,151933,3
9,Frank Sinatra,You Make Me Feel So Young - Remastered 1998,2WaYW84yWij5NSCpgSeU2R,64,0.577,0.306,9,-11.559,1,0.0427,0.383,0.0,0.18,0.568,125.166,177400,4
10,Frank Sinatra,I've Got You Under My Skin - Remastered 1998,3aEJMh1cXKEjgh52claxQp,66,0.585,0.247,1,-12.612,1,0.04,0.452,8.85e-06,0.107,0.591,127.15,223760,4
11,Frank Sinatra,Fly Me To The Moon - Remastered,2dR5WkrpwylTuT3jRWNufa,63,0.67,0.365,0,-10.158,1,0.0564,0.525,0.0,0.0575,0.45,119.342,147147,4
12,Perry Como,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),2pXpURmn6zC5ZYDMms6fwa,65,0.725,0.276,7,-12.25,1,0.0599,0.76,0.0,0.116,0.717,112.89,155933,4
13,Bing Crosby,Do You Hear What I Hear? - Remastered 2006,5aDoUmxBsbdpS16alksb5Z,61,0.566,0.246,10,-15.499,1,0.0276,0.813,1.48e-06,0.195,0.412,101.529,165667,4
14,Dean Martin,That's Amore,4I4aQGNJ2HufloNtB65nxR,60,0.471,0.146,10,-13.6,1,0.0309,0.782,0.0,0.0888,0.595,78.554,190400,4
15,Frank Sinatra,"Theme From New York, New York",4ODWgs1CVAZKDbryEodjiz,66,0.407,0.589,2,-5.32,1,0.03,0.547,0.0,0.281,0.559,109.009,204147,4
16,Bing Crosby,Winter Wonderland - Remastered 2006,2IuUMx3uxxJAHcH41aYtn0,60,0.592,0.23,10,-13.603,1,0.0511,0.828,0.0,0.12,0.537,126.655,144253,4
17,Bing Crosby,Mele Kalikimaka (Merry Christmas),04vLj9QUXoKdRlsp3gkURo,59,0.5,0.224,3,-12.431,1,0.0935,0.646,0.0,0.284,0.62,202.481,175333,4
18,Frank Sinatra,Strangers In The Night,74VR3AkGPhbYXnxcOYa16x,65,0.259,0.473,5,-8.275,1,0.0295,0.592,0.0,0.201,0.539,90.348,157867,4
19,Dean Martin,Let It Snow! Let It Snow! Let It Snow!,2uFaJJtFpPDc5Pa95XzTvg,66,0.452,0.24,1,-14.014,1,0.0351,0.912,2.45e-06,0.175,0.701,134.005,117147,4
20,Frank Sinatra,Somethin' Stupid,4feXcsElKIVsGwkbnTHAfV,68,0.257,0.338,4,-12.902,1,0.0357,0.736,0.0,0.252,0.544,207.356,162493,4
21,Dean Martin,Ain't That A Kick In The Head,7fQ3PYTYdu208fQ3JEm2U7,58,0.586,0.253,6,-11.93,0,0.0538,0.604,0.0,0.3,0.718,108.168,147293,1
22,Bobby Darin,Beyond the Sea,3KzgdYUlqV6TOG7JCmx2Wg,65,0.521,0.516,2,-7.456,0,0.0369,0.723,0.0,0.257,0.569,136.483,172480,4
23,Frank Sinatra,The Way You Look Tonight,0elmUoU7eMPwZX1Mw1MnQo,61,0.623,0.24,5,-14.067,0,0.0363,0.798,0.0,0.142,0.587,132.235,202160,4
24,Dean Martin,Volare (Nel Blu Di Pinto Di Blu) - Remastered,5OkKOkdVTKFrYi6GWXkMzR,63,0.612,0.144,6,-12.204,0,0.0352,0.88,0.0,0.203,0.343,128.629,181627,4
25,Bing Crosby,It's Beginning To Look Like Christmas,44mYhOVgerj2qPjkGDVA6n,61,0.473,0.212,0,-15.018,0,0.0496,0.77,0.0,0.136,0.576,96.94,166000,4
26,Dean Martin,Silver Bells,4QX5pZQpQTgVlkqfUTDim0,58,0.273,0.259,8,-13.967,1,0.0306,0.9,0.0,0.308,0.604,97.085,142560,3
27,Bing Crosby,The Little Drummer Boy - Remastered 2006,0pAT3JUEjIiqUkwxE0vbBQ,56,0.636,0.165,10,-14.261,1,0.0327,0.885,4.82e-05,0.0502,0.505,112.771,180040,4
28,Andy Williams,"Moon River (From ""Breakfast at Tiffany's"")",24AIahNHzBxm9S12peXbnG,64,0.281,0.212,6,-15.513,1,0.031,0.86,7.73e-05,0.119,0.195,95.555,162893,3
29,Frank Sinatra,The First Noel - Remastered 1999,6keKIzkXWdbwJWMBJQUwYl,56,0.176,0.153,0,-15.969,1,0.0365,0.956,0.00012,0.158,0.157,84.741,161373,1
30,Frank Sinatra,The Lady Is A Tramp - Remastered,4Z4eU8yoBtBGIQPQrhCFr2,60,0.551,0.144,8,-13.883,0,0.0392,0.515,0.0,0.187,0.648,128.122,194307,4
31,Frank Sinatra,In The Wee Small Hours Of The Morning - Remastered 1998,0Hsc0sIaxOxXBZbT3ms2oj,58,0.29,0.0874,0,-16.119,1,0.0346,0.856,0.000957,0.109,0.0734,114.997,180933,4
32,Dean Martin,Everybody Loves Somebody,78VG6M1i7JQXBdygmWFwye,60,0.26,0.49,3,-9.121,0,0.0415,0.806,0.0,0.336,0.399,80.599,161640,4
33,Paul Anka,Put Your Head on My Shoulder,7eqNATKM78MkWP6aHGXHEV,66,0.549,0.433,7,-8.526,1,0.0327,0.906,0.0108,0.0774,0.486,116.068,155080,3
34,Tony Bennett,Winter Wonderland,4ricyQVd20UQde1jpXCSuJ,62,0.452,0.366,0,-14.15,0,0.0415,0.833,0.0,0.0789,0.629,115.006,133867,4
35,Frank Sinatra,Jingle Bells,4KV9bM7a1KDc7b7OakFZic,59,0.706,0.383,8,-11.44,1,0.0342,0.758,0.0,0.0608,0.87,86.997,122160,4
36,Bing Crosby,I'll Be Home For Christmas,4lftz0V8DZhWSVtL4GrzMH,54,0.223,0.146,4,-16.084,0,0.0321,0.281,0.0,0.256,0.176,84.041,175173,4
37,Tony Bennett,(I Left My Heart) In San Francisco,1bYItjcPRtxZs6Ir71O5RB,60,0.313,0.078,0,-17.583,1,0.0332,0.955,4.48e-06,0.169,0.125,128.065,170960,4
38,Bing Crosby,What Child Is This/The Holly And The Ivy - Medley / Remastered 2006,6OJdXv1Q5OdLgYolFEunJ4,54,0.336,0.194,10,-15.1,1,0.0322,0.986,0.00259,0.067,0.192,106.325,200960,3
39,Dean Martin,"Baby, It's Cold Outside",4MrfQL4TYQXJBlZYpAHTuE,57,0.469,0.196,0,-16.093,1,0.0571,0.882,0.0,0.0513,0.537,130.036,143733,3
40,Frank Sinatra,Witchcraft,3BTsv0FthgmDwyKlYShwJF,58,0.481,0.242,0,-11.81,1,0.0373,0.493,0.0,0.137,0.389,116.342,173240,4
41,Frank Sinatra,Mistletoe And Holly - Remastered 1999,7faDzZnZYqTyYThx2sbHVQ,58,0.607,0.103,9,-14.405,1,0.0404,0.804,0.0,0.076,0.341,110.378,136427,4
42,Bing Crosby,God Rest Ye Merry Gentlemen,6Uekkm0MOVT4WznQy0ktVR,53,0.466,0.213,0,-12.009,0,0.0448,0.984,9.58e-05,0.428,0.693,97.075,137267,3
43,Frank Sinatra,Mistletoe And Holly,53cumdNGYE6NFmGL0zHvx7,54,0.621,0.147,9,-11.111,1,0.0374,0.821,0.0,0.0754,0.346,110.62,137547,4
44,Frank Sinatra,It Was A Very Good Year,2ID3rNM3hFBjqrLcV0Wr0y,58,0.215,0.142,7,-15.395,0,0.0325,0.862,0.0,0.113,0.126,79.605,267240,4
45,Bing Crosby,Hark! The Herald Angels Sing/It Came Upon A Midnight Clear - Medley / Remastered 2006,4BgkhT5HythXhIBqU2WvhX,53,0.283,0.243,6,-15.178,1,0.0316,0.964,0.000381,0.341,0.338,86.799,186067,4
46,Dean Martin,Rudolph The Red-Nosed Reindeer,2L9QLAhrvtP4EYg1lY0Tnw,61,0.478,0.201,7,-16.768,1,0.0332,0.919,0.0,0.0854,0.857,136.471,135760,4
47,Bing Crosby,Twelve Days Of Christmas,0cAhE2iDJApegDnVRx6fCK,53,0.641,0.413,3,-5.624,1,0.0435,0.926,0.0,0.191,0.834,143.522,203746,4
48,Tony Bennett,The Way You Look Tonight,7yED4n2U8RR5LKZVmisiev,59,0.421,0.0533,0,-22.052,1,0.0405,0.946,0.000437,0.131,0.111,111.996,203307,4
49,Perry Como,"Medley: Caroling, Caroling / The First Noel / Hark! The Herald Angels Sing / Silent Night",5D30yNI3b0HAuaBWAGOImI,53,0.148,0.134,5,-17.292,1,0.0317,0.952,0.00144,0.208,0.107,87.314,290760,5
50,Julie London,I'm In The Mood For Love,6crfO56bDm0RjpctUuGs5X,60,0.581,0.0543,0,-14.595,1,0.0466,0.963,0.000274,0.0968,0.175,124.185,149827,4
51,Dean Martin,"Baby, It's Cold Outside - Remastered",4uQqahi1iUP35xE2qGdKdo,57,0.499,0.304,0,-11.541,1,0.0633,0.81,0.0,0.0546,0.521,129.301,143027,4
52,Frank Sinatra,Blue Moon - 1998 Digital Remaster,5RLzsVW6UNiV2YrOlKwzNN,55,0.644,0.156,1,-16.529,1,0.0329,0.532,0.0,0.105,0.744,113.96,171427,4
53,Doris Day,"Whatever Will Be, Will Be (Que Sera, Sera) (with Frank DeVol & His Orchestra) - Single Version",6yhLR2sVn1IfsScVrR4ocr,62,0.416,0.341,9,-10.749,1,0.0391,0.864,0.0,0.724,0.776,177.229,123360,4
54,Andy Williams,Sleigh Ride,5ymVfeMK8cDew5vzntTuc7,54,0.571,0.634,5,-9.155,0,0.0537,0.724,0.0,0.0864,0.805,109.575,128400,4
55,Frank Sinatra,I've Got The World On A String,4LfgeOiPsAjDgDYSgmntCU,54,0.569,0.372,2,-7.022,1,0.0515,0.809,0.0,0.3,0.5,123.411,129813,4
56,Tony Bennett,O Christmas Tree,2VsCE6ui7N4IRzGIGT7Di8,53,0.445,0.0982,6,-14.339,1,0.0576,0.949,1.71e-06,0.109,0.085,232.69,207253,4
57,Frank Sinatra,Luck Be A Lady,3AgY5gLURlcdYBVGv1RVm7,55,0.362,0.398,8,-13.582,1,0.0465,0.737,0.0,0.282,0.5,151.186,314133,4
58,Bobby Darin,Dream Lover,1KLpjQFgubHI3GkAICCNH3,59,0.526,0.774,5,-1.692,1,0.0459,0.715,0.0,0.437,0.715,131.715,150706,4
59,Dean Martin,You're Nobody 'Til Somebody Loves You - Remastered/1997,4WUcNkpoNSKoe5MUuyzrfC,56,0.503,0.182,0,-16.651,0,0.0323,0.776,0.0,0.178,0.652,63.684,133933,4
60,Bobby Darin,Mack the Knife,3E5ndyOfO6vFDEIE42HA8o,60,0.549,0.529,3,-12.291,0,0.108,0.76,0.0,0.206,0.464,82.755,184333,4
61,Frank Sinatra,The Best Is Yet To Come,3HXdy2r9RzawSwqQCwkjnP,54,0.659,0.3,8,-12.548,1,0.0659,0.51,0.0,0.169,0.461,109.7,173227,3
62,Perry Como,Here We Come a-Caroling / We Wish You a Merry Christmas,1Kcy7qSbf6un30zIkxGVew,54,0.577,0.246,8,-11.543,1,0.101,0.944,0.0,0.126,0.691,95.685,98267,3
63,Frank Sinatra,That's Life - Remastered 2008,4dt6XKr0xKdPzjFhwB8dBm,56,0.392,0.632,4,-6.633,0,0.0529,0.55,0.0,0.457,0.556,114.917,187227,4
64,Doris Day,Again (with The Mellomen),0qB213IfGN0JXXm9aRjldF,55,0.495,0.0209,3,-21.329,1,0.0348,0.981,1.13e-06,0.0753,0.145,62.588,167907,4
65,Herb Alpert & The Tijuana Brass,This Guy's In Love With You,7a3g7jILDCvADVN9NQIyYj,57,0.635,0.167,1,-12.998,1,0.0403,0.858,0.000999,0.213,0.246,83.768,239733,4
66,Frank Sinatra,Have Yourself A Merry Little Christmas - Remastered,2FPfeYlrbSBR8PwCU0zaqq,55,0.262,0.137,8,-15.235,1,0.0344,0.913,6.74e-06,0.267,0.288,92.183,206600,3
67,Frank Sinatra,Saturday Night (Is The Loneliest Night In The Week),7GLmfKOe5BfOXk7334DoKt,54,0.561,0.335,9,-11.093,0,0.0499,0.84,1.52e-06,0.788,0.59,126.974,163000,4
68,Bing Crosby,"It's Been A Long, Long Time - Single Version",4sF6Y45X2b8icGHgWyEI22,51,0.612,0.0375,0,-20.907,1,0.0411,0.969,0.0255,0.118,0.42,78.201,177440,4
