,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,The Lumineers,Ophelia,3d8y0t70g7hw2FOWl9Z4Fm,72,0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.023,160097,4
1,Vance Joy,Riptide,3JvrhDOgAt6p7K8mDyZwRd,77,0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654,204280,4
2,Lord Huron,The Night We Met,0QZ5yyl6B6utIWkxeBDxQN,74,0.545,0.366,2,-9.51,1,0.0378,0.969,0.267,0.641,0.1,86.997,208212,3
3,Passenger,Let Her Go,0JmiBCpWc1IAc0et7Xm7FL,75,0.479,0.545,7,-7.346,1,0.0688,0.365,0.0,0.0963,0.244,74.897,252733,4
4,Van Morrison,Brown Eyed Girl,3yrSvpt2l1xhsV9Em88Pul,78,0.491,0.583,7,-10.964,1,0.0376,0.182,0.0,0.407,0.907,150.572,183307,4
5,John Denver,"Take Me Home, Country Roads",39q7xibBdRboeMKUbZEB6g,76,0.255,0.43,9,-12.564,1,0.0322,0.546,1.87e-05,0.188,0.546,164.267,197813,4
6,The Lumineers,Ho Hey,0W4Kpfp1w2xkY3PrV714B7,69,0.685,0.466,0,-9.074,1,0.0304,0.794,2.06e-06,0.0915,0.353,79.936,163133,4
7,Neil Diamond,Sweet Caroline,62AuGbAkt8Ox2IrFFb8GKV,77,0.529,0.127,11,-16.066,1,0.0274,0.611,0.000109,0.237,0.578,63.05,203573,4
8,Don McLean,American Pie,1fDsrQ23eTAVFElUMaf38X,73,0.531,0.481,4,-11.709,0,0.06,0.699,0.0,0.0842,0.491,138.45,516893,4
9,The Head and the Heart,Honeybee,5CalS8Gn69OOrR9aiw0ZO9,70,0.642,0.52,9,-7.886,1,0.0387,0.118,0.000512,0.552,0.488,136.014,196055,4
10,Amber Run,I Found,5zT5cMnMKoyruPj13TQXGx,72,0.389,0.302,7,-12.485,0,0.0438,0.862,0.00567,0.104,0.234,124.956,273000,4
