,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Arctic Monkeys,Do I Wanna Know?,5FVd6KXrgO9B3JPmC8OPst,81,0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,272394,4
1,MGMT,Electric Feel,3FtYbEfBqAlGO46NUDQSAt,76,0.763,0.807,1,-3.714,1,0.035,0.0714,0.28,0.348,0.559,103.038,229640,3
2,Cage The Elephant,Ain't No Rest for the Wicked,3Pzh926pXggbMe2ZpXyMV7,72,0.634,0.849,0,-7.075,1,0.105,0.0438,0.0,0.363,0.919,156.004,175493,4
3,Cage The Elephant,Cigarette Daydreams,2tznHmp70DxMyr2XhWLOW0,71,0.635,0.675,2,-3.445,1,0.0263,0.0801,0.0,0.0831,0.273,113.946,208760,4
4,Current Joys,New Flesh,6TEiFwaiHERpdfG6WnGed1,70,0.621,0.594,9,-16.066,1,0.0384,0.887,0.498,0.0917,0.698,165.863,167987,4
5,SALES,Chinese New Year,0SIAFU49FFHwR3QnT5Jx0k,73,0.744,0.845,4,-7.422,0,0.253,0.759,0.232,0.1,0.749,75.221,160000,4
6,Banes World,You Say I'm in Love,5Ss6DqCldgTmIo6BekVOJT,67,0.623,0.285,1,-16.687,0,0.0538,0.427,0.00278,0.189,0.343,140.028,176761,4
7,MGMT,Kids,1jJci4qxiYcOHhQR247rEU,75,0.451,0.931,9,-3.871,1,0.0719,0.00076,0.0049,0.361,0.172,122.961,302840,4
8,Crumb,Locket,0bxcUgWlOURkU6lZt4zog0,67,0.393,0.481,1,-10.462,1,0.0273,0.758,0.73,0.0869,0.0763,98.462,318379,4
9,Cage The Elephant,Trouble,5n0CTysih20NYdT2S0Wpe8,71,0.47,0.623,0,-5.655,1,0.0302,0.392,0.000453,0.0992,0.298,77.861,225973,4
10,The Walters,I Love You So,1175r6ZmkUjX8dRJLz9Ohk,68,0.578,0.669,10,-4.898,1,0.0377,0.65,0.0,0.13,0.503,75.995,160254,4
11,The Strokes,Bad Decisions,6e2pJqucDMxbp061B40r6O,70,0.377,0.922,0,-3.4,1,0.056,0.0136,0.204,0.28,0.394,153.404,293360,4
12,Mild High Club,Homage,7pegxVesMmE2qK0o58xoFG,66,0.546,0.468,5,-8.167,1,0.0287,0.153,0.00257,0.321,0.416,73.372,177493,4
13,Arctic Monkeys,R U Mine?,2AT8iROs4FQueDv2c8q2KE,76,0.288,0.758,6,-5.692,0,0.0371,0.00616,0.0,0.303,0.619,97.094,201726,4
14,Arctic Monkeys,Fluorescent Adolescent,7e8utCy2JlSB8dRHKi49xM,65,0.646,0.813,6,-5.29,0,0.0288,0.00178,2.26e-05,0.144,0.821,112.115,173493,4
15,Jet,Are You Gonna Be My Girl,305WCRhhS10XUcH6AEwZk6,73,0.613,0.953,2,-3.435,1,0.0855,0.00148,0.000582,0.152,0.537,105.046,213800,4
16,Arctic Monkeys,Why'd You Only Call Me When You're High?,086myS9r57YsLbJpU0TgK9,75,0.691,0.631,2,-6.478,1,0.0368,0.0483,1.13e-05,0.104,0.8,92.004,161124,4
