,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Stormzy,Own It (feat. Ed Sheeran & Burna Boy),4QPEwDdOMhY7rNS05mTyMR,87,0.817,0.781,7,-4.178,0,0.112,0.00838,5.21e-06,0.123,0.359,104.0,216707,4
1,Stormzy,Vossi Bop,44ZJ4hLD5onikKsVLQaILr,75,0.682,0.653,8,-6.062,1,0.339,0.13,0.00116,0.129,0.428,188.115,196267,4
2,Wiley,Boasty (feat. Idris Elba),7cz506PyIgh2bMN90Mc8Tn,72,0.887,0.765,2,-5.207,1,0.0669,0.00915,0.000872,0.0907,0.456,102.958,177186,4
3,Fredo,Flashy,4IjqHNUlnVG1gTk2TvzcTR,0,0.6,0.729,8,-6.642,0,0.376,0.098,0.0,0.125,0.583,100.638,192635,4
4,Stormzy,One Second (feat. H.E.R.),2DdI0KRBuxV5Km0bkm67yh,69,0.495,0.497,5,-8.367,0,0.0847,0.457,6.55e-05,0.115,0.259,125.075,240893,5
5,Skepta,Greaze Mode,3nG784YlxS4VQOF0qiHKVP,66,0.781,0.72,6,-8.347,0,0.165,0.112,4.1e-05,0.153,0.403,150.074,168400,4
6,Skepta,Energy (Stay Far Away),11RIJRbBfyLlJut96itSFd,67,0.836,0.614,8,-4.543,0,0.311,0.345,9.86e-05,0.088,0.603,101.97,199521,4
7,Stormzy,Audacity (feat. Headie One),6Oq4fiDzKaFMU89dTvM24u,74,0.678,0.516,1,-4.601,1,0.444,0.0523,0.0,0.13,0.11,133.939,245920,4
8,J Hus,One and Only (feat. Ella Mai),0PjtIvwCFQMkWoFTVWsCsi,61,0.566,0.66,1,-6.068,0,0.139,0.173,1.35e-06,0.172,0.844,93.507,206840,4
9,Tinie Tempah,Written in the Stars (feat. Eric Turner),61HQWI1Woxup7CnGwVUsdI,54,0.644,0.945,7,-3.534,1,0.0717,0.0587,0.0,0.184,0.573,91.017,219560,4
