,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Nirvana,Smells Like Teen Spirit,5ghIJDpPoe3CfHMGu71E6T,73,0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,301920,4
1,Nirvana,Come As You Are,4P5KoWXOxwuobLmHXLMobV,71,0.5,0.824,4,-5.846,0,0.0388,0.00016,0.00161,0.0916,0.539,120.125,218920,4
2,Linkin Park,In the End,60a0Rd6pjrkxjPbaKzXjfq,82,0.556,0.864,3,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,105.143,216880,4
3,Evanescence,Bring Me To Life,0COqiPhxzoWICwFCS4eZcp,77,0.331,0.943,4,-3.188,0,0.0698,0.00721,2.06e-06,0.242,0.296,94.612,235893,4
4,3 Doors Down,Kryptonite,6ZOBP3NvffbU4SZcrnt1k6,76,0.545,0.865,11,-5.708,0,0.0286,0.00664,1.12e-05,0.168,0.543,99.01,233933,4
5,Linkin Park,Numb,2nLtzopw4rPReszdYBJU6h,80,0.496,0.863,9,-4.153,1,0.0381,0.0046,0.0,0.639,0.243,110.018,185587,4
6,Papa Roach,Last Resort,5W8YXBz9MTIDyrpYaCg2Ky,78,0.589,0.89,4,-3.719,0,0.0603,0.000481,0.00082,0.201,0.692,90.598,199907,4
7,System Of A Down,Chop Suey!,2DlHlPMa4M17kufBvI2lEN,79,0.419,0.934,7,-3.908,0,0.12,0.000278,0.0015,0.132,0.286,127.288,210240,4
8,Soundgarden,Black Hole Sun,2EoOZnxNgtmZaD8uUmz2nD,75,0.35,0.828,6,-5.373,1,0.041,0.000217,0.000161,0.0774,0.147,105.435,318587,4
9,Avenged Sevenfold,Hail to the King,5anCkDvJ17aznvK5TED5uo,74,0.58,0.916,3,-4.358,0,0.0387,0.000297,0.0259,0.126,0.683,118.004,305907,4
10,Third Eye Blind,Semi-Charmed Life,42et6fnHCw1HIPSrdPprMl,73,0.64,0.864,7,-6.576,1,0.0315,0.00832,0.0,0.123,0.7,102.026,268360,4
11,The All-American Rejects,Gives You Hell,6ihL9TjfRjadfEePzXXyVF,70,0.718,0.691,4,-6.44,1,0.0387,0.0159,0.0,0.0627,0.552,100.008,213107,4
