,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Future,Life Is Good (feat. Drake),5yY9lUy8nbvjM1Uyo1Uqoc,96,0.676,0.609,2,-5.831,0,0.481,0.0706,0.0,0.152,0.508,142.037,237735,4
1,Eminem,Godzilla (feat. Juice WRLD),7FIWs0pqAYbP91WWM0vlTQ,95,0.808,0.745,10,-5.26,0,0.342,0.145,0.0,0.292,0.829,165.995,210800,4
2,DaBaby,BOP,6Ozh9Ok6h4Oi1wUSLtBseN,90,0.769,0.787,11,-3.909,1,0.367,0.189,0.0,0.129,0.836,126.77,159715,4
3,DaBaby,TOES (feat. Lil Baby & Moneybagg Yo),2FvD20Z8aoWIePi7PoN8sG,87,0.816,0.582,8,-4.141,1,0.341,0.0794,5.84e-06,0.0916,0.542,160.004,136366,4
4,DaBaby,VIBEZ,0fySG6A6qLE8IvDpayb5bM,86,0.768,0.652,1,-2.708,0,0.307,0.113,0.0,0.107,0.777,154.187,144935,4
5,Mustard,Ballin' (with Roddy Ricch),3QzAOrNlsabgbMwlZt7TAY,89,0.809,0.545,7,-6.678,1,0.0735,0.392,0.0,0.151,0.244,97.008,180435,4
6,Don Toliver,No Idea,3VyjsVV24RmBIbWJAeUJNu,89,0.656,0.614,6,-4.973,0,0.102,0.558,0.000862,0.215,0.35,128.038,153750,4
7,DaBaby,Suge,2gwkD6igEhQbDQegRCcdoB,84,0.876,0.662,2,-6.482,0,0.426,0.0608,0.0,0.127,0.844,75.445,163320,4
8,Lil Baby,Woah,598yNsG1JFrGd4n2kMoz7F,87,0.882,0.602,11,-5.554,1,0.245,0.0177,0.0,0.178,0.43,142.959,183011,4
9,Jack Harlow,WHATS POPPIN,3Q6F8RByyhRTJpRtZLY3cg,86,0.923,0.604,11,-6.671,0,0.245,0.017,0.0,0.272,0.826,145.062,139741,4
10,J. Cole,MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,84,0.837,0.364,8,-11.713,1,0.276,0.149,0.0,0.271,0.463,123.984,213594,4
11,Baby Keem,ORANGE SODA,5FkoSXiJPKTNyYgALRJFhD,83,0.83,0.564,1,-7.822,1,0.235,0.177,0.0,0.128,0.107,85.042,129882,4
12,"Tyler, The Creator",EARFQUAKE,5hVghJ4KaYES3BFUATCYn0,84,0.554,0.498,9,-8.866,1,0.0685,0.23,5.98e-06,0.795,0.413,79.635,190067,4
13,Drake,Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,86,0.831,0.502,10,-4.045,0,0.046,0.101,0.0,0.122,0.101,100.541,205427,4
14,NLE Choppa,Camelot,4sWuPniHClkInYAnzXAYUF,82,0.787,0.713,7,-5.252,1,0.401,0.0849,0.0,0.717,0.762,175.041,148759,4
15,Future,"Life Is Good (feat. Drake, DaBaby & Lil Baby) - Remix",4iiWcajF1fEUpwcUewc464,78,0.81,0.566,5,-8.33,1,0.433,0.107,0.0,0.122,0.582,142.069,315346,4
16,Lil Baby,Sum 2 Prove,2u3EyuCqqV31woqGvO9LBz,84,0.823,0.552,4,-7.57,0,0.324,0.0174,0.0,0.122,0.418,124.038,205760,4
17,Meek Mill,Going Bad (feat. Drake),2IRZnDFmlqMuOrYOLnZZyc,84,0.889,0.496,4,-6.365,0,0.0905,0.259,0.0,0.252,0.544,86.003,180522,4
18,XXXTENTACION,Jocelyn Flores,7m9OqQk4RVRkw9JJdeAw96,85,0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021,119133,4
19,Ali Gatie,What If I Told You That I Love You,74D7JUfU6HYeMx4bZhsHnG,82,0.605,0.365,7,-11.144,1,0.111,0.63,6.83e-06,0.0554,0.224,84.628,193668,4
20,XXXTENTACION,SAD!,3ee8Jmje8o58CHK66QrVC2,85,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,166606,4
21,Migos,Give No Fxk,6ZelF5APDN5r6XnFqcnvWR,80,0.904,0.627,1,-5.608,1,0.222,0.0303,5.68e-06,0.0923,0.236,145.976,224243,4
22,J. Cole,No Role Modelz,62vpWI1CHwFy7tMIcSStl8,81,0.696,0.521,10,-8.465,0,0.332,0.302,0.0,0.0565,0.458,100.0,292987,4
23,Lil Baby,Drip Too Hard (Lil Baby & Gunna),78QR3Wp35dqAhFEc2qAGjE,83,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511,145543,4
24,Ali Gatie,It's You,5DqdesEfbRyOlSS3Tf6c29,87,0.732,0.463,11,-6.972,0,0.0287,0.374,0.0,0.194,0.397,95.971,212607,4
25,Chance the Rapper,Hot Shower,00ko9WaS4jOX1kEk3gvHjf,79,0.899,0.509,9,-8.04,1,0.387,0.00157,0.0,0.0573,0.599,150.001,225924,4
26,Ski Mask The Slump God,Faucet Failure,1ThmUihH9dF8EV08ku5AXN,80,0.935,0.552,10,-9.373,0,0.335,0.111,0.0,0.0952,0.615,99.993,145627,4
27,Quality Control,Baby (Lil Baby feat. DaBaby),5MPPttjfGap2C6j6eKcO6J,78,0.97,0.463,10,-7.259,1,0.366,0.0957,0.0,0.151,0.46,108.003,142417,4
28,XXXTENTACION,Fuck Love (feat. Trippie Redd),7AQim7LbvFVZJE3O8TYgf2,83,0.797,0.533,0,-9.74,0,0.0412,0.0172,0.000152,0.103,0.329,131.036,146520,4
29,NLE Choppa,Famous Hoes,35Xf2ABjPzUXKz19akd7Jj,78,0.732,0.627,4,-5.693,0,0.161,0.346,0.0,0.261,0.332,81.481,135460,4
30,Mac Miller,Blue World,2hwOoMtWPtTSSn6WHV7Vp5,82,0.742,0.553,8,-8.98,1,0.419,0.389,0.0,0.0694,0.508,84.931,209440,4
31,XXXTENTACION,Moonlight,0JP9xo3adEtGSdUEISiszL,84,0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,135090,4
32,Offset,Ric Flair Drip (& Metro Boomin),7sO5G9EABYOXQKNPNiE9NR,80,0.88,0.428,9,-8.28,1,0.206,0.149,5.07e-05,0.114,0.333,100.007,172800,4
33,Kendrick Lamar,HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,82,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,177000,4
34,Lil Wayne,"I Do It (ft. Big Sean, Lil Baby)",1bRO28yzxgO3y3UmNR29TZ,82,0.804,0.528,1,-3.231,1,0.378,0.125,0.0,0.41,0.321,138.005,184440,4
35,Eminem,Those Kinda Nights (feat. Ed Sheeran),0VSzREd1OjEWJ9tXoFHRQH,84,0.794,0.637,4,-6.29,0,0.339,0.028,0.0,0.0919,0.393,103.868,177693,4
36,Nicki Minaj,Yikes,75dLEqanQTupF3dtP9exT5,80,0.911,0.637,8,-8.381,1,0.447,0.0409,3.68e-05,0.238,0.66,149.996,156882,4
37,Eminem,"You Gon’ Learn (feat. Royce Da 5'9"" & White Gold)",0GQ5bFTVFFKpwNPc7KwQnB,82,0.68,0.82,4,-4.197,0,0.151,0.0614,0.0,0.597,0.243,140.033,234653,4
38,DaBaby,Goin Baby,3WyRgi8CzQnhzO0xw79tTS,77,0.755,0.772,6,-5.585,1,0.4,0.128,0.0,0.157,0.678,132.906,141827,4
39,Drake,Nonstop,0TlLq3lA83rQOYtrqBqSct,80,0.912,0.412,7,-8.074,1,0.124,0.0164,0.013,0.104,0.422,154.983,238614,4
40,"Tyler, The Creator",See You Again (feat. Kali Uchis),7KA4W4McWYRpgf0fWsJZWB,78,0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,180387,4
41,XXXTENTACION,Hope,2ZRo7axmMPeSVUvDbGkJah,82,0.592,0.457,9,-6.081,0,0.0603,0.661,0.000331,0.146,0.225,146.04,110886,4
42,21 Savage,Immortal,4IO8X9W69dIQe0EC5ALXhq,79,0.741,0.87,6,-3.494,0,0.503,0.00813,0.0,0.114,0.663,184.194,254723,4
43,Lil Nas X,Old Town Road - Remix,2YpeDb67231RjR0MgVLzsG,87,0.878,0.619,6,-5.56,1,0.102,0.0533,0.0,0.113,0.639,136.041,157067,4
44,XXXTENTACION,Everybody Dies In Their Nightmares,3GVkPk8mqxz0itaAriG1L7,82,0.734,0.57,7,-7.066,0,0.133,0.847,2.14e-05,0.112,0.689,129.953,95467,4
45,21 Savage,a lot,2t8yVaLvJ0RenpXUIAC52d,80,0.837,0.636,1,-7.643,1,0.086,0.0395,0.00125,0.342,0.274,145.972,288624,4
46,Lil Baby,Yes Indeed,6vN77lE9LK6HP2DewaN6HZ,80,0.964,0.346,5,-9.309,0,0.53,0.035,0.0,0.108,0.562,119.958,142273,4
47,Flipp Dinero,How I Move (feat. Lil Baby),0jBJIQuToUUOEx7JJkiPzm,79,0.826,0.635,5,-5.181,0,0.212,0.102,0.0,0.245,0.808,119.954,224916,4
48,Eminem,Unaccommodating (feat. Young M.A),0q2vG0UVuy6ajjcpkQHdZM,81,0.852,0.752,1,-5.793,1,0.0597,0.0169,0.0,0.394,0.389,89.95,216600,4
