,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,"Earth, Wind & Fire",September,7Cuk8jsPPoNYQWXK9XRFvG,80,0.694,0.831,9,-7.288,1,0.0301,0.165,0.000892,0.25,0.98,125.901,215080,4
1,Etta James,At Last,4Hhv2vrOTy89HFRcjU3QOx,73,0.273,0.347,5,-8.631,1,0.0292,0.546,0.0137,0.334,0.328,87.411,179693,3
2,Louis Armstrong,What A Wonderful World,29U7stRjqHU6rMiS8BfaI9,66,0.271,0.165,5,-20.652,1,0.0351,0.729,1.6e-06,0.118,0.203,77.082,139227,4
3,Leslie Odom Jr.,Alexander Hamilton,4TTV7EcfroSLWzXRY6gLv6,69,0.609,0.435,11,-7.862,0,0.284,0.524,0.0,0.118,0.563,131.998,236738,4
4,Ella Fitzgerald,Dream A Little Dream Of Me - Single Version,78MI7mu1LV1k4IA2HzKmHe,70,0.443,0.104,0,-17.042,1,0.101,0.913,0.0,0.191,0.394,76.497,185160,4
5,Norah Jones,Don't Know Why,6ybViy2qrO9sIi41EgRJgx,72,0.732,0.198,5,-11.775,1,0.028,0.883,1.1e-05,0.0659,0.618,88.174,186147,4
6,Nat King Cole,The Christmas Song (Merry Christmas To You),4PS1e8f2LvuTFgUs1Cn3ON,66,0.319,0.21,1,-15.231,1,0.0341,0.92,8.06e-05,0.138,0.209,78.696,192160,4
7,Nina Simone,Feeling Good,6Rqn2GFlmvmV4w9Ala0I1e,72,0.399,0.326,7,-9.239,0,0.0386,0.864,0.0,0.191,0.546,79.206,174000,4
8,Leslie Odom Jr.,Wait for It,7EqpEBPOohgk7NnKvBGFWo,66,0.561,0.474,6,-9.638,1,0.155,0.125,5.07e-06,0.0922,0.513,86.897,193750,4
9,Norah Jones,Come Away With Me,0Cvjlph1WGbwZY1PlMEtJY,71,0.363,0.129,0,-14.304,1,0.0322,0.904,1.52e-06,0.157,0.147,80.367,198147,3
10,Duke Ellington,In A Sentimental Mood,0E8q2Fx2XuzXCO2NSAppkR,65,0.464,0.305,3,-12.435,0,0.0316,0.936,0.0846,0.208,0.282,108.231,255227,4
11,Etta James,I'd Rather Go Blind,1kPBT8S2wJFNAyBMnGVZgL,66,0.477,0.433,11,-6.473,0,0.0247,0.689,0.000195,0.151,0.611,82.52,156653,3
12,Leslie Odom Jr.,Dear Theodosia,2sEq2rC3ynYsT49x7utWnd,64,0.601,0.222,9,-10.485,1,0.0303,0.906,4.11e-05,0.0723,0.271,106.754,184004,4
13,Caravan Palace,Lone Digger,0thLhIqWsqqycEqFONOyhu,59,0.769,0.924,5,-5.263,0,0.051,0.596,0.0156,0.114,0.88,123.989,229805,4
14,"Grover Washington, Jr.",Just the Two of Us (feat. Bill Withers),1ko2lVN0vKGUl9zrU0qSlT,65,0.803,0.488,1,-9.303,1,0.0803,0.576,0.0609,0.0763,0.624,95.771,237106,4
15,Chet Baker,I Fall In Love Too Easily - Vocal Version,0F845nujLVqCb0XMZCh5Pc,63,0.532,0.0657,0,-19.136,0,0.0406,0.94,0.00488,0.0946,0.292,128.607,201440,4
16,Louis Armstrong,La vie en rose - Single Version,1UH4viviUjZnS9aWgPGrk0,63,0.582,0.0766,0,-12.544,1,0.0603,0.866,0.00394,0.091,0.274,70.443,204400,4
17,Norah Jones,Sunrise,7zkLpY72g6lKQbiHDqri1S,70,0.526,0.299,8,-13.797,1,0.031,0.941,0.097,0.106,0.679,156.848,200627,4
18,McCoy Tyner,When Sunny Gets Blue,1J9iVCaEriyoMXpj2XszhU,61,0.427,0.114,2,-22.546,0,0.0509,0.843,0.863,0.0966,0.114,60.484,282320,4
19,Miles Davis,Blue in Green,0aWMVrwxPNYkKmFthzmpRi,63,0.421,0.0161,2,-25.358,0,0.0374,0.81,0.0021,0.0978,0.16,110.926,337733,4
20,Nat King Cole,Joy To The World,1VuAamHM7P3VQQEXYGG3Uu,62,0.553,0.337,10,-10.334,1,0.03,0.818,0.0,0.113,0.662,101.918,84987,4
21,Dean Martin,That's Amore,4I4aQGNJ2HufloNtB65nxR,60,0.471,0.146,10,-13.6,1,0.0309,0.782,0.0,0.0888,0.595,78.554,190400,4
22,Ella Fitzgerald,Cheek To Cheek,33jt3kYWjQzqn3xyYQ5ZEh,65,0.663,0.264,0,-14.571,1,0.0914,0.706,0.0,0.1,0.657,122.482,354533,4
23,Nat King Cole,Unforgettable,648TTtYB0bH0P8Hfy0FmkL,63,0.349,0.182,5,-13.507,1,0.031,0.92,0.0152,0.143,0.178,136.092,191973,3
24,Bill Evans,Skating In Central Park,1cpANF6zMBoFoxkoIjZHjv,61,0.478,0.0294,0,-25.319,1,0.0453,0.993,0.948,0.105,0.148,124.307,324200,3
25,Billie Holiday,I'll Be Seeing You,4smkJW6uzoHxGReZqqwHS5,61,0.355,0.0304,1,-20.479,1,0.0361,0.989,0.0555,0.116,0.188,90.495,211533,3
26,DJ Shadow,Nobody Speak,2A9rFFPwsnhusCh8ZMBvYY,64,0.621,0.814,2,-5.937,1,0.154,0.0405,0.00274,0.263,0.304,160.066,195966,4
27,Aretha Franklin,I Say a Little Prayer,3NfxSdJnVdon1axzloJgba,74,0.59,0.355,9,-14.051,1,0.0352,0.48,0.0,0.0585,0.499,133.03,216773,4
28,Dean Martin,Let It Snow! Let It Snow! Let It Snow!,2uFaJJtFpPDc5Pa95XzTvg,66,0.452,0.24,1,-14.014,1,0.0351,0.912,2.45e-06,0.175,0.701,134.005,117147,4
29,Etta James,A Sunday Kind Of Love,0zGLlXbHlrAyBN1x6sY0rb,62,0.418,0.285,2,-9.43,0,0.0291,0.83,1.53e-06,0.233,0.4,86.13,196133,4
30,Souls Of Mischief,93 'Til Infinity,0PV1TFUMTBrDETzW6KQulB,66,0.59,0.672,1,-11.792,1,0.412,0.125,1.04e-06,0.147,0.688,206.247,286440,4
31,Duke Ellington,My Little Brown Book,4rmCI9VWrwrJTJ8XQ80BMN,61,0.372,0.187,0,-13.497,0,0.0323,0.942,0.139,0.161,0.217,70.334,319733,4
32,The Pharcyde,Passin' Me By,4G3dZN9o3o2X4VKwt4CLts,65,0.759,0.756,4,-8.145,0,0.266,0.0903,2.36e-06,0.265,0.613,87.059,303493,4
33,Ella Fitzgerald,Sleigh Ride,4ukUoXLuFzMixyZyabSGc4,61,0.508,0.287,1,-12.472,1,0.0523,0.764,0.0,0.153,0.644,154.759,175987,4
34,Bill Evans Trio,My Foolish Heart,6yKkA8HzwWTZ5taIMaG4Nm,60,0.395,0.121,9,-23.427,1,0.0327,0.935,0.397,0.697,0.139,114.519,297320,4
35,Celia Cruz,La Vida Es Un Carnaval,1BwrMGGhPA6GarWIYaFrW8,66,0.813,0.701,0,-6.508,0,0.0701,0.489,0.00116,0.294,0.855,104.019,278867,4
36,A Tribe Called Quest,Can I Kick It?,3Ti0GdlrotgwsAVBBugv0I,68,0.848,0.666,0,-6.547,1,0.274,0.173,0.000699,0.129,0.744,96.662,251573,4
37,Stan Getz,A Nightingale Sang In Berkeley Square,1xaTXPoDk4VOU9XhYX4KJM,61,0.425,0.0429,1,-24.86,1,0.0408,0.951,0.0184,0.148,0.255,96.097,419627,4
38,Dean Martin,Ain't That A Kick In The Head,7fQ3PYTYdu208fQ3JEm2U7,58,0.586,0.253,6,-11.93,0,0.0538,0.604,0.0,0.3,0.718,108.168,147293,1
39,BluntOne,Reflections,7IHgUbQd0br5zZjTklxMR0,62,0.47,0.381,8,-8.848,0,0.0838,0.0937,0.851,0.227,0.382,76.817,122221,4
40,Caravan Palace,Aftermath,3QuTLjEgI5v5gL7VxoE05e,55,0.613,0.631,3,-7.731,1,0.0411,0.232,0.00362,0.284,0.388,140.002,185870,4
41,"Earth, Wind & Fire",Shining Star,0RgcOUQg4qYAEt9RIdf3oB,60,0.676,0.692,9,-13.093,1,0.052,0.668,0.00915,0.13,0.799,102.516,170160,4
42,Leslie Odom Jr.,The World Was Wide Enough,0P09TBGSKiQwfUsEh1UafT,59,0.653,0.351,5,-12.776,1,0.648,0.466,0.0,0.107,0.309,116.605,302191,3
43,The Dave Brubeck Quartet,Take Five,1YQWosTIljIvxAgHWTp7KP,64,0.454,0.26,8,-13.193,0,0.0401,0.539,0.00078,0.0675,0.598,174.322,324133,5
44,Oscar Peterson Trio,I Got It Bad And That Ain't Good,4ol2UyMTiklHVujAWg02nE,61,0.488,0.0527,5,-27.331,1,0.0478,0.971,0.911,0.0882,0.193,49.689,306227,4
45,Norah Jones,Turn Me On,6FjAGZp7c0Z2uaL3eHkXsx,66,0.57,0.172,10,-10.897,1,0.0344,0.869,1.14e-06,0.114,0.521,84.948,154640,3
46,John Coltrane,My One And Only Love,1BPmVDqR4cX9aFC0Qx0eWn,54,0.461,0.0546,0,-18.982,1,0.0362,0.988,0.208,0.126,0.23,128.91,296667,4
47,Dusty Springfield,Son of a Preacher Man,7odHgoLFi3GQ90E9PeraI3,60,0.401,0.498,4,-10.682,1,0.0757,0.394,0.0,0.13,0.816,181.701,149160,4
48,Diana Krall,So Nice,3LjVnKMTqU3AYrb7Kj784M,0,0.694,0.271,9,-15.761,0,0.0675,0.647,0.00012,0.379,0.404,110.643,230707,4
49,Nina Simone,I Put A Spell On You,0sjxRg1VlYfx4YG7uxurrq,64,0.42,0.398,6,-9.13,0,0.0296,0.755,0.000537,0.172,0.364,88.897,155027,3
50,Chet Baker,It's Always You - Vocal Version,06UkYE0SZ3Y8zGRFOuWGAe,60,0.499,0.0341,8,-22.31,1,0.0417,0.923,5.27e-05,0.131,0.31,81.735,215467,4
51,Bobby Darin,Beyond the Sea,3KzgdYUlqV6TOG7JCmx2Wg,65,0.521,0.516,2,-7.456,0,0.0369,0.723,0.0,0.257,0.569,136.483,172480,4
