,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Deekline,Be Happy,1BARU7YaUf8lKHgL945f6l,52,0.555,0.963,0,-2.495,0,0.0479,0.0163,1.94e-05,0.317,0.511,123.022,153171,4
1,General Levy,The General - Ed Solo Remix,6WM3R7hZbSQg3WY444wDyM,1,0.596,0.942,2,-3.026,1,0.0594,0.000614,2.66e-05,0.0317,0.867,174.994,264686,4
2,Voltage,Money Talk,5tFXcd9vARks6yhr0OWnoo,40,0.847,0.647,0,-8.161,0,0.142,0.274,0.000278,0.108,0.653,109.948,167567,4
3,Jahdai,No Games,50VmxcqHbuBheKsjdMtrgQ,36,0.714,0.604,3,-8.379,0,0.111,0.292,0.00522,0.0851,0.526,81.459,206249,4
4,Uk Apache,Original Nuttah 25 (feat. IRAH) - Chase & Status Remix,7CiZj5S4E5FVboR0yLVLzc,57,0.425,0.894,10,-4.991,0,0.0762,0.0258,1.56e-06,0.0996,0.171,115.412,223455,5
5,Danny Byrd,We Can Have It All - Sigma Remix,49i84i0hXi62ORzn5TWSFn,46,0.44,0.861,8,-4.715,0,0.0636,0.000646,0.299,0.272,0.0733,174.995,337133,4
6,SHY FX,Bad After We (feat. Kojey Radical & Ghetts),0fWYBAqQcUgrTB7YKMOWsj,53,0.725,0.827,1,-5.907,1,0.239,0.286,0.0,0.534,0.81,131.948,160585,4
7,Alix Perez,SWRV,11pOZ9ccmozJ1isB5iJlDj,45,0.562,0.876,10,-3.738,0,0.0577,0.00214,0.854,0.0745,0.373,173.999,295091,4
8,SHY FX,Roll The Dice (feat. Stamina MC & Lily Allen),0gO2I7dgwORBIys7ZtIYw8,57,0.682,0.886,10,-5.915,0,0.0779,0.00642,0.0459,0.606,0.359,172.059,208178,4
9,DJ Zinc,Glitter,1AtifUJiEqzf1lHxxSKVEz,51,0.543,0.984,4,-0.233,0,0.115,0.00928,0.00769,0.205,0.558,173.951,179310,4
10,Enei,Sinking,7FQpAFyAyYaQV3cVJ2Ce0x,51,0.505,0.891,5,-3.025,0,0.166,0.00388,0.715,0.13,0.269,174.032,341104,4
11,DJ Zinc,Gammy Elbow,4R1ucIN3cgWBcHxbeSmgzB,52,0.838,0.737,11,-5.094,0,0.155,0.00138,0.897,0.123,0.799,130.024,195000,4
12,Alix Perez,Solitary Native,4nliTt7jzYzGhSdrC8ZGnW,42,0.595,0.758,10,-15.259,0,0.0656,0.0155,0.877,0.0699,0.485,172.027,451227,4
13,Danny Byrd,Sweet Harmony,6RDkBlNaNqhHBiS7bxUo3D,44,0.5,0.984,9,-4.239,0,0.12,0.0048,0.879,0.0807,0.391,173.956,368560,4
14,SHY FX,Soon Come (feat. Liam Bailey),4QCn5XWZBzLHAzCxiBkBdB,33,0.812,0.666,0,-6.878,1,0.131,0.419,0.103,0.236,0.795,79.968,185359,4
15,Andy C,Till Dawn,4lH7x3AKj6eLzfwTIpNTIW,44,0.591,0.985,5,-1.117,0,0.122,0.000342,0.869,0.792,0.452,173.998,249527,4
16,Commix,Time Has Come,2sk8qYf3DAY24H07VJrEDm,39,0.514,0.813,6,-4.534,1,0.0435,0.000442,0.171,0.169,0.252,174.05,346633,4
17,M-Beat,Rumble,2lHKp4FismeZc9DZ1kzQRQ,1,0.654,0.858,0,-6.634,1,0.178,0.074,0.00498,0.0913,0.562,159.841,245774,4
18,Andy C,Back & Forth,7BcArT6d86OQjsjZc504Pk,48,0.589,0.923,0,-1.147,1,0.108,0.0045,0.124,0.726,0.089,174.08,277765,4
19,Klute,Flesh Eaters - Original,3NOzfsVLR2IUPKp556O2Qh,36,0.417,0.868,5,-4.0,0,0.0314,3.84e-05,0.903,0.153,0.329,172.017,298053,4
20,S.P.Y,Dreaming,0i3aY3ZKOIbugyPda2DseD,42,0.458,0.808,11,-3.949,0,0.0341,0.00375,0.782,0.296,0.0324,87.503,283403,4
21,Deekline,Have Some Fun - Radio Mix,6obbgdhRl5PoxiwSXsblYJ,33,0.611,0.963,1,-3.009,1,0.0567,0.00982,8.43e-05,0.322,0.435,174.958,178291,4
22,S.P.Y,See Your Face Again,3brmtRTjzZeHtKKdGWrbyb,40,0.641,0.862,10,-4.963,1,0.0375,0.0699,0.000116,0.113,0.651,140.018,186857,4
23,M-Beat,Incredible,2Q9F3D53QeclwbsY24cuxO,50,0.807,0.903,4,-11.09,1,0.113,0.211,3.13e-06,0.0565,0.94,165.034,269867,4
24,SHY FX,Call Me (feat. Maverick Sabre),1XX80Q0QEY62CVo1Ks4x1J,52,0.579,0.893,9,-5.707,0,0.0541,0.00122,0.00112,0.981,0.184,86.504,209529,4
25,Deekline,Have Some Fun - Club Mix,2BeDNfCQGt0hmmHOC5Mdu3,27,0.62,0.961,1,-3.26,0,0.0546,0.00995,0.000724,0.309,0.518,175.032,213945,4
26,Congo Natty,Get Ready,3Z3hgecucGIO6WXFSBxE4e,44,0.545,0.917,6,-5.678,1,0.203,0.00117,4.66e-06,0.17,0.749,176.925,322253,4
27,Roni Size,Snapshot,1bjp3v0w27X6cMivxH9OzL,1,0.477,0.947,11,-1.773,1,0.195,0.0117,0.913,0.0514,0.763,169.9,385246,4
28,Alix Perez,Chiron,20YIV4Tu4hvkjbtAV9Xhzt,37,0.65,0.684,11,-8.828,0,0.0419,0.00409,0.44,0.413,0.413,80.019,210001,4
29,DJ Marky,Mystic Sunset,6DYSo8I61kRkrlJt5NetLw,41,0.566,0.988,7,-4.348,1,0.0731,0.00331,0.744,0.0812,0.841,174.007,325833,4
30,Congo Natty,Rebel,0WKFE4bdpZMMPpqw9hf1mZ,32,0.729,0.874,7,-6.724,1,0.163,0.0717,0.0,0.825,0.559,88.015,267720,4
31,Benny Page,Warn Dem,49QIaKGSkjcx3HAaWXDDQD,43,0.398,0.979,4,-0.331,0,0.157,0.128,0.0,0.386,0.425,175.907,204545,4
32,Break,Past North,4iFb4UOm9eWp39XBRwyhKl,34,0.596,0.944,7,-2.073,0,0.07,0.000146,0.153,0.176,0.258,173.988,269530,4
33,DJ Marky,Silly,7uFTpmcOS7jmgJvf2hoXB1,41,0.64,0.873,10,-5.342,0,0.0521,0.000439,0.871,0.0763,0.889,172.079,362791,4
34,4hero,Les Fleur,3YORO9Xcw4WxsAUPLrlkZe,45,0.359,0.676,10,-5.451,0,0.0373,0.0103,0.0772,0.0994,0.417,75.775,365747,4
