,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,KAROL G,Tusa,7k4t7uLgtOxPwTpFmtJNTY,97,0.803,0.715,2,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101.085,200960,4
1,Bad Bunny,Ignorantes,3wYRLYuO1M88d8woWUIxct,88,0.85,0.536,1,-5.161,1,0.0599,0.267,3.89e-05,0.0996,0.505,96.029,210607,4
2,J Balvin,LA CANCIÓN,0fea68AdmYNygeTGI4RC18,88,0.754,0.646,7,-5.795,1,0.317,0.152,1.85e-05,0.108,0.429,176.089,242573,4
3,Bad Bunny,Callaita,2TH65lNHgvLxCKXM3apjxI,88,0.61,0.624,2,-4.773,1,0.309,0.6,2.12e-06,0.243,0.244,176.169,250534,4
4,J Balvin,Morado,3mQ6SLdxxaL52Yte7KF2Ks,90,0.881,0.696,11,-3.838,0,0.0797,0.137,4.13e-05,0.0927,0.781,97.002,200667,4
5,Shakira,Hips Don't Lie (feat. Wyclef Jean),3ZFTkvIE7kyPt6Nu3PEa7V,82,0.778,0.824,10,-5.892,0,0.0712,0.284,0.0,0.405,0.756,100.024,218093,4
6,Shakira,Me Gusta,5Xhqh4lwJPtMUTsdBztN1a,89,0.775,0.696,1,-5.184,0,0.0681,0.0559,0.00184,0.157,0.775,92.007,190570,4
7,Anuel AA,China,2ksOAxtIxY8yElEWw8RhgK,90,0.786,0.808,7,-3.702,1,0.0882,0.0846,0.000289,0.0822,0.609,105.027,301714,4
8,Nicky Jam,Muévelo,4VgYtXCVJ7IbWAZ5ryfvEQ,89,0.595,0.807,7,-2.409,1,0.0489,0.416,1.41e-05,0.565,0.919,188.081,194892,4
9,J Balvin,QUE PRETENDES,25ZAibhr3bdlMCLmubZDVt,84,0.639,0.791,10,-4.443,0,0.253,0.0275,0.0,0.362,0.939,92.603,222347,4
10,Rauw Alejandro,Fantasias,6mAN61JH0dzyZpWslS11jy,90,0.879,0.703,1,-4.219,1,0.0701,0.143,0.0,0.0569,0.788,94.004,199711,4
11,Anuel AA,Keii,5eEQCfq7MXQr6aHLNRUZLs,87,0.708,0.797,0,-3.095,0,0.0391,0.4,0.0,0.096,0.51,88.015,210000,4
12,Bad Bunny,MIA (feat. Drake),116H0KvKr2Zl4RPuVBruDO,81,0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.062,210368,4
13,Dimelo Flow,Sigues Con El,7sQKy5vlPQllr0k9IjYJv3,91,0.883,0.668,9,-2.957,1,0.113,0.11,0.000529,0.0734,0.676,87.972,226533,4
14,Ozuna,100 Preguntas,21Oh0PHE9KQPXPUvXk7sY9,72,0.768,0.462,5,-5.907,1,0.0369,0.689,0.0,0.114,0.605,104.008,178080,4
15,Nicky Jam,Whine Up,2pWOMNQJW3g2zmGjP0Vkb0,88,0.817,0.665,9,-6.224,0,0.0758,0.0549,0.0,0.103,0.662,104.957,215460,4
16,Lunay,Aventura,37zdqI4r1gswIzczSBkRon,86,0.729,0.726,5,-3.208,1,0.0422,0.223,0.0,0.101,0.876,92.025,217130,4
17,Lunay,Soltera - Remix,1c0hsvHLELX6y8qymnpLKL,82,0.795,0.783,5,-4.271,1,0.0432,0.361,0.0,0.437,0.8,92.016,266087,4
18,Nio Garcia,Te Boté - Remix,3V8UKqhEK5zBkBb6d6ub8i,79,0.903,0.675,11,-3.445,0,0.214,0.542,1.28e-05,0.0595,0.442,96.507,417920,4
19,Maluma,11 PM,7KbF6AdprOXEEHlsq11Z6d,84,0.777,0.712,10,-4.84,1,0.277,0.217,0.0,0.091,0.68,95.692,175733,4
20,Daddy Yankee,Que Tire Pa Lante,6RyaV7owmVU6fzEPE17sF1,87,0.658,0.901,7,-2.814,1,0.0357,0.0478,0.0,0.12,0.708,93.979,210520,4
21,Jhay Cortez,No Me Conoce - Remix,7rknFhrVDyxzTJkPSf7LoW,81,0.794,0.79,10,-3.855,0,0.0599,0.144,0.0,0.0893,0.577,91.984,307547,4
22,Daddy Yankee,Con Calma,5w9c2J52mkdntKOmRLeM2m,84,0.737,0.86,8,-2.652,0,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,193227,4
23,Arcangel,Infeliz,4z6wo6PJG4Fve45OXK6D9m,84,0.713,0.798,1,-3.147,1,0.219,0.366,4.3e-06,0.246,0.721,176.073,221103,4
24,Jhay Cortez,Medusa,3qM0vBxIe4VUbK0Z0smuVP,83,0.886,0.604,0,-7.293,1,0.208,0.194,3.15e-06,0.107,0.383,98.023,305333,4
25,Shakira,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),2Cd9iWfcOpGDHLz6tVA3G4,78,0.766,0.873,11,-6.381,0,0.143,0.00627,0.0,0.0764,0.743,126.988,202627,4
26,Pedro Capó,Calma - Remix,5iwz1NiezX7WWjnCgY5TH4,83,0.826,0.773,11,-4.218,0,0.0524,0.323,0.0,0.143,0.761,126.899,238200,4
27,Reik,Indeciso,59s0s39NFWScuHDbHytI14,86,0.738,0.748,0,-4.902,1,0.0453,0.182,0.0,0.11,0.896,94.949,217253,4
28,Maluma,Qué Pena,5099x34vBakWpGkHourFxP,82,0.635,0.661,11,-6.425,0,0.364,0.102,0.0,0.336,0.858,126.15,212711,5
29,Daddy Yankee,Definitivamente,113PlnpZbHd3WIqeYjhZWv,83,0.813,0.764,8,-3.39,0,0.105,0.586,0.0,0.253,0.429,100.047,217773,4
30,Bad Bunny,NI BIEN NI MAL,278kSqsZIiYp8p3QjYAqa8,78,0.826,0.449,5,-8.33,0,0.0674,0.556,1.85e-05,0.273,0.337,128.028,236216,4
31,DJ Luian,Verte Ir,4lzxJ4jCuFDXXGkE1LmpKR,81,0.857,0.647,11,-4.152,0,0.0984,0.391,1.2e-06,0.0842,0.553,95.982,267500,4
32,Nicky Jam,Te Robaré,4PJ3umtW1aWdfh5EITHc6T,80,0.673,0.752,2,-3.572,0,0.0561,0.241,4.51e-05,0.0813,0.797,175.997,201818,4
33,Maluma,HP,1LIqNVhaIgxXUt2eVoIQJ3,80,0.837,0.791,4,-3.157,0,0.0773,0.252,1.14e-06,0.188,0.618,91.98,184436,4
34,Bad Bunny,Si Estuviésemos Juntos,35wvL50xvKpCHEJPxLOLPI,79,0.672,0.594,1,-6.813,0,0.0789,0.0626,5.14e-05,0.152,0.158,171.854,169248,4
35,Don Omar,Danza Kuduro,2a1o6ZejUi8U3wzzOtCOYw,74,0.4,0.915,0,-4.89,1,0.28,0.0846,0.0,0.0503,0.878,88.917,198773,3
36,Farruko,Enamorado del Dinero,52QxHK1ek3FZQlY32BdtKb,58,0.726,0.718,5,-5.198,0,0.186,0.356,0.0,0.126,0.506,138.953,301827,4
37,Piso 21,Pa' Olvidarme De Ella,1cVlW9WQiGlFdWUXFdFZGh,84,0.728,0.542,0,-5.195,1,0.0514,0.259,0.0,0.136,0.637,90.016,227234,3
38,Bad Bunny,La Romana,1khmgu0pveJbkbpbkyvcQv,76,0.655,0.725,0,-5.497,1,0.188,0.0327,0.00264,0.0611,0.326,125.8,300579,4
39,Camilo,Tutu,1nocRtwyNPVtGcIJqfgdzZ,85,0.731,0.832,9,-2.592,1,0.0503,0.273,0.0,0.0665,0.94,146.013,178613,4
40,Bad Bunny,Amorfoda,68QcquxCS39cQGTsRrJWIR,75,0.749,0.418,9,-7.925,0,0.0587,0.985,0.000126,0.0832,0.307,147.887,153887,3
41,Luis Fonsi,Despacito - Remix,6rPO02ozF3bM7NnOV4h6s2,73,0.653,0.816,2,-4.353,1,0.167,0.228,0.0,0.0967,0.816,178.086,228827,4
42,Anuel AA,Ella Quiere Beber - Remix,3f5lA8nnc4YYF1qf78WpHw,80,0.75,0.665,8,-3.083,1,0.124,0.265,0.0,0.0515,0.697,95.239,219357,4
43,Shakira,Chantaje (feat. Maluma),6mICuAdrwEjh6Y6lroV2Kg,77,0.852,0.773,8,-2.921,0,0.0776,0.187,3.05e-05,0.159,0.907,102.034,195840,4
44,Anuel AA,Secreto,5W83ErFkO3aKAIS1WMi6u0,80,0.807,0.803,11,-4.156,1,0.126,0.602,0.00853,0.136,0.706,91.987,258800,4
45,J Balvin,Mi Gente,4ipnJyDU3Lq15qBAYNqlqK,73,0.774,0.687,11,-4.818,0,0.0584,0.0179,1.17e-05,0.128,0.308,104.959,189440,4
46,Natti Natasha,La Mejor Versión de Mi - Remix,2dy3TKVDEbIeWxeIb8JWqZ,79,0.735,0.712,11,-5.119,0,0.0326,0.732,0.0,0.302,0.894,131.938,229333,4
47,Luis Fonsi,Despacito,6habFhsOp2NvshLv26DqMb,78,0.655,0.797,2,-4.787,1,0.153,0.198,0.0,0.067,0.839,177.928,229360,4
48,Justin Quiles,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",1ndyl3wJCFs872XZ3ztPk6,84,0.743,0.709,3,-3.922,0,0.0879,0.0451,5.18e-06,0.0809,0.831,170.001,258600,4
49,Shakira,"Whenever, Wherever",2lnzGkdtDj5mtlcOW2yRtG,75,0.793,0.832,1,-4.862,0,0.0406,0.236,1.12e-05,0.202,0.872,107.661,196160,4
50,Bad Bunny,Otra Noche en Miami,4vCAzANUWDE24URV6wQ4ra,77,0.514,0.646,1,-8.833,1,0.275,0.197,2.3e-05,0.0958,0.297,88.661,233128,4
51,Rauw Alejandro,Tattoo,7na7Bk98usp84FaOJFPv3d,78,0.755,0.617,9,-5.144,1,0.182,0.0217,0.0,0.0625,0.745,193.896,202887,4
