,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Metallica,Enter Sandman,5BIMPccDwShpXq784RJlJp,73,0.579,0.824,6,-8.71,0,0.03,0.00206,0.00903,0.059,0.635,123.331,331573,4
1,Linkin Park,In the End,60a0Rd6pjrkxjPbaKzXjfq,82,0.556,0.864,3,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,105.143,216880,4
2,Bon Jovi,Livin' On A Prayer,37ZJ0p5Jm13JPevGcx4SkF,82,0.532,0.887,0,-3.757,1,0.0335,0.0778,0.000214,0.294,0.795,122.511,249293,4
3,Papa Roach,Last Resort,5W8YXBz9MTIDyrpYaCg2Ky,78,0.589,0.89,4,-3.719,0,0.0603,0.000481,0.00082,0.201,0.692,90.598,199907,4
4,System Of A Down,Chop Suey!,2DlHlPMa4M17kufBvI2lEN,79,0.419,0.934,7,-3.908,0,0.12,0.000278,0.0015,0.132,0.286,127.288,210240,4
5,Linkin Park,Numb,2nLtzopw4rPReszdYBJU6h,80,0.496,0.863,9,-4.153,1,0.0381,0.0046,0.0,0.639,0.243,110.018,185587,4
6,Ozzy Osbourne,Crazy Train,2b9lp5A6CqSzwOrBfAFhof,76,0.453,0.906,9,-4.001,1,0.115,0.361,0.000569,0.26,0.473,137.575,296200,4
7,3 Doors Down,Kryptonite,6ZOBP3NvffbU4SZcrnt1k6,76,0.545,0.865,11,-5.708,0,0.0286,0.00664,1.12e-05,0.168,0.543,99.01,233933,4
8,Guns N' Roses,Sweet Child O' Mine,7snQQk1zcKl8gZ92AnueZW,72,0.446,0.952,6,-5.321,1,0.0523,0.0901,0.0857,0.112,0.624,125.303,356067,4
9,Five Finger Death Punch,Bad Company,6nULLS7CipGMSzgQDxDpd1,68,0.557,0.886,11,-4.196,0,0.0498,0.000595,9.84e-05,0.0904,0.17,114.025,262440,4
10,Avenged Sevenfold,Hail to the King,5anCkDvJ17aznvK5TED5uo,74,0.58,0.916,3,-4.358,0,0.0387,0.000297,0.0259,0.126,0.683,118.004,305907,4
11,Metallica,Nothing Else Matters,10igKaIKsSB6ZnWxPxPvKO,68,0.558,0.364,4,-11.258,0,0.0265,0.0505,5.02e-06,0.0753,0.17,142.171,388733,3
12,Three Days Grace,Animal I Have Become,56sk7jBpZV0CD31G9hEU3b,71,0.553,0.853,8,-3.668,1,0.0339,0.000684,0.0,0.126,0.506,122.023,231400,4
13,Slipknot,Unsainted,5mpUKTdskZea0gStWzeHUZ,75,0.427,0.946,7,-2.188,1,0.0469,0.000118,0.0253,0.0604,0.237,101.305,260773,4
14,Mötley Crüe,Kickstart My Heart,7GonnnalI2s19OCQO1J7Tf,75,0.361,0.97,7,-4.817,0,0.284,0.00169,0.00163,0.357,0.254,179.017,282920,4
15,Rage Against The Machine,Killing In The Name,59WN2psjkt1tyaxjspN8fp,77,0.466,0.833,7,-4.215,1,0.304,0.0266,0.0,0.0327,0.661,88.785,313573,4
16,Bon Jovi,You Give Love A Bad Name,0rmGAIH9LNJewFw7nKzZnc,79,0.541,0.96,0,-2.947,0,0.0505,0.0663,2.25e-06,0.344,0.812,122.803,222707,4
17,Guns N' Roses,Welcome To The Jungle,0G21yYKMZoHa30cYVi1iA8,71,0.453,0.987,8,-4.485,1,0.0889,0.0195,0.283,0.268,0.316,123.544,273480,4
18,Falling In Reverse,Popular Monster,4GssB27iJeqmfGxS94Tfij,74,0.461,0.897,3,-3.982,0,0.092,0.00821,0.0,0.0965,0.358,165.107,220537,4
19,Slipknot,Duality,61mWefnWQOLf90gepjOCb3,75,0.354,0.982,4,-3.026,0,0.168,0.000237,0.000294,0.204,0.194,143.772,252613,4
20,Disturbed,Down with the Sickness,40rvBMQizxkIqnjPdEWY1v,73,0.695,0.876,3,-4.262,0,0.0553,0.000996,6.89e-06,0.106,0.941,89.954,279213,4
21,Trapt,Headstrong,1AEYT6VxrxXPMoQUxsY0E4,72,0.492,0.896,4,-5.819,0,0.117,0.000172,2.78e-06,0.189,0.534,184.981,285570,4
22,Seether,Fake It,4eAwB5pnKFTmsgc3zWoYO0,72,0.611,0.95,8,-3.509,1,0.0518,0.00141,1.59e-06,0.0543,0.607,132.078,193893,4
23,Breaking Benjamin,I Will Not Bow,2yXyz4NLTZx9CLdXfLTp5E,70,0.533,0.955,8,-3.708,1,0.0653,0.000165,1.36e-05,0.38,0.55,107.984,216733,4
24,Theory of a Deadman,Rx (Medicate),2UZtI2HUyLRzqBjodvcUmY,69,0.639,0.71,1,-7.445,1,0.0275,0.0133,0.0,0.118,0.378,119.989,233173,4
25,Red Hot Chili Peppers,Under the Bridge,3d9DChrdc6BOeFsbrZ3Is0,80,0.559,0.345,4,-13.496,1,0.0459,0.0576,0.000105,0.141,0.458,84.581,264307,4
26,System Of A Down,Toxicity,0snQkGI5qnAmohLE7jTsTn,77,0.413,0.873,8,-4.151,1,0.0535,0.000264,0.0025,0.204,0.481,116.681,218933,3
27,Ozzy Osbourne,It's A Raid (feat. Post Malone),25Rdrp7aqTB3x3coVETp0N,68,0.472,0.996,1,-0.578,1,0.16,0.00687,0.0,0.392,0.114,117.004,260017,4
28,Nickelback,Rockstar,6n9yCXvLhnYMgJIiIcMu7D,67,0.616,0.91,0,-3.004,1,0.0386,0.0459,0.0,0.343,0.693,144.073,252040,4
29,Evanescence,Bring Me To Life,0COqiPhxzoWICwFCS4eZcp,77,0.331,0.943,4,-3.188,0,0.0698,0.00721,2.06e-06,0.242,0.296,94.612,235893,4
30,Guns N' Roses,Paradise City,6eN1f9KNmiWEhpE2RhQqB5,70,0.268,0.98,11,-5.958,1,0.103,0.0192,0.00709,0.182,0.395,100.315,405600,4
31,Nickelback,How You Remind Me,0gmbgwZ8iqyMPmXefof8Yf,77,0.446,0.764,10,-5.042,1,0.033,0.00135,0.0,0.099,0.543,172.094,223840,4
32,Godsmack,I Stand Alone,44NRdYQw7P0GWuiunRv3hr,67,0.217,0.92,8,-4.479,1,0.0628,2.86e-05,0.0,0.102,0.376,167.169,246040,4
33,Breaking Benjamin,The Diary of Jane - Single Version,0faXHILILebCGnJBPU6KJJ,67,0.392,0.964,10,-4.441,0,0.0644,7.13e-05,0.0387,0.106,0.269,167.024,200547,4
34,Kid Rock,All Summer Long,5rX6C5QVvvZB7XckETNych,71,0.7,0.864,7,-3.629,1,0.0283,0.0212,0.0,0.0956,0.887,102.997,297587,4
35,Rage Against The Machine,Bulls On Parade,0tZ3mElWcr74OOhKEiNz1x,73,0.412,0.919,5,-7.291,1,0.184,0.0124,0.0601,0.424,0.572,166.367,229467,4
36,Linkin Park,What I've Done,18lR4BzEs7e3qzc0KVkTpU,76,0.623,0.93,5,-5.285,1,0.0324,0.0141,1.64e-06,0.138,0.287,120.119,205613,4
37,Slipknot,Before I Forget,6wqJeItl3Vc3az4ZicSQAB,74,0.291,0.974,6,-2.997,0,0.171,0.0177,5.44e-06,0.886,0.348,134.724,278600,4
38,Drowning Pool,Bodies,7CpbhqKUedOIrcvc94p60Y,71,0.659,0.93,4,-3.41,0,0.0783,0.00364,0.00124,0.149,0.534,130.94,201960,4
