,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,The Jam,Town Called Malice,0gdmDP6xy3ZV7JNoHWAN9k,66,0.542,0.91,7,-8.924,1,0.0873,0.00228,0.00524,0.0686,0.775,101.774,173320,4
1,The Vapors,Turning Japanese - Non Stop Edit,1MANhf0nwr6gFwsRJMeDbr,50,0.503,0.908,0,-5.845,1,0.0641,0.0273,7.88e-05,0.396,0.92,179.929,224107,4
2,The Vapors,Turning Japanese,30cHDhxUqgnHq78hv5UjMx,50,0.503,0.803,0,-9.701,1,0.0485,0.01,0.0648,0.292,0.941,179.007,225187,4
3,The Jam,That's Entertainment,7MH7TkjQ4RA1vG454dciw0,58,0.567,0.653,0,-11.524,0,0.0336,0.211,0.000489,0.0639,0.78,142.218,212787,4
4,The Undertones,Teenage Kicks,7ATyLePQnHxFk5kzxWCcsh,44,0.415,0.782,2,-6.745,1,0.0461,0.0011,0.0,0.14,0.564,135.029,148480,4
5,The Jam,Going Underground,6ALPLbDJ9eWVij9ep3Cgf4,59,0.319,0.836,11,-6.706,1,0.113,0.00364,1.84e-05,0.1,0.94,180.56,174507,4
6,Ocean Colour Scene,The Day We Caught The Train,4oPF43XotiOin8UroIsE0t,36,0.518,0.657,2,-7.78,1,0.0371,0.0678,0.0,0.169,0.516,89.081,186040,4
7,The Only Ones,"Another Girl, Another Planet - 2008 re-mastered version",5TmQl8urbTlfZb8xKisSl0,48,0.325,0.838,1,-6.501,0,0.144,0.0327,0.00042,0.126,0.449,156.507,181173,4
8,Ocean Colour Scene,The Riverboat Song,29cKAB63SRhL2GZdMHmQON,35,0.477,0.849,11,-6.423,0,0.0282,0.00513,3.67e-05,0.526,0.626,106.778,292850,3
9,The Jam,In The City,250dZY8xYbhHGQpM6bgL52,50,0.374,0.817,7,-9.133,1,0.0488,0.00108,6.63e-05,0.336,0.918,177.138,137800,4
10,The Only Ones,Another Girl Another Planet,0PDZ4Rgj36MxVgvoMv3sk5,46,0.325,0.688,4,-12.473,1,0.117,0.179,0.000104,0.137,0.378,156.349,180093,4
11,The Jam,Start!,4svNZgdVZNtpWKbb7nsaLs,46,0.632,0.351,0,-8.896,1,0.0503,0.00691,6.38e-05,0.108,0.913,139.339,149867,4
12,Ocean Colour Scene,Hundred Mile High City,2wzlBHwTzwUVM9Tj86eFcv,28,0.428,0.94,2,-3.89,1,0.0486,0.00012,0.00357,0.63,0.701,112.178,238307,4
13,The Jam,The Eton Rifles,39PU2z9LesM4HRvD6zY1Tg,46,0.407,0.825,9,-9.193,0,0.0318,0.000582,0.118,0.101,0.871,157.32,237560,4
14,The Undertones,Get Over You,6cBdH2HpRZIsZIliZjlxz9,28,0.31,0.843,1,-7.954,0,0.0768,6.2e-05,1.93e-06,0.297,0.144,173.251,165720,4
15,The Undertones,My Perfect Cousin,5VaqQRje0gW0NJz44flozi,28,0.509,0.858,9,-10.257,1,0.0508,0.0038,0.00258,0.0762,0.382,158.627,156360,4
16,The Only Ones,The Whole Of The Law - 2008 re-mastered version,2s9Q0MX0Fhqh1GLpTtaucm,30,0.296,0.554,0,-8.768,1,0.0427,0.645,0.00023,0.339,0.409,197.713,157973,4
17,The Undertones,Here Comes the Summer - Single Version,6tVh4vdgv1kUnghTlMF4kM,26,0.299,0.805,9,-4.159,1,0.0571,0.01,0.0107,0.18,0.643,184.337,99440,4
18,Ocean Colour Scene,The Circle,3N1Xrt9btorW8O6eGV1XVl,22,0.504,0.866,2,-5.715,1,0.0372,0.00147,0.0682,0.386,0.597,124.07,223467,4
19,The Jam,The Bitterest Pill (I Ever Had To Swallow),4FNwrhEtMgsx9BwnLdBjBb,42,0.485,0.675,2,-10.317,1,0.0314,0.00717,0.0,0.087,0.867,112.385,213320,4
20,The Jam,All Mod Cons,6CQnMebNgdhuAkIkEBpHUK,33,0.458,0.668,9,-12.215,1,0.115,0.0951,0.000118,0.306,0.692,168.227,78973,4
21,The Jam,Down In The Tube Station At Midnight - Single Version,5TXC1nMc1xfxu4a0k2GYOS,25,0.278,0.806,9,-7.772,0,0.172,0.039,0.0,0.0977,0.787,172.551,241907,4
22,The Jam,Beat Surrender,4rNgFyEBbLSDQmOa3MZCNQ,40,0.396,0.882,2,-11.068,1,0.0362,0.00106,0.0,0.179,0.875,156.658,207720,4
23,The Jam,The Eton Rifles - Single Edit,72zLGWrF2jxT6qs9sjFMPz,35,0.424,0.873,9,-6.13,0,0.0434,0.00451,0.0202,0.109,0.82,157.403,208041,4
24,The Like,Wishing He Was Dead,5HLkTvF7CTHnfi6KVy6nZI,18,0.469,0.952,0,-2.011,0,0.0471,0.0825,6.4e-05,0.066,0.648,132.209,173027,4
25,Tommy and the Commies,Permanent Fixture,6rkavSkdmCeAsJdslXdMnb,18,0.374,0.87,1,-5.915,0,0.0463,4.42e-06,0.896,0.405,0.688,92.019,112303,4
26,The Jam,Art School,6kuOcML4JpguqS0JEZ86jG,34,0.459,0.827,2,-9.667,1,0.0451,0.00904,0.0,0.139,0.542,98.277,121067,4
27,The Draytones,Keep Loving Me,1pLTD71O0zvnAYHXn2uC9K,25,0.42,0.922,9,-4.304,1,0.0437,0.00317,0.13,0.0484,0.582,146.339,283627,4
28,The Jam,Absolute Beginners,5u7cMsgFixxV8Ty9Up7ZeY,23,0.612,0.876,9,-5.608,1,0.0956,0.0629,0.0,0.378,0.908,129.216,170867,4
29,The Jam,Down In The Tube Station At Midnight - Full Version,6tix2R9ovEBCCzDofs2DyT,38,0.284,0.706,0,-11.307,1,0.114,0.0494,1.96e-06,0.0865,0.657,172.82,283093,4
30,The Like,He's Not A Boy,2svZWfo65AqGg9OVbLgbf6,17,0.422,0.943,1,-2.269,1,0.0598,0.0833,0.0,0.0909,0.872,104.835,155053,4
31,The Undertones,You've Got My Number (Why Don't You Use It!),5af2mG7oSTPPR4yWlL6ePs,26,0.457,0.751,4,-8.632,1,0.0379,7.48e-06,0.262,0.223,0.874,151.194,160093,4
32,Tommy and the Commies,Throwaway Love,4lAjL1ZT607Yb4AoMku5Oc,18,0.219,0.945,4,-4.054,1,0.0931,3.9e-05,0.74,0.0692,0.575,175.937,120178,4
33,The Jam,The Modern World,1pXXriSh4lpOKFqsAWVdHe,35,0.388,0.825,9,-10.555,1,0.0557,0.0015,3.94e-06,0.138,0.853,159.744,150627,4
34,The Undertones,Jimmy Jimmy,5nM8BgBo09vSUkkbvFvjik,23,0.411,0.84,9,-6.513,1,0.0424,0.000162,1.94e-05,0.0774,0.616,160.008,164467,4
35,The Jam,David Watts,6bH2d6eZwgh26hz0XJL6Qf,37,0.525,0.646,9,-10.633,1,0.0351,0.134,0.0185,0.0894,0.787,152.304,174920,4
36,The Undertones,It's Going to Happen!,2heE3QU9g8VgAqHU5qVcrJ,22,0.661,0.468,0,-10.249,1,0.0327,0.0599,0.0,0.223,0.963,110.756,221600,4
37,The Only Ones,"Another Girl, Another Planet",6GmmlnmSuQ0lQa1ntMb2KN,24,0.331,0.667,4,-12.977,1,0.111,0.162,5.53e-05,0.113,0.397,156.296,181000,4
38,Small Hours,Chimeric DNA,0z63FQ0U1zqcBbYmjKw50b,20,0.538,0.988,1,-6.653,1,0.0743,0.00114,0.0198,0.159,0.194,127.981,220478,4
39,The Like,June Gloom,759QZI9meGXBKEmmL0X7lD,15,0.464,0.751,0,-4.658,1,0.0281,0.00016,0.0102,0.137,0.316,92.84,248600,4
40,Secret Affair,My World,4ku97HYz4D8CW3fwlwy9Eg,30,0.453,0.887,2,-4.644,1,0.0535,0.172,0.0,0.121,0.775,78.027,220333,4
41,The Undertones,Wednesday Week,0iEF6o4Ba9O98VSFGECN5N,21,0.34,0.469,5,-10.557,1,0.0305,0.000203,7.52e-06,0.139,0.605,149.979,139080,4
42,The Like,Narcissus In A Red Dress,3y1nxey1aQ1NH9Ojc1GshT,14,0.642,0.802,11,-4.178,0,0.0385,0.0123,0.0,0.109,0.671,116.478,221973,4
43,The Jam,Man In The Corner Shop,27hC7EAWLVpl7m8CbUO3Q3,35,0.641,0.821,11,-9.385,0,0.028,0.000173,0.417,0.0472,0.961,130.469,191867,4
44,The Jam,To Be Someone (Didn't We Have A Nice Time),3Bjoe0Q0Fkm920JuUzLBLd,35,0.417,0.607,2,-11.445,1,0.053,0.155,1.3e-05,0.116,0.67,148.844,148667,4
45,The Like,Release Me,2oQm3ov75Zko4tpa4YkyZK,14,0.569,0.851,7,-1.877,1,0.0367,0.291,2.45e-06,0.107,0.913,131.973,183000,4
46,Tommy and the Commies,Hurtin' Boys,7mo1h3Gt6QBIWVZW6VMDVl,15,0.402,0.923,9,-6.157,0,0.0759,3.6e-05,0.113,0.131,0.195,86.983,147210,4
47,The Undertones,When Saturday Comes - Eden Studio Sessions 16/11/1980,1wMfneuH1yVwFxZR9wqWcl,31,0.577,0.709,7,-10.303,1,0.0341,0.000591,0.00011,0.11,0.796,138.896,163707,4
48,Ocean Colour Scene,Travellers Tune,7ByS11VHuDQuo9ulWj3Q7j,16,0.526,0.901,8,-4.713,1,0.0382,0.00301,0.0527,0.15,0.729,136.58,220317,4
49,Ocean Colour Scene,Better Day,7tFQ7doCgBbCnIFI21aGUb,21,0.474,0.563,10,-6.216,1,0.024,0.0421,0.0,0.119,0.348,79.549,228773,4
50,The Third Degree,Mercy,1Y1jYF0aShtlzNUl7CSaT7,31,0.614,0.944,1,-5.361,0,0.0464,0.00156,1.24e-06,0.34,0.75,129.942,199707,4
51,The Jam,Monday,6Xfvk73gSCk768QSHcT78B,32,0.56,0.653,2,-8.674,1,0.0302,0.00234,0.0,0.0926,0.64,130.267,177693,4
52,The Jam,'A' Bomb In Wardour Street,0uNicj3qxwGhHWQ4QnNfC2,34,0.639,0.781,4,-10.676,1,0.0545,0.00901,0.000107,0.151,0.881,154.4,156933,4
53,Ocean Colour Scene,Up On The Downside,4mn68aoJKDzAioJERt0wZC,30,0.539,0.827,11,-6.228,0,0.0375,0.000158,0.00173,0.0438,0.687,133.836,301360,4
