,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,"Earth, Wind & Fire",September,7Cuk8jsPPoNYQWXK9XRFvG,80,0.694,0.831,9,-7.288,1,0.0301,0.165,0.000892,0.25,0.98,125.901,215080,4
1,Marvin Gaye,Ain't No Mountain High Enough,7tqhbajSfrz2F7E1Z75ASX,79,0.663,0.6,7,-10.87,1,0.032,0.43,0.0,0.184,0.8,129.991,151667,4
2,The Temptations,My Girl,745H5CctFr12Mo7cqa1BMH,78,0.572,0.418,0,-10.738,1,0.0349,0.635,0.0,0.0961,0.694,104.566,165000,4
3,The Jackson 5,I Want You Back,4CbUtLtAcgLJ7mAIeooJS8,65,0.639,0.543,8,-12.777,1,0.0303,0.492,1.29e-05,0.28,0.937,98.185,180840,4
4,Stevie Wonder,"Signed, Sealed, Delivered (I'm Yours)",2eF8pWbiivYsYRpbntYsnc,74,0.675,0.597,5,-11.329,1,0.0337,0.0534,0.0,0.0986,0.828,108.875,161160,4
5,The Foundations,Build Me Up Buttercup,6sPOmDulFtLzfX25zICNrC,71,0.66,0.512,0,-7.183,1,0.0294,0.313,0.0,0.283,0.852,133.607,177533,4
6,Stevie Wonder,Superstition - Single Version,1h2xVEoJORqrg71HocgqXd,75,0.633,0.634,8,-12.115,1,0.0725,0.038,0.0064,0.0385,0.872,100.499,245493,4
7,Bill Withers,Ain't No Sunshine,1k1Bqnv2R0uJXQN4u6LKYt,75,0.479,0.416,4,-11.451,0,0.124,0.457,1.72e-05,0.118,0.514,79.593,125093,4
8,Prince,Purple Rain,54X78diSLoUDI3joC2bjMz,74,0.367,0.452,10,-10.422,1,0.0307,0.0353,0.00228,0.689,0.189,113.066,520787,4
9,"Earth, Wind & Fire",Let's Groove,3koCCeSaVUyrRo3N2gHrd8,71,0.869,0.648,11,-8.698,0,0.0633,0.121,2.17e-05,0.126,0.9,125.035,339320,4
10,The Jackson 5,ABC,6wDviYDtmSDZ0S6TVMM9Vc,63,0.715,0.678,8,-11.842,1,0.0475,0.486,0.000192,0.15,0.947,94.769,177733,4
11,Ben E. King,Stand by Me,3SdTKo2uVsxFblQjpScoHy,76,0.65,0.306,9,-9.443,1,0.0393,0.57,7.07e-06,0.0707,0.605,118.068,180056,4
12,Commodores,Easy,1JQ6Xm1JrvHfvAqhl5pwaA,75,0.589,0.384,10,-15.075,0,0.0332,0.112,2.8e-05,0.0596,0.354,132.909,256427,4
13,Stevie Wonder,Sir Duke,4pNiE4LCVV74vfIBaUHm1b,70,0.588,0.568,6,-9.766,1,0.0672,0.16,0.0,0.0792,0.952,106.938,232760,4
