,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Montserrat Caballé,"Così fan tutte / Act 1: ""Soave sia il vento"" - ""Non son cattivo"" - ""Che vita maledetta"" - ""Madame, ecco la vostra colazione""",0mar1pMsd2nH57P9Fb8LfZ,18,0.279,0.0661,4,-23.807,1,0.0494,0.985,0.0092,0.225,0.0551,84.578,302400,3
1,Jessye Norman,"Le nozze di Figaro, K.492 / Act 2: ""Porgi amor""",3h1ZUjUXEZhsZYvvkpMsvs,21,0.155,0.0517,3,-21.346,1,0.0527,0.986,0.0106,0.0956,0.0364,191.995,237773,4
2,Sumi Jo,"Die Zauberflöte / Act 2: ""Der Hölle Rache kocht in meinem Herze""",5Xiwno5eH1TiSLG0KusfA3,28,0.423,0.22,5,-13.747,1,0.0407,0.971,0.0538,0.441,0.307,145.221,172573,4
3,Cecilia Bartoli,"Don Giovanni, K.527 / Act 1: ""Là ci darem la mano""",1tYaHLjdp1X2TKTN3EUtqd,20,0.377,0.192,9,-13.894,1,0.046,0.982,0.00307,0.205,0.208,115.958,193880,4
4,Cecilia Bartoli,"Le nozze di Figaro, K.492 - Original version, Vienna 1786 / Act 2: ""Voi che sapete""",2tGw72puH0L3hhKSxi5WLE,22,0.364,0.157,10,-15.267,1,0.0492,0.986,0.00123,0.147,0.175,113.757,167440,4
5,Cecilia Bartoli,"Die Zauberflöte, K.620 / Act 2: ""Pa-Pa-Pa-Pa-Pa-Pa-Papagena!""",6A7jD62yMZ3FQn4Nx1M7EF,22,0.541,0.224,2,-20.171,1,0.0479,0.94,0.0346,0.117,0.658,116.591,144027,4
6,Charles Gounod,Ave Maria,2kyEgPaAW8wdpvevPnkf0Z,61,0.132,0.0195,0,-29.76,1,0.0445,0.993,0.888,0.0569,0.14,81.616,163267,3
7,Nicolai Ghiaurov,"Eugene Onegin, Op.24, TH.5 / Act 3: ""Lyubvi vsye vozrasti pokorni""",05LZ5CtLP0tYTcyB0QoTyO,12,0.286,0.139,6,-18.422,1,0.042,0.985,0.0239,0.119,0.0853,131.519,364613,4
8,Dmitri Hvorostovsky,"Eugene Onegin, Op.24, TH.5 / Act 1: Scene and Arioso. ""Kak shchastliv, kak shchastliv ya!"" - ""Ya lyublyu vas""",7teTkPW3R75Gfj5LgClG3l,9,0.251,0.0977,4,-23.397,1,0.0433,0.978,0.000602,0.0763,0.0955,89.865,340267,4
9,Dmitri Hvorostovsky,"Pique Dame (Pikovaya Dama), Op.68, TH.10 / Act 2: ""Vy tak pechalny""",50inAcAqFurc2FaZYzCM4M,6,0.157,0.202,3,-18.962,1,0.0451,0.987,0.486,0.0878,0.0633,82.978,343027,3
