,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Arizona Zervas,ROXANNE,696DnlkuDOXcMAnKlTgXXK,97,0.621,0.601,6,-5.616,0,0.148,0.0522,0.0,0.46,0.457,116.735,163636,5
1,Dua Lipa,Don't Start Now,6WrI0LAC5M1Rw2MnX2ZvEg,97,0.794,0.793,11,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,123.941,183290,4
2,The Weeknd,Blinding Lights,0sf12qNH5qcw8qpgymFOqD,99,0.513,0.796,1,-4.075,1,0.0629,0.00147,0.000209,0.0938,0.345,171.017,201573,4
3,Tones and I,Dance Monkey,2XU0oxnq2qxCpomAAuJY8K,98,0.824,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027,209438,4
4,Future,Life Is Good (feat. Drake),5yY9lUy8nbvjM1Uyo1Uqoc,96,0.676,0.609,2,-5.831,0,0.481,0.0706,0.0,0.152,0.508,142.037,237735,4
5,Doja Cat,Say So,3Dv1eDb0MEgF93GpLXlucZ,92,0.787,0.673,11,-4.577,0,0.158,0.256,3.57e-06,0.0904,0.786,110.962,237893,4
6,Camila Cabello,My Oh My (feat. DaBaby),3yOlyBJuViE2YSGn3nVE1K,92,0.724,0.491,8,-6.024,1,0.0296,0.018,1.29e-05,0.0887,0.383,105.046,170746,4
7,Justin Bieber,Forever (feat. Post Malone & Clever),2ZlCGeK30BLRNSPC832pNZ,88,0.825,0.483,8,-5.746,0,0.08,0.538,1.48e-05,0.204,0.892,139.98,219933,4
8,blackbear,hot girl bummer,7aiClxsDWFRQ0Kzk5KI5ku,91,0.778,0.559,6,-7.109,0,0.0776,0.128,0.0,0.399,0.678,129.989,185093,1
9,Justin Bieber,Intentions,364dI1bYnvamSnBJ8JcNzN,92,0.811,0.553,9,-6.644,1,0.0552,0.317,0.0,0.105,0.86,148.014,212869,4
10,Justin Bieber,Yummy,41L3O37CECZt3N7ziG2z7l,95,0.687,0.514,9,-6.612,0,0.0897,0.366,0.0,0.116,0.494,145.921,210427,4
11,Trevor Daniel,Falling,4TnjEaWOeW0eKTKIEvJyCa,97,0.784,0.43,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.087,159382,4
12,The Weeknd,After Hours,4ejyZ4uJEXUURcgKp1kP8v,88,0.663,0.567,5,-5.941,0,0.0309,0.0938,0.00978,0.124,0.139,108.959,361947,4
13,Lewis Capaldi,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,93,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,182161,4
14,Justin Bieber,Intentions (feat. Quavo),4umIPjkehX1r7uhmGvXiSV,86,0.806,0.546,9,-6.637,1,0.0575,0.3,0.0,0.102,0.874,147.986,212867,4
15,Billie Eilish,bad guy,2Fxmhks0bxGSBdJ92vM42m,94,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4
16,BROCKHAMPTON,SUGAR,6U0FIYXCQ3TGrk4tFpLrEA,90,0.453,0.538,1,-8.212,1,0.0638,0.449,0.0,0.19,0.516,122.973,204533,4
17,Justin Bieber,Come Around Me,2o9LAypwGH4ctV0i9boo6d,81,0.648,0.681,2,-8.389,0,0.0378,0.263,0.00783,0.0971,0.767,157.941,200773,4
18,Halsey,You should be sad,7lidXGPXPYLNThITAOTlkK,91,0.591,0.585,2,-6.35,1,0.0277,0.143,0.0,0.109,0.324,110.94,205473,4
19,Harry Styles,Adore You,1M4qEo4HE3PRaCOM7EXNJq,89,0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048,207133,4
20,Justin Bieber,Habitual,40qyPyljksBEqlNw5sW37T,81,0.764,0.443,4,-6.625,1,0.0439,0.52,1.96e-05,0.0749,0.63,138.999,168200,4
21,Justin Bieber,All Around Me,5Py8zRKGkZvgHniVVtvNCN,80,0.566,0.438,0,-7.564,0,0.0367,0.809,0.0,0.212,0.692,117.127,136907,4
22,Justin Bieber,Second Emotion (feat. Travis Scott),1PnAx788sAvcI3ZxTlEyX8,80,0.796,0.777,11,-6.112,0,0.0567,0.0276,2.87e-05,0.095,0.96,141.97,202720,4
23,Jonas Brothers,What A Man Gotta Do,4wNIkl5XGiAACjFBlDWuSd,90,0.852,0.698,9,-7.206,1,0.0629,0.00839,1.03e-06,0.0773,0.324,113.039,180645,4
24,Justin Bieber,Available,1b6tPXXCV2fSNtR3SKWUQA,79,0.702,0.608,3,-6.843,1,0.0359,0.0736,0.0,0.129,0.597,75.012,195333,4
25,Justin Bieber,Running Over (feat. Lil Dicky),75nKBP8jQu681pTNCtrEnn,79,0.774,0.603,11,-7.319,1,0.0591,0.438,4.37e-05,0.0869,0.977,149.982,179627,4
26,Justin Bieber,Confirmation,60brXKLTC15vK0av5gIldm,78,0.438,0.315,8,-8.186,1,0.0375,0.608,0.0,0.151,0.449,190.064,170587,3
