,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Jonas Brothers,What A Man Gotta Do,4wNIkl5XGiAACjFBlDWuSd,90,0.852,0.698,9,-7.206,1,0.0629,0.00839,1.03e-06,0.0773,0.324,113.039,180645,4
1,Panic! At The Disco,High Hopes,1rqqCSm0Qe4I9rUvWncaom,84,0.579,0.904,5,-2.729,1,0.0618,0.193,0.0,0.064,0.681,82.014,190947,4
2,Vance Joy,Riptide,3JvrhDOgAt6p7K8mDyZwRd,77,0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654,204280,4
3,Niall Horan,No Judgement,5IUOU5xkzGHsRFOYNu3GSK,82,0.723,0.726,1,-3.835,0,0.0472,0.0564,0.000126,0.057,0.962,100.051,176283,4
4,Wallows,Are You Bored Yet? (feat. Clairo),57RA3JGafJm5zRtKJiKPIm,77,0.682,0.683,8,-6.444,0,0.0287,0.156,2.32e-05,0.273,0.64,120.023,178000,4
5,Jonas Brothers,Only Human,0DiDStADDVh3SvAsoJAFMk,84,0.795,0.496,0,-5.883,1,0.0722,0.108,0.0,0.0645,0.874,94.01,183000,4
6,Niall Horan,Nice To Meet Ya,3cphb8kdsjElYR7r5icK3H,83,0.591,0.841,4,-4.351,0,0.0304,0.0119,0.0,0.395,0.392,109.034,158805,4
7,Plain White T's,Hey There Delilah,4RCWB3V8V0dignt99LZ8vH,79,0.657,0.291,2,-10.572,1,0.0293,0.872,0.0,0.114,0.298,103.973,232533,4
8,Foster The People,Pumped Up Kicks,7w87IxuO7BDcJ3YUqCyMTT,82,0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,239600,4
9,The Neighbourhood,Sweater Weather,2QjOHCTQ1Jl3zawyYOpxh6,79,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,240400,4
10,Train,"Hey, Soul Sister",4HlFJV71xXKIGcU3kRyttv,81,0.673,0.886,1,-4.44,0,0.0431,0.185,0.0,0.0826,0.795,97.012,216773,4
