,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,blink-182,All The Small Things,2m1hi0nfMR9vdGC8UcrnwU,78,0.434,0.897,0,-4.918,1,0.0488,0.0103,0.0,0.612,0.684,148.726,167067,4
1,My Chemical Romance,Welcome to the Black Parade,5wQnmLuC1W7ATsArWACrgW,77,0.217,0.905,2,-4.103,1,0.0752,0.000289,0.00011,0.222,0.236,96.95,311107,4
2,Fall Out Boy,"Sugar, We're Goin Down",2TfSHkHiFO4gRztVIkggkE,76,0.494,0.841,7,-4.784,1,0.0838,0.00579,0.0,0.122,0.567,162.013,229093,4
3,My Chemical Romance,Teenagers,7j31rVgGX9Q2blT92VBEA0,76,0.463,0.857,4,-3.063,1,0.0632,0.0506,0.0,0.184,0.856,111.647,161920,4
4,The Offspring,"You're Gonna Go Far, Kid",6TfBA04WJ3X1d1wXhaCFVT,76,0.55,0.917,0,-3.159,1,0.0638,0.00428,0.0,0.197,0.601,126.115,177827,4
5,blink-182,What's My Age Again?,4LJhJ6DQS7NwE7UKtvcM52,74,0.391,0.951,6,-7.419,1,0.0692,0.0126,0.000378,0.0878,0.468,157.66,148360,4
6,Fall Out Boy,Centuries,04aAxqtGp5pv12UXAg4pkq,78,0.394,0.858,4,-2.868,0,0.0729,0.00359,0.0,0.102,0.56,176.044,228360,4
7,Sublime,Santeria,2hnMS47jN0etwvFPzYk11f,73,0.682,0.765,1,-5.021,0,0.0395,0.0268,3.42e-05,0.188,0.567,90.807,182747,4
8,blink-182,I Miss You,1oTo3ijRbaDAtrjJrGAPSw,68,0.664,0.781,11,-6.547,1,0.0339,0.00103,5.33e-06,0.0867,0.593,110.0,227240,4
9,Rise Against,Savior,3asFGFY3uLjMDmML1p0tYm,69,0.339,0.931,5,-3.425,0,0.062,0.0015,0.000142,0.425,0.467,112.548,242280,4
10,Falling In Reverse,Popular Monster,4GssB27iJeqmfGxS94Tfij,74,0.461,0.897,3,-3.982,0,0.092,0.00821,0.0,0.0965,0.358,165.107,220537,4
11,My Chemical Romance,I'm Not Okay (I Promise),7lRlq939cDG4SzWOF4VAnd,73,0.21,0.94,9,-3.427,1,0.123,0.00602,0.0,0.269,0.255,179.722,186480,4
12,Green Day,Basket Case,6L89mwZXSOwYl76YXfX13s,78,0.442,0.943,3,-3.205,1,0.0602,0.00293,8.71e-06,0.091,0.781,85.064,181533,4
13,Green Day,American Idiot,6nTiIhLmQ3FWhvrGafw2zj,77,0.38,0.988,1,-2.042,1,0.0639,2.64e-05,7.86e-05,0.368,0.769,186.113,176346,4
14,My Chemical Romance,Helena,5dTHtzHFPyi8TlTtzoz1J9,73,0.356,0.96,4,-3.487,1,0.104,0.0142,0.0,0.209,0.0857,125.921,204733,4
15,Fall Out Boy,Thnks fr th Mmrs,3Zwu2K0Qa5sT6teCCHPShP,75,0.459,0.891,10,-5.057,0,0.0623,0.00511,0.0,0.106,0.588,154.837,203507,4
16,Bowling For Soup,1985,5oQcOu1omDykbIPSdSQQNJ,68,0.606,0.887,4,-4.404,1,0.0598,0.000242,0.0,0.337,0.903,119.974,193000,4
17,Yellowcard,Ocean Avenue,23oxJmDc1V9uLUSmN2LIvx,71,0.486,0.904,6,-3.751,0,0.0638,3.43e-05,2.83e-05,0.0947,0.786,173.734,198267,4
18,blink-182,First Date,1fJFuvU2ldmeAm5nFIHcPP,72,0.579,0.928,0,-4.344,1,0.0411,0.000715,0.0,0.18,0.882,95.594,171533,4
19,Paramore,Misery Business,6SpLc7EXZIPpy0sVko0aoU,70,0.517,0.906,1,-3.677,1,0.0735,0.00272,9.26e-06,0.113,0.731,172.977,211520,4
20,The All-American Rejects,Gives You Hell,6ihL9TjfRjadfEePzXXyVF,70,0.718,0.691,4,-6.44,1,0.0387,0.0159,0.0,0.0627,0.552,100.008,213107,4
21,Cage The Elephant,Ain't No Rest for the Wicked,3Pzh926pXggbMe2ZpXyMV7,72,0.634,0.849,0,-7.075,1,0.105,0.0438,0.0,0.363,0.919,156.004,175493,4
22,Green Day,When I Come Around,1Dr1fXbc2IxaK1Mu8P8Khz,74,0.531,0.909,11,-4.236,1,0.034,0.0175,0.0,0.231,0.814,97.546,178000,4
23,Fall Out Boy,"Dance, Dance",0a7BloCiNzLDD9qSQHh5m7,73,0.62,0.961,11,-3.198,0,0.154,0.00523,0.0,0.0854,0.449,114.448,180267,4
