,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Future,Life Is Good (feat. Drake),5yY9lUy8nbvjM1Uyo1Uqoc,96,0.676,0.609,2,-5.831,0,0.481,0.0706,0.0,0.152,0.508,142.037,237735,4
1,Arizona Zervas,ROXANNE,696DnlkuDOXcMAnKlTgXXK,97,0.621,0.601,6,-5.616,0,0.148,0.0522,0.0,0.46,0.457,116.735,163636,5
2,Trevor Daniel,Falling,4TnjEaWOeW0eKTKIEvJyCa,97,0.784,0.43,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.087,159382,4
3,YNW Melly,Suicidal,1iSqfoUFnQwV0QW1EfUit8,91,0.736,0.369,9,-9.682,0,0.0688,0.334,0.0,0.126,0.235,140.005,222997,4
4,Juice WRLD,Bandit (with YoungBoy Never Broke Again),6Gg1gjgKi2AK4e0qzsR7sd,89,0.474,0.631,5,-5.884,0,0.343,0.0687,0.0,0.132,0.425,180.051,189323,4
5,Mustard,Ballin' (with Roddy Ricch),3QzAOrNlsabgbMwlZt7TAY,89,0.809,0.545,7,-6.678,1,0.0735,0.392,0.0,0.151,0.244,97.008,180435,4
6,Lil Uzi Vert,Futsal Shuffle 2020,2Ec33AVlkTTq8BHFgBTdQs,87,0.881,0.457,7,-8.191,0,0.156,0.0327,0.0,0.231,0.296,136.97,198913,4
7,Lil Mosey,Blueberry Faygo,6wJYhPfqk3KGhHRG76WzOh,88,0.774,0.554,0,-7.909,1,0.0383,0.207,0.0,0.132,0.349,99.034,162547,4
8,Travis Scott,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,90,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,175721,4
9,A Boogie Wit da Hoodie,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)",733c1CWmIGymoQXdp7Us88,83,0.819,0.654,11,-6.665,0,0.136,0.517,0.0,0.0996,0.455,133.503,188563,4
10,JACKBOYS,OUT WEST (feat. Young Thug),6gi6y1xwmVszDWkUqab1qw,87,0.802,0.591,8,-4.895,1,0.225,0.0104,0.0,0.196,0.309,139.864,157712,4
11,Juice WRLD,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,89,0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903,239836,4
12,Eminem,Godzilla (feat. Juice WRLD),7FIWs0pqAYbP91WWM0vlTQ,95,0.808,0.745,10,-5.26,0,0.342,0.145,0.0,0.292,0.829,165.995,210800,4
13,Juice WRLD,Robbery,6Hj9jySrnFppAI0sEMCZpJ,86,0.685,0.692,2,-5.122,1,0.0457,0.328,0.0,0.153,0.578,159.966,240051,5
14,Jack Harlow,WHATS POPPIN,3Q6F8RByyhRTJpRtZLY3cg,86,0.923,0.604,11,-6.671,0,0.245,0.017,0.0,0.272,0.826,145.062,139741,4
15,Doja Cat,Say So,3Dv1eDb0MEgF93GpLXlucZ,92,0.787,0.673,11,-4.577,0,0.158,0.256,3.57e-06,0.0904,0.786,110.962,237893,4
16,blackbear,hot girl bummer,7aiClxsDWFRQ0Kzk5KI5ku,91,0.778,0.559,6,-7.109,0,0.0776,0.128,0.0,0.399,0.678,129.989,185093,1
17,BROCKHAMPTON,SUGAR,6U0FIYXCQ3TGrk4tFpLrEA,90,0.453,0.538,1,-8.212,1,0.0638,0.449,0.0,0.19,0.516,122.973,204533,4
18,A Boogie Wit da Hoodie,Might Not Give Up (feat. Young Thug),4l2rsMfr20dj6nf6i6F3Y8,77,0.687,0.592,2,-6.378,1,0.224,0.203,0.0,0.279,0.246,178.83,225266,4
19,A Boogie Wit da Hoodie,Me and My Guitar,6cZH4rX1KTt1aJ3Ql6Ynja,76,0.644,0.587,7,-6.736,0,0.353,0.473,0.0,0.0759,0.68,173.972,161765,4
20,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,86,0.76,0.479,2,-5.574,1,0.0466,0.556,0.0,0.0703,0.913,89.911,158040,4
21,Juice WRLD,All Girls Are The Same,4VXIryQMWpIdGgYR4TrjT1,84,0.671,0.529,0,-7.226,1,0.307,0.0769,0.000335,0.0856,0.203,161.989,165820,4
22,Don Toliver,No Idea,3VyjsVV24RmBIbWJAeUJNu,89,0.656,0.614,6,-4.973,0,0.102,0.558,0.000862,0.215,0.35,128.038,153750,4
23,Lil Tecca,Ransom,1lOe9qE0vR9zwWQAOk6CoO,87,0.745,0.642,7,-6.257,0,0.287,0.0204,0.0,0.0658,0.226,179.974,131240,4
24,A Boogie Wit da Hoodie,Stain (feat. DaBaby),0dIz1I7IwX5ardG47AHxCZ,75,0.816,0.754,8,-3.911,1,0.389,0.0117,0.0,0.129,0.604,159.073,175128,4
25,A Boogie Wit da Hoodie,Thug Love,4MzhmCOgPB7xb87f1CXjlA,74,0.54,0.643,5,-4.707,0,0.288,0.428,0.0,0.174,0.328,178.125,181744,4
26,A Boogie Wit da Hoodie,Luv Is Art (feat. Lil Uzi Vert),0LVaWrTztFOuN7g7gcyLs8,73,0.489,0.554,2,-8.437,1,0.183,0.212,1.9e-06,0.088,0.331,86.584,161056,4
