,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,The Weeknd,Blinding Lights,0sf12qNH5qcw8qpgymFOqD,99,0.513,0.796,1,-4.075,1,0.0629,0.00147,0.000209,0.0938,0.345,171.017,201573,4
1,Trevor Daniel,Falling,4TnjEaWOeW0eKTKIEvJyCa,97,0.784,0.43,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.087,159382,4
2,The Weeknd,After Hours,4ejyZ4uJEXUURcgKp1kP8v,88,0.663,0.567,5,-5.941,0,0.0309,0.0938,0.00978,0.124,0.139,108.959,361947,4
3,The Weeknd,Heartless,57vxBYXtHMk6H1aD29V7PU,88,0.531,0.75,10,-5.831,0,0.111,0.00632,7.6e-05,0.117,0.198,169.954,200080,4
4,JP Saxe,If The World Was Ending (feat. Julia Michaels),2kJwzbxV2ppxnQoYw4GLBZ,88,0.464,0.473,1,-10.086,1,0.129,0.866,0.0,0.109,0.604,75.801,208687,4
5,Joji,SLOW DANCING IN THE DARK,0rKtyWc8bvkriBthvHKY8d,84,0.515,0.479,3,-7.458,1,0.0261,0.544,0.00598,0.191,0.284,88.964,209274,4
6,Khalid,Know Your Worth,0TrPqhAMoaKUFLR7iYDokf,86,0.79,0.694,9,-7.726,0,0.0708,0.145,0.00252,0.281,0.508,103.007,181436,4
7,Joji,Run,6p8eEdiZLKJH8tcjGZuNTK,85,0.447,0.72,7,-3.954,1,0.0332,0.0416,0.000297,0.614,0.362,157.892,195000,3
8,Khalid,Eleven,1ToprX3cpBiXoAe5eNSk74,85,0.701,0.396,4,-10.182,0,0.119,0.112,0.0209,0.223,0.115,129.004,206361,4
9,H.E.R.,Slide,2rTnVB1bvwxHtaIl4uVu7f,78,0.827,0.469,10,-9.141,0,0.341,0.0807,8.12e-06,0.207,0.196,97.028,238321,4
10,Khalid,Young Dumb & Broke,5Z3GHaZ6ec9bsiI5BenrbY,81,0.798,0.539,1,-6.351,1,0.0421,0.199,1.66e-05,0.165,0.394,136.949,202547,4
11,Khalid,Better,6zeeWid2sgw4lap2jV61PZ,79,0.596,0.552,0,-10.278,0,0.097,0.0765,0.334,0.104,0.112,97.949,229320,4
12,Chris Brown,No Guidance (feat. Drake),6XHVuErjQ4XNm6nDPVCxVX,82,0.698,0.454,1,-6.756,0,0.151,0.123,0.0,0.155,0.137,92.932,260640,4
13,Jhené Aiko,P*$$Y Fairy (OTW),48KXAIruJ07kJVCWOGohMV,78,0.572,0.519,2,-7.092,0,0.212,0.536,0.0,0.102,0.35,128.331,181860,4
14,Khalid,Location,152lZdxL1OR0ZMW6KquMif,80,0.736,0.449,1,-11.462,0,0.425,0.33,0.000162,0.0898,0.326,80.126,219080,4
15,Khalid,Up All Night,1mpD5Q8IM32I4bF6eCpU74,82,0.665,0.712,1,-7.536,1,0.0527,0.00103,0.00342,0.102,0.669,93.989,157220,4
16,Khalid,Talk (feat. Disclosure),6TqXcAFInzjp0bODyvrWEq,80,0.901,0.4,0,-8.575,1,0.126,0.051,0.0,0.0599,0.346,135.984,197573,4
17,DaniLeigh,Easy - Remix,4CMrdHWqic0usIZfTrKoI3,77,0.799,0.301,7,-11.361,1,0.185,0.195,0.0,0.0816,0.511,100.026,186587,4
18,The Weeknd,Call Out My Name,09mEdoA6zrmBPgTEN5qXmN,83,0.461,0.593,1,-4.954,1,0.0356,0.17,0.0,0.307,0.175,134.17,228373,3
19,Frank Ocean,Chanel,6Nle9hKrkL1wQpwNfEkxjh,80,0.776,0.503,0,-5.732,0,0.237,0.874,0.0,0.112,0.473,110.134,210285,4
20,The Weeknd,Starboy,7MXVkk9YMctZqd1Srtv4MB,84,0.678,0.588,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.005,230453,4
21,The Weeknd,The Hills,7fBv7CLKzipRk6EC6TWHOB,83,0.58,0.565,0,-7.065,0,0.0488,0.0671,0.0,0.135,0.138,112.986,242253,4
22,Rex Orange County,Best Friend,47Bg6IrMed1GPbxRgwH2aC,79,0.575,0.714,6,-5.247,1,0.0596,0.395,0.0,0.115,0.32,144.982,262231,4
23,H.E.R.,Best Part (feat. Daniel Caesar),4OBZT9EnhYIV17t4pGw7ig,77,0.473,0.371,4,-10.219,0,0.0405,0.795,0.0,0.109,0.413,75.208,209400,4
24,Khalid,8TEEN,5bgwqaRSS3M8WHWruHgSL5,77,0.83,0.585,1,-5.802,1,0.0366,0.225,0.00209,0.0576,0.642,105.03,228600,4
25,Khalid,Coaster,39KG4kom3enSx4GTThuDGt,75,0.441,0.219,8,-14.586,1,0.0419,0.935,0.0,0.115,0.244,94.021,199120,4
26,Rex Orange County,Loving Is Easy,5EYi2rH4LYs6M21ZLOyQTx,78,0.756,0.609,3,-7.927,1,0.0544,0.217,0.00474,0.096,0.537,117.023,155720,4
27,H.E.R.,"Slide (Remix) (feat. Pop Smoke, A Boogie Wit da Hoodie & Chris Brown)",6MO2bfLHKykUgCChFdw91H,76,0.815,0.513,1,-8.363,1,0.244,0.0145,0.000102,0.14,0.17,96.982,296011,4
28,Joji,YEAH RIGHT,1VGzxJnVQND7Cg5H5wGj14,78,0.672,0.588,1,-9.573,1,0.133,0.619,0.241,0.0992,0.204,169.033,174358,4
29,Joji,Sanctuary,3xaugmCyXrVkrDTXbFkMW3,80,0.552,0.65,1,-7.199,1,0.128,0.422,0.000275,0.372,0.316,167.788,180019,4
30,Rex Orange County,Sunflower,4EpZ4eYuZOwPSSwyqpdHnJ,78,0.384,0.765,6,-4.463,1,0.0579,0.646,0.00352,0.522,0.567,129.903,252231,4
31,Khalid,Love Lies (with Normani),45Egmo7icyopuzJN0oMEdk,77,0.708,0.648,6,-5.626,1,0.0449,0.0956,0.0,0.134,0.338,143.955,201707,4
32,Jhené Aiko,Triggered (freestyle),3PAptX72PPmjj1Igms0zjo,73,0.471,0.411,0,-9.5,1,0.295,0.81,0.0,0.135,0.363,89.484,211227,1
33,Jhené Aiko,None Of Your Concern,1nal3Tf1OCV53KigMZXsZ7,74,0.422,0.546,9,-8.155,0,0.249,0.844,0.0,0.108,0.385,74.741,262213,4
34,Khalid,OTW,6Hgh47WXVKtXN5zGOu0hjI,77,0.652,0.678,2,-6.183,1,0.0541,0.183,3.26e-05,0.106,0.28,72.989,263014,4
35,Daniel Caesar,Get You (feat. Kali Uchis),7zFXmv6vqI4qOt4yGf3jYZ,76,0.658,0.294,4,-8.533,0,0.0321,0.422,5.2e-05,0.0749,0.358,74.038,278180,4
36,Daniel Caesar,Best Part (feat. H.E.R.),1RMJOxR6GRPsBHL8qeC2ux,78,0.524,0.364,7,-10.209,1,0.0367,0.808,0.0,0.1,0.436,75.24,209831,4
37,Pink Sweat$,Honesty,2B1JaRSd7T7YP90n6sCh9I,72,0.66,0.139,6,-16.339,0,0.0322,0.964,8.02e-06,0.104,0.306,79.976,189000,4
38,Estelle,American Boy,22UDw8rSfLbUsaAGTXQ4Z8,78,0.727,0.729,0,-2.99,1,0.326,0.171,0.0,0.07,0.512,117.932,284733,4
39,Khalid,Saturday Nights,5kfNriitmkNE8mUbZ7gbq8,76,0.551,0.44,10,-8.559,1,0.0985,0.606,3.02e-05,0.11,0.341,167.923,210667,4
40,Joji,CAN'T GET OVER YOU (feat. Clams Casino),39oeKRgsLeynDIbWuXyA47,75,0.9,0.316,9,-8.797,1,0.332,0.684,0.0771,0.0853,0.844,129.914,107077,4
41,SAYGRACE,Boys Ain't Shit,6vzLbfskWigBsCzNdB0kfE,77,0.826,0.616,1,-4.729,0,0.137,0.435,0.00631,0.334,0.842,102.996,175884,4
42,tobi lou,Buff Baby,1F1QmI8TMHir9SUFrooq5F,74,0.734,0.765,5,-6.047,1,0.0571,0.243,0.0,0.101,0.512,156.04,215385,4
43,H.E.R.,Could've Been (feat. Bryson Tiller),6oEVnWKgPqIEPc53OYDNqG,73,0.455,0.352,1,-11.733,0,0.25,0.654,3.72e-06,0.249,0.407,103.342,252747,4
