,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Sublime,Santeria,2hnMS47jN0etwvFPzYk11f,73,0.682,0.765,1,-5.021,0,0.0395,0.0268,3.42e-05,0.188,0.567,90.807,182747,4
1,Bob Marley & The Wailers,Three Little Birds,6A9mKXlFRPMPem6ygQSt7z,77,0.814,0.482,9,-10.493,1,0.0588,0.0111,1.57e-06,0.0476,0.615,148.404,180267,4
2,Bob Marley & The Wailers,Could You Be Loved,5O4erNlJ74PIF6kGol1ZrC,76,0.916,0.72,0,-8.548,1,0.1,0.36,0.00016,0.0958,0.76,103.312,237000,4
3,Sublime,What I Got,3B4q6KbHbGV51HO3GznBFF,70,0.804,0.696,7,-7.47,1,0.0899,0.00877,0.000985,0.314,0.657,95.721,170907,4
4,UB40,Red Red Wine,4uOKFydzAejjSFqYbv1XPt,72,0.857,0.468,1,-8.53,1,0.0476,0.00414,1.32e-05,0.269,0.843,89.119,183733,4
5,Bob Marley & The Wailers,Is This Love,6JRLFiX9NJSoRRKxowlBYr,75,0.776,0.559,6,-8.375,0,0.103,0.11,0.0,0.0671,0.758,122.242,232200,4
6,Bob Marley & The Wailers,Jamming,4zn0kScuV9Oj28d4g9CQQs,73,0.934,0.467,11,-10.99,0,0.307,0.102,3.98e-05,0.109,0.73,123.583,211000,4
7,Bob Marley & The Wailers,One Love / People Get Ready - Medley,2HcyIzVsX45jLIxK7SH2aI,73,0.725,0.523,10,-9.593,1,0.324,0.0783,0.0,0.0665,0.95,76.292,172933,4
8,MAGIC!,Rude,6RtPijgfPKROxEzTHNRiDp,77,0.774,0.756,1,-4.995,1,0.0389,0.0423,0.0,0.305,0.931,144.032,224840,4
9,Shaggy,It Wasn't Me,0OaunKfsxkgBvPv68jBbmm,67,0.852,0.604,0,-4.569,1,0.0642,0.0503,0.0,0.327,0.667,94.762,227547,4
10,Slightly Stoopid,Closer to the Sun,1UL8GkVAs6UcWF6BZ3DYZt,62,0.572,0.728,7,-5.534,1,0.0275,0.203,0.00263,0.231,0.535,75.179,145560,4
11,Bob Marley & The Wailers,Buffalo Soldier,7BfW1eoDh27W69nxsmRicb,71,0.929,0.463,9,-8.651,1,0.308,0.142,5.26e-06,0.0634,0.757,124.084,255840,4
12,Bob Marley & The Wailers,Waiting In Vain,4Gq2ydMKhDZmctzkmk2bYo,70,0.769,0.457,8,-11.501,1,0.327,0.0292,3.07e-05,0.0599,0.806,78.789,256240,4
13,Bob Marley & The Wailers,Redemption Song,26PwuMotZqcczKLHi4Htz3,70,0.671,0.256,7,-10.743,1,0.0387,0.608,0.0,0.0737,0.694,115.871,233560,4
14,Big Mountain,"Baby, I Love Your Way",1Rvl8qsKJurfFTyWLBI9ib,70,0.651,0.747,1,-7.269,0,0.0699,0.0528,0.0,0.207,0.776,147.518,249520,4
15,Shaggy,Angel,7FDV5ELOJHCGLe52AnttEd,71,0.74,0.766,6,-2.939,1,0.178,0.116,0.0,0.0406,0.807,170.531,235133,4
16,Skip Marley,Slow Down (with H.E.R.),73FDJgnjt6ZcxoiavN6XrS,63,0.683,0.715,11,-6.024,0,0.0789,0.0409,1.72e-06,0.0935,0.77,99.989,195067,4
17,Slightly Stoopid,2am,4cs6ORX8aKd6rtVdwAnnel,58,0.794,0.577,2,-8.549,1,0.111,0.00594,0.37,0.0708,0.645,82.46,299600,4
18,Sublime,Wrong Way,2PdIo7ewQPuAsP99LVg9uy,63,0.69,0.681,9,-5.653,1,0.0379,0.0623,0.0,0.137,0.911,75.034,136147,4
19,The Expendables,Bowl For Two,260F1LrhRMiuXOZIaypMZd,60,0.728,0.5,4,-6.214,0,0.0344,0.0749,5.84e-06,0.108,0.382,138.528,283427,4
20,Dirty Heads,Vacation,7cdy4PbCdDZZNjyxoZyE0c,62,0.739,0.754,8,-5.034,1,0.035,0.0431,0.0,0.0999,0.793,150.017,209142,4
21,Damian Marley,Welcome To Jamrock,22AbXxQbMdVqEz7xJjhccG,66,0.835,0.661,7,-6.502,0,0.333,0.0208,0.0,0.449,0.753,76.723,213200,4
22,Slightly Stoopid,Collie Man,3Zjdqz7eOox8XU0zTCPL4P,59,0.61,0.706,0,-7.084,1,0.0483,0.183,0.000587,0.218,0.344,170.087,133080,3
23,Rebelution,Feeling Alright,2EDRUNdur7CGV2W2mwIRoS,60,0.836,0.584,7,-8.219,1,0.0793,0.0387,0.0,0.102,0.68,134.204,266400,4
24,Bob Marley & The Wailers,"No Woman, No Cry - Live At The Lyceum, London/1975",423hwXFgoN8RYmqLoLuVvY,69,0.655,0.675,1,-9.352,1,0.0599,0.272,0.0236,0.727,0.587,77.589,427800,4
25,R. City,Locked Away,0sQLhT32E9ZG2zn5iYR6nN,65,0.508,0.677,1,-5.696,1,0.0656,0.328,0.0,0.0491,0.575,121.928,227280,5
26,Rebelution,Fade Away,4TyCnstYu6LGrjka5WW6ft,59,0.685,0.54,9,-9.701,1,0.0253,0.181,0.015,0.114,0.235,109.926,209253,4
27,Pepper,Stone Love,1AO26gK1sI6PoFY9eUF8yV,59,0.837,0.478,6,-5.861,0,0.0627,0.0571,0.00129,0.0569,0.81,78.746,254800,4
28,Matisyahu,One Day,0nCZDQrlWA149QdGTdlsFU,57,0.346,0.61,0,-5.818,1,0.15,0.198,0.0,0.117,0.235,68.552,207573,4
29,Sublime,Badfish,4paJ10JPNCyOaLtz2cY928,62,0.801,0.548,11,-5.482,0,0.0517,0.0854,0.000232,0.387,0.627,92.059,188086,4
30,Sublime,Caress Me Down,2JKlf0IYz5oWsT3OCLyjpO,60,0.753,0.484,9,-7.519,1,0.258,0.0149,0.0,0.135,0.597,79.668,211560,4
31,Bob Marley & The Wailers,Satisfy My Soul,5Uv1YNz6uBepPLDdoFANKQ,67,0.779,0.418,7,-9.207,1,0.188,0.00333,0.000138,0.252,0.425,127.942,271000,4
32,Dirty Heads,Oxygen,3YbtjYddK11NTDdUpC4nGp,57,0.68,0.878,8,-3.923,0,0.0554,0.0744,0.0,0.137,0.769,169.987,225395,4
33,Tash Sultana,Jungle,3SkKLZFgKIY0DKX5Vro5jV,59,0.59,0.697,1,-5.877,0,0.0291,0.269,9.86e-05,0.0881,0.497,146.059,315599,4
34,Bob Marley & The Wailers,Stir It Up - Original Album Version,3sqZDdEO5viqNqMCNem5m5,65,0.76,0.462,9,-11.003,1,0.103,0.621,0.32,0.0758,0.905,146.655,332400,4
35,Stick Figure,Weight of Sound,3W4x7fZhMHw2pE6wyBzzF8,59,0.857,0.713,6,-7.327,1,0.0354,0.0665,0.0279,0.0748,0.869,141.994,443380,4
