,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Jonas Brothers,What A Man Gotta Do,4wNIkl5XGiAACjFBlDWuSd,90,0.852,0.698,9,-7.206,1,0.0629,0.00839,1.03e-06,0.0773,0.324,113.039,180645,4
1,Imagine Dragons,Believer,0pqnGHJpmpxLKifKRmU6WP,86,0.776,0.78,10,-4.374,0,0.128,0.0622,0.0,0.081,0.666,124.949,204347,4
2,Imagine Dragons,Thunder,1zB4vmk8tFRmM9UULNzbLB,84,0.605,0.822,0,-4.833,1,0.0438,0.00671,0.134,0.147,0.288,167.997,187147,4
3,The Killers,Mr. Brightside,7oK9VyNzrYvRFo7nQEYkWN,76,0.356,0.924,1,-3.74,1,0.0808,0.00101,0.0,0.0953,0.232,148.017,222587,4
4,Queen,Bohemian Rhapsody - 2011 Mix,7tFiyTwD0nx5a1eklYtX2J,74,0.392,0.402,0,-9.961,0,0.0536,0.288,0.0,0.243,0.228,143.883,354320,4
5,TOTO,Africa,2374M0fQpWi3dLnB54qaLX,82,0.671,0.373,9,-18.064,1,0.0323,0.257,7.95e-05,0.0481,0.732,92.717,295893,4
6,Panic! At The Disco,High Hopes,1rqqCSm0Qe4I9rUvWncaom,84,0.579,0.904,5,-2.729,1,0.0618,0.193,0.0,0.064,0.681,82.014,190947,4
7,Queen,Don't Stop Me Now - 2011 Mix,7hQJA50XrCWABAu5v6QZ4i,73,0.563,0.865,5,-5.277,1,0.16,0.0472,0.000191,0.77,0.601,156.271,209413,4
8,Grouplove,Tongue Tied,0GO8y8jQk1PkHzS31d699N,77,0.56,0.936,3,-5.835,1,0.0439,0.00847,0.0,0.161,0.371,112.96,218013,4
9,The Neighbourhood,Sweater Weather,2QjOHCTQ1Jl3zawyYOpxh6,79,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,240400,4
10,Fleetwood Mac,Dreams - 2004 Remaster,0ofHAoxe9vBkTCp2UQIavz,78,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,257800,4
11,Wallows,Are You Bored Yet? (feat. Clairo),57RA3JGafJm5zRtKJiKPIm,77,0.682,0.683,8,-6.444,0,0.0287,0.156,2.32e-05,0.273,0.64,120.023,178000,4
12,Vance Joy,Riptide,3JvrhDOgAt6p7K8mDyZwRd,77,0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654,204280,4
13,Foster The People,Pumped Up Kicks,7w87IxuO7BDcJ3YUqCyMTT,82,0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,239600,4
14,Lynyrd Skynyrd,Sweet Home Alabama,7e89621JPkKaeDSTQ3avtg,80,0.596,0.605,7,-12.145,1,0.0255,0.181,0.000331,0.0863,0.886,97.798,283800,4
