,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Surfaces,Sunday Best,1Cv1YLb4q0RzL6pybtaMLo,89,0.878,0.525,5,-6.832,1,0.0578,0.183,0.0,0.0714,0.694,112.022,158571,4
1,John Legend,All of Me,3U4isOIWM3VvDubwSI3y7a,84,0.422,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93,269560,4
2,Frank Ocean,Chanel,6Nle9hKrkL1wQpwNfEkxjh,80,0.776,0.503,0,-5.732,0,0.237,0.874,0.0,0.112,0.473,110.134,210285,4
3,Marvin Gaye,Ain't No Mountain High Enough,7tqhbajSfrz2F7E1Z75ASX,79,0.663,0.6,7,-10.87,1,0.032,0.43,0.0,0.184,0.8,129.991,151667,4
4,The Temptations,My Girl,745H5CctFr12Mo7cqa1BMH,78,0.572,0.418,0,-10.738,1,0.0349,0.635,0.0,0.0961,0.694,104.566,165000,4
5,Adele,Someone Like You,4kflIGfjdZJW4ot2ioixTB,78,0.559,0.33,9,-8.251,1,0.0285,0.892,0.0,0.0975,0.285,135.109,285040,4
6,Pink Sweat$,Honesty,2B1JaRSd7T7YP90n6sCh9I,72,0.66,0.139,6,-16.339,0,0.0322,0.964,8.02e-06,0.104,0.306,79.976,189000,4
7,Frank Ocean,Nights,7eqoqGkKwgOaWNNHx90uEZ,77,0.466,0.548,5,-9.362,0,0.118,0.42,1.01e-06,0.113,0.423,89.815,307151,4
8,John Legend,Conversations in the Dark,6TYlDTa9AQDvjqwbxlvFyI,76,0.372,0.355,8,-8.436,0,0.03,0.754,0.0,0.167,0.142,126.705,237427,4
9,Frank Ocean,Thinkin Bout You,7DfFc7a6Rwfi3YQMRbDMau,73,0.721,0.339,0,-11.195,1,0.0532,0.409,0.00153,0.0973,0.2,129.83,200747,4
10,Corinne Bailey Rae,Put Your Records On,2nGFzvICaeEWjIrBrL2RAx,75,0.739,0.511,9,-7.844,1,0.0362,0.167,1.34e-06,0.133,0.542,96.038,215360,4
11,"Earth, Wind & Fire",September,7Cuk8jsPPoNYQWXK9XRFvG,80,0.694,0.831,9,-7.288,1,0.0301,0.165,0.000892,0.25,0.98,125.901,215080,4
12,Frank Ocean,Ivy,2ZWlPOoWh0626oTaHrnl2a,76,0.567,0.388,9,-9.579,0,0.0384,0.782,0.000309,0.248,0.452,116.362,249191,4
13,Adele,Make You Feel My Love,6P7tTFzn6oNa0GL8w8oazE,72,0.552,0.18,10,-10.583,1,0.0293,0.894,0.000393,0.105,0.0896,76.995,212040,4
14,Roy Woods,Drama (feat. Drake),0PXp9QxBfSKGGpWUNaws2X,75,0.709,0.362,11,-9.814,1,0.055,0.157,0.0,0.109,0.113,122.043,251860,4
15,Al Green,Let's Stay Together,63xdwScd1Ai1GigAwQxE8y,73,0.756,0.397,7,-10.701,0,0.0522,0.57,0.0115,0.0542,0.507,101.985,199396,4
16,Frank Ocean,Pink + White,3xKsf9qdS1CyvXSMEid6g8,76,0.544,0.552,9,-7.45,1,0.0991,0.67,4.57e-05,0.415,0.554,159.738,184516,3
17,Leon Bridges,River,0NeJjNlprGfZpeX2LQuN6c,73,0.658,0.179,8,-10.866,1,0.0448,0.689,0.0,0.17,0.191,128.128,238560,4
18,Masego,Tadow,51rPRW8NjxZoWPPjnRGzHw,76,0.704,0.487,9,-6.407,0,0.0604,0.669,8.64e-05,0.111,0.313,121.726,301893,4
19,Ty Dolla $ign,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",7t2bFihaDvhIrd2gn2CWJO,77,0.805,0.33,1,-8.712,0,0.1,0.22,0.0,0.105,0.211,121.97,242983,4
20,Adele,Rolling in the Deep,1CkvWZme3pRgbzaxZnTl5X,74,0.729,0.756,8,-5.119,1,0.0294,0.131,0.0,0.0527,0.522,104.945,228293,4
21,Alicia Keys,No One,6IwKcFdiRQZOWeYNhUiWIv,78,0.644,0.548,1,-5.416,0,0.0286,0.0209,8.68e-06,0.134,0.166,90.042,253813,4
22,Adele,When We Were Young,7IWkJwX9C0J7tHurTD7ViL,72,0.381,0.594,3,-5.97,1,0.0486,0.348,0.0,0.0925,0.273,143.86,290907,4
23,Alicia Keys,If I Ain't Got You,3XVBdLihbNbxUwZosxcGuJ,78,0.609,0.445,7,-9.129,1,0.106,0.603,6.77e-06,0.104,0.166,118.393,228707,3
24,Adele,Set Fire to the Rain,3CKCZ9pfwAfoMZlMncA1Nc,74,0.61,0.683,2,-3.879,0,0.0253,0.00382,1.79e-06,0.125,0.466,108.003,241693,4
25,Surfaces,Heaven Falls / Fall on Me,7yHqOZfsXYlicyoMt62yC6,69,0.563,0.366,11,-6.896,0,0.121,0.36,0.00243,0.0955,0.768,85.352,240597,4
26,Rag'n'Bone Man,Human,58zsLZPvfflaiIbNWoA22O,77,0.602,0.707,11,-4.097,1,0.302,0.393,0.0,0.165,0.554,75.09,200187,4
27,Bill Withers,Ain't No Sunshine,1k1Bqnv2R0uJXQN4u6LKYt,75,0.479,0.416,4,-11.451,0,0.124,0.457,1.72e-05,0.118,0.514,79.593,125093,4
28,Snoh Aalegra,I Want You Around,2VqKx3HH8gaZPabNWYvksy,71,0.705,0.433,4,-9.706,1,0.204,0.388,0.134,0.0841,0.602,168.006,212787,4
29,Gnarls Barkley,Crazy,2N5zMZX7YeL1tico8oQxa9,70,0.835,0.741,8,-1.609,1,0.0339,0.0172,0.0577,0.0826,0.612,111.963,182066,4
30,Frank Ocean,Self Control,5GUYJTQap5F3RDQiCOJhrS,73,0.572,0.209,8,-10.413,1,0.0313,0.765,0.0,0.356,0.446,80.069,249668,4
31,Frank Ocean,White Ferrari,2LMkwUfqC6S6s6qDVlEuzV,70,0.444,0.0924,0,-15.605,1,0.0366,0.784,0.0,0.304,0.219,108.917,248808,4
32,Surfaces,Good Day,7iTwzSe2fg5xYwCgXXFkEe,69,0.936,0.353,11,-12.17,1,0.0458,0.691,2.73e-05,0.133,0.863,124.964,181000,4
