,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Zedd,The Middle,09IStsImFySgyp0pIQdqAc,82,0.753,0.657,7,-3.061,1,0.0449,0.171,0.0,0.112,0.437,107.01,184732,4
1,Zedd,Good Thing (with Kehlani),5aUSEPNd3m5xliFK4pn5mU,79,0.693,0.564,1,-3.857,0,0.0378,0.399,0.0,0.0409,0.574,185.913,210901,3
2,Gesaffelstein,Lost in the Fire (feat. The Weeknd),2vXKRlJBXyOcvZYTdNeckS,72,0.658,0.671,2,-12.21,1,0.0363,0.0933,0.000927,0.115,0.166,100.966,202093,4
3,Zedd,Stay,6uBhi9gBXWjanegOb2Phh0,77,0.69,0.622,5,-5.025,0,0.0622,0.253,0.0,0.116,0.544,102.04,210091,4
4,Zedd,Clarity,60wwxj6Dd9NJlirf84wr2c,73,0.509,0.781,8,-3.48,1,0.072,0.0398,0.0,0.0749,0.176,128.0,271427,4
5,Cascada,Everytime We Touch,1eOHw1k2AoluG4VyjBHLzX,64,0.635,0.974,8,-5.373,1,0.052,0.00474,1.56e-05,0.41,0.495,142.049,196467,4
6,UMEK,Vibrancy (Mixed),7Ico61mmH3BO6fVgzCKtDx,21,0.401,0.886,5,-10.407,0,0.0453,0.000791,0.423,0.103,0.109,127.009,139242,4
7,Zedd,Beautiful Now,2ISSQPb9LHHiV6ng2NXosL,69,0.628,0.833,11,-4.126,0,0.0282,0.0079,1.48e-05,0.074,0.56,128.003,218293,4
8,Zedd,365,2XWjPtKdi5sucFYtVav07d,74,0.745,0.693,2,-5.479,0,0.034,0.339,0.0,0.123,0.248,98.039,181900,4
9,DJ Misjah,Access (Mixed) - ID Mix,4jT8RBrPCAipfRvihVNxOZ,19,0.5,0.967,7,-10.947,1,0.0651,0.00183,0.0183,0.23,0.0835,130.022,184570,4
10,Duke Dumont,Ocean Drive,0b6wdul3A5sQNpIOv03OxP,74,0.686,0.718,8,-5.054,0,0.0431,0.00637,0.000703,0.119,0.557,115.026,206320,4
11,Der Dritte Raum,Hale Bopp (Mixed) - Maceo Plex Edit,0nRTb8mpUof5b1IeaqlJFg,22,0.765,0.99,2,-9.935,1,0.0481,0.0826,0.843,0.0682,0.744,126.995,173852,4
12,Zedd,Stay The Night - Featuring Hayley Williams Of Paramore,2QtJA4gbwe1AcanB2p21aP,61,0.596,0.738,8,-3.109,1,0.0411,0.109,0.0,0.0947,0.461,127.961,217347,4
13,Jam & Spoon,Follow Me (Mixed) - David Forbes Remix,0syU3zSXon4v5tU3uOT27b,23,0.371,0.948,7,-11.273,1,0.0494,2.62e-06,0.948,0.137,0.473,138.091,69559,4
14,Kiasmos,Blurred,0jJLwPDpyuZRpd800yScN0,64,0.853,0.406,4,-11.658,1,0.0483,0.587,0.855,0.09,0.0825,122.009,305547,3
15,Zedd,I Want You To Know,1JDIArrcepzWDTAWXdGYmP,66,0.58,0.846,9,-2.876,0,0.0573,0.00537,6.62e-06,0.145,0.366,129.998,240000,4
