,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Tiësto,Jackie Chan,4kWO6O1BUXcZmaxitpVUwp,77,0.747,0.834,3,-2.867,0,0.045,0.374,0.0,0.0586,0.687,128.005,215760,4
1,Tiësto,Ritual,3M9Apu4OZfylLTFKvgEtKa,80,0.647,0.726,3,-4.389,0,0.0552,0.157,0.0,0.0844,0.767,114.996,198996,4
2,Seven Lions,First Time (feat. Dylan Matthew),27YD36FUikKxbp3bKSiKGZ,64,0.422,0.677,11,-5.76,1,0.0365,0.251,3.55e-06,0.16,0.146,150.131,297782,4
3,Above & Beyond,See The End,1dDDVfAfms7M6VLLKmubaJ,60,0.497,0.656,7,-6.716,1,0.0374,0.0141,0.0,0.0577,0.0884,127.975,185747,4
4,Binary Finary,1998 (Mixed) - Frank Sonic Remix,6V6t7K6741yiU1ww3eqhGq,22,0.533,0.938,6,-10.949,0,0.0375,0.00226,0.922,0.324,0.208,126.938,136086,4
5,Tiësto,God Is A Dancer (with Mabel),6fenHIxXuuzKB55wY4WCHP,80,0.774,0.747,1,-3.908,0,0.082,0.0241,6.11e-06,0.342,0.833,119.964,168125,4
6,Seven Lions,Only Now (feat. Tyler Graves),6mE1m1NmzO7slSiN6vzovg,58,0.384,0.808,7,-5.225,1,0.0397,0.00558,8.51e-06,0.116,0.195,149.926,211200,4
7,Art Of Trance,Madagascar (Mixed) - Alex M.O.R.P.H. Remix,1uagWJNpNn3J6qgZ2Zjhk9,26,0.427,0.868,6,-12.549,1,0.0577,2.13e-05,0.912,0.575,0.247,137.933,100868,3
8,Three Drives On A Vinyl,Greece 2000 (Mixed) - Thick As Thieves Remix,0GHmHOhcEKbRYTo9ZIALL5,21,0.449,0.959,8,-10.757,1,0.0549,2.51e-05,0.888,0.238,0.209,126.997,189016,4
9,Commander Tom,Are Am Eye? (Mixed) - Binary Finary Remix,1NSnRYRsFeXD86rKBUGgaD,26,0.445,0.966,6,-11.188,1,0.0573,0.000573,0.747,0.258,0.299,138.031,111250,4
