,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Hillsong UNITED,Oceans (Where Feet May Fail),5Mw9bXG1dLNhbjofkVS2oR,69,0.262,0.361,2,-10.187,1,0.0333,0.508,0.00268,0.108,0.056,126.784,535963,4
1,Elevation Worship,O Come to the Altar (Live),1lEk3U3MzbDeL5MNHkE9JU,69,0.256,0.564,11,-6.496,1,0.0366,0.00274,0.0,0.743,0.152,139.914,349587,3
2,Cory Asbury,Reckless Love,0rH0mprtecH3grD9HFM5AD,71,0.572,0.685,6,-7.29,1,0.0356,0.0291,0.0,0.0963,0.232,110.698,333386,4
3,Leeland,Way Maker - Live,40ozK0lCJ0EQzVGWsCNUhk,72,0.432,0.524,4,-8.721,1,0.0321,0.0289,0.0,0.682,0.183,135.956,503240,4
4,Elevation Worship,See A Victory,3gtqd9P8kZblHf4I7Ybub2,68,0.345,0.747,10,-6.92,1,0.053,0.00214,0.0,0.0928,0.215,154.739,363231,4
5,Hillsong UNITED,So Will I (100 Billion X),1ed3wNCecRIp6SugyR0w2J,66,0.432,0.416,9,-10.376,1,0.0296,0.0462,2.01e-06,0.144,0.177,127.963,411000,4
6,Elevation Worship,Do It Again,3iOpiHDobxZO7S4p9Y2Fgu,67,0.347,0.508,10,-7.555,1,0.0297,0.0119,0.0,0.595,0.159,171.827,398333,4
7,Hillsong Worship,What A Beautiful Name,4KLj9QjEhJl2WU50mxRF9Z,64,0.424,0.506,2,-5.877,1,0.0284,0.201,0.0,0.11,0.138,135.902,238200,4
8,Vertical Worship,Yes I Will,1sF4VadVaVTvp9WTEy79JT,67,0.43,0.708,0,-7.14,1,0.0336,0.0561,0.0,0.704,0.243,75.024,234731,4
9,Casting Crowns,Nobody (feat. Matthew West),0W7KIc2GSB9suYQAaMZ9rF,66,0.561,0.717,8,-5.719,1,0.0381,0.458,0.0,0.138,0.454,79.993,206400,4
10,Hillsong UNITED,Another In The Fire - Live,5PmHmU5AaBy9ld3bdQkD96,64,0.451,0.688,0,-7.843,1,0.0358,0.000614,0.0,0.141,0.0827,135.066,393360,4
11,Housefires,Build My Life,3BDpn2Vivr1BFhlGsYs5tp,66,0.303,0.478,7,-7.851,1,0.0352,0.371,0.0,0.131,0.117,139.795,491691,4
12,Hillsong UNITED,Whole Heart (Hold Me Now) - Live,3XkNkpfHFB0hoS13DdzJup,64,0.329,0.588,4,-8.621,1,0.0322,0.0142,0.0,0.107,0.112,161.961,449253,3
13,Mosaic MSC,Tremble - Live,35GACeX8Zl55jp29xFbvvo,67,0.329,0.682,0,-6.374,1,0.0526,0.221,0.0,0.19,0.162,148.029,309093,4
14,Bethel Music,Raise a Hallelujah (Live),0YxrPdW9NpNFtqh7Fw0rva,68,0.452,0.866,1,-4.431,1,0.04,0.0041,0.0,0.134,0.291,81.972,470880,4
15,Elevation Worship,Here Again,1wuqCUWHniGdEmOKZbQ1cg,65,0.124,0.437,2,-8.21,1,0.0409,0.0128,0.0,0.12,0.103,80.889,405914,5
16,Cody Carnes,Run To The Father,1uSGO8Ydq3Kc3B5JYLno8j,64,0.491,0.416,0,-6.801,1,0.0289,0.0512,0.0,0.0947,0.0977,136.943,308000,3
17,for KING & COUNTRY,Burn The Ships,6qNSq6OKjNgXAn3Kj9HBKf,66,0.497,0.542,5,-7.398,1,0.0315,0.16,1.4e-05,0.084,0.0707,93.57,276400,4
18,Hillsong Worship,King Of Kings,6kmhapLx51lmwhIIDFsUQU,61,0.462,0.462,2,-7.735,1,0.0293,0.0964,0.0,0.102,0.172,136.041,265080,4
19,Hillsong Worship,What A Beautiful Name - Live,1yYUIjT3bZ9RB9vejqYy9f,61,0.396,0.521,2,-7.093,1,0.0312,0.0101,0.0,0.884,0.126,135.742,341080,4
20,Cody Carnes,Nothing Else,24gP93dLFid1OYfM1mKmyp,64,0.381,0.161,0,-12.915,1,0.0369,0.84,0.0,0.143,0.356,135.813,393187,4
21,Chris Tomlin,Good Good Father,1mWdyqs6Zvg8b1lKjDc8yB,66,0.429,0.587,9,-4.588,1,0.0275,0.315,0.0,0.108,0.164,145.003,293398,3
22,Tauren Wells,Known,1hrF6s6kfXuPv14OrD9v6X,64,0.576,0.303,1,-10.359,1,0.0489,0.786,0.0,0.0993,0.753,77.872,198140,4
