,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Erika,I Don't Know (extended Mix),01CJKIkjaWR4Sgh6CwbJPu,4,0.765,0.942,11,-7.24,1,0.0412,0.211,0.116,0.718,0.64,129.999,366613,4
1,Josh Kelley,Amen,04vAn48aR2bKyA8MSiQAfl,4,0.438,0.436,5,-9.613,1,0.0256,0.64,0.0221,0.132,0.263,156.763,268307,3
2,Brooke Fraser,Still In Love,05oWS6KERCBUwNsJDuxxPL,4,0.784,0.572,8,-6.729,1,0.287,0.127,1.44e-06,0.621,0.714,89.988,268467,4
3,Mala Rodríguez,Alevosía,07Sm9K3BHzkgq8dvrk0zyJ,4,0.812,0.633,2,-8.202,1,0.307,0.447,0.00302,0.0996,0.858,87.969,383493,4
4,V Shape Mind,Dangle,07cOJATGseCtCMKeoVgiHw,4,0.318,0.888,1,-4.344,1,0.0464,5.89e-06,0.0665,0.163,0.512,146.923,233600,4
5,Haujobb,The Noise Institute,07o1mjZqPrqDO2nCcDddqJ,4,0.747,0.911,4,-8.252,0,0.14,0.0243,0.149,0.352,0.608,120.011,223867,4
6,Dr. Feelgood Potts,Let's Get a Quickie,08Xo5XKv4eCffncOuBi51c,4,0.924,0.804,5,-6.082,0,0.0483,0.0168,0.00359,0.17,0.912,110.039,248867,4
7,Ismael Serrano,Principio De Incertidumbre - Live,0CoIEWk27Hn1YWOCpcpELH,4,0.728,0.527,0,-14.001,1,0.0453,0.39,2.3e-05,0.956,0.463,95.112,278400,4
8,Blur,Caravan,0EU6OwP92MyNhnvK3BC0NF,4,0.481,0.336,2,-11.849,1,0.0405,0.472,0.552,0.45,0.332,172.341,275827,4
9,Keiko Matsui,Water Lily - Piano Version,0IKkzmgrM7CL4VoCTEWpGX,4,0.431,0.106,9,-23.267,1,0.0468,0.992,0.84,0.121,0.214,107.89,140733,4
10,McHayes,It Doesn't Mean I Don't Love You,0KLchNkxt7ppWj3ZnFQYpq,4,0.645,0.422,11,-9.102,1,0.0328,0.415,0.0,0.0915,0.204,80.037,184933,4
11,Turin Brakes,Stone Thrown,0NOJhn8S5aMIUrNIxpmE9v,4,0.621,0.51,7,-6.123,1,0.0303,0.256,7.76e-05,0.131,0.165,125.933,245040,4
12,C-Nile,"Straight Up (feat. Wolfman, Tootie & Bullethead)",0PvAOgHec4TD7XJsK8cpZh,4,0.74,0.618,11,-6.228,0,0.449,0.0404,0.0,0.23,0.351,184.121,248007,4
13,Wendell Burton,"Antony, Oh You Kid!",0V0JNe2hwpg4LKvoMIFUtk,4,0.679,0.63,10,-9.539,1,0.385,0.831,0.0,0.818,0.803,99.902,101853,4
14,DSGB,Sam Diss,0X7Zb6k3uzsbwZjBDH3utm,4,0.713,0.799,6,-5.142,0,0.506,0.229,0.0,0.681,0.616,154.394,266587,4
15,moe.,Big World (Live),0XVR6qFzorhNoHxOLbENVs,5,0.353,0.757,2,-6.62,1,0.101,0.057,0.456,0.937,0.495,100.168,462560,4
16,Esham,Get Doe,0ZzdgyRIT52PUPQFkNpVq2,4,0.876,0.713,2,-6.282,0,0.507,0.337,2.85e-06,0.227,0.506,98.754,119427,4
