,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Eminem,'Till I Collapse,4xkOaSrkexMciUUogZKVTS,83,0.548,0.847,1,-3.237,1,0.186,0.0622,0.0,0.0816,0.1,171.447,297787,4
1,Eminem,Without Me,7lQ8MOhq6IN2w8EYcFNSUk,81,0.908,0.669,7,-2.827,1,0.0738,0.00286,0.0,0.237,0.662,112.238,290320,4
2,Coldplay,The Scientist,75JFxkI2RXiU7L9VXzMkle,82,0.56,0.442,5,-7.224,1,0.0243,0.727,1.71e-05,0.11,0.212,146.448,309600,4
3,Trapt,Headstrong,1AEYT6VxrxXPMoQUxsY0E4,72,0.492,0.896,4,-5.819,0,0.117,0.000172,2.78e-06,0.189,0.534,184.981,285570,4
4,Red Hot Chili Peppers,Can't Stop,3ZOEytgrvLwQaqXreDs2Jx,79,0.618,0.938,9,-3.442,1,0.0456,0.0179,0.0,0.167,0.875,91.455,269000,4
5,Maroon 5,She Will Be Loved - Radio Mix,4llK75pXNWZz6KAho2Gp16,79,0.651,0.663,0,-5.569,0,0.0281,0.228,0.0,0.0994,0.465,102.0,259453,4
6,Nelly,Dilemma,0ARK753YaiJbpLUk7z5yIM,76,0.727,0.552,2,-8.074,0,0.14,0.227,0.000164,0.198,0.607,168.189,289160,4
7,Good Charlotte,The Anthem,0BRHnOFm6sjxN1i9LJrUDu,72,0.494,0.939,1,-3.127,1,0.126,0.00666,0.0,0.139,0.893,177.751,175093,4
8,Avril Lavigne,Complicated,5xEM5hIgJ1jjgcEBfpkt2F,76,0.585,0.776,5,-5.898,1,0.0459,0.0572,7.74e-06,0.3,0.427,77.987,244507,4
9,Avril Lavigne,Sk8er Boi,00Mb3DuaIH1kjrwOku9CGU,74,0.487,0.9,0,-4.417,1,0.0482,6.79e-05,0.0,0.358,0.484,149.937,204000,4
10,Stevie Wonder,Superstition - Single Version,1h2xVEoJORqrg71HocgqXd,75,0.633,0.634,8,-12.115,1,0.0725,0.038,0.0064,0.0385,0.872,100.499,245493,4
11,3 Doors Down,Here Without You,3NLrRZoMF0Lx6zTlYqeIo4,74,0.536,0.55,10,-6.733,0,0.0248,0.0537,0.0,0.134,0.234,144.018,238560,4
12,Chevelle,The Red,1gyee1JuFFiP476LQpRMYU,67,0.509,0.843,1,-3.318,0,0.0488,0.000671,0.000803,0.348,0.332,140.055,238400,3
13,Ashanti,Foolish,6zMUIb4uce1CzpbjR3vMdN,70,0.665,0.696,0,-5.763,1,0.0521,0.337,0.0,0.106,0.711,90.116,227387,4
14,Ying Yang Twins,Get Low,0r2Bul2NuCViraT2zX1l5j,70,0.521,0.625,1,-7.47,1,0.067,0.0301,0.0,0.121,0.136,101.019,334067,4
15,Johnny Cash,Hurt,28cnXtME493VX9NOw9cIUh,74,0.534,0.392,9,-7.636,0,0.0267,0.649,0.000227,0.0948,0.163,90.379,216533,4
16,Nelly,Hot In Herre,04KTF78FFg8sOHC1BADqbY,70,0.956,0.745,11,-4.753,0,0.12,0.206,0.0,0.0615,0.912,107.075,228240,4
17,Aventura,Obsesion,65H6t1WQBim6q93yM8fEwn,73,0.804,0.56,1,-6.912,0,0.0397,0.416,0.0,0.0608,0.768,133.682,254720,4
18,Uncle Kracker,Drift Away,0RFgvrhkf9FiDRLA0BhzpZ,67,0.583,0.66,11,-5.078,1,0.0377,0.181,0.0,0.0979,0.861,151.956,255560,4
19,Toby Keith,"Courtesy Of The Red, White And Blue (The Angry American)",0M7mWKqwTIaVjYyxfZmtTa,65,0.424,0.661,2,-5.547,1,0.0425,0.521,1.62e-06,0.0719,0.384,111.762,195533,4
20,Maroon 5,She Will Be Loved,7sapKrjDij2fpDVj0GxP66,72,0.706,0.713,0,-5.512,0,0.0301,0.0596,0.0,0.132,0.544,102.037,257133,4
21,Vanessa Carlton,A Thousand Miles,4w1lzcaoZ1IC2K5TwjalRP,75,0.56,0.825,11,-3.862,1,0.0379,0.323,0.0,0.161,0.268,94.931,237493,4
22,3 Doors Down,When I'm Gone,3WbphvawbMZ8FyqDxYGdSQ,68,0.496,0.765,7,-5.66,1,0.033,0.00457,0.0,0.104,0.337,74.072,260507,4
23,Maroon 5,This Love,6ECp64rv50XVz93WvxXMGF,75,0.712,0.862,5,-4.612,0,0.0378,0.0525,0.0,0.093,0.809,95.051,206200,4
24,Audioslave,Like a Stone,3YuaBvuZqcwN3CEAyyoaei,74,0.614,0.568,7,-5.477,0,0.0276,0.00797,0.0,0.0997,0.516,107.849,293960,4
25,Justin Timberlake,Cry Me a River,7Lf7oSEVdzZqTA0kEDSlS5,73,0.624,0.653,8,-6.582,0,0.176,0.575,0.0,0.104,0.565,73.884,288333,4
26,Missy Elliott,Work It,3jagJCUbdqhDSPuxP8cAqF,69,0.884,0.677,1,-5.603,1,0.283,0.0778,0.0,0.0732,0.584,101.868,263227,4
27,Coldplay,Clocks,0BCPKOYdS2jbQ8iyB56Zns,74,0.577,0.749,5,-7.215,0,0.0279,0.599,0.0112,0.183,0.261,130.969,307880,4
28,Justin Timberlake,Rock Your Body,1AWQoqb9bSvzTjaLralEkT,70,0.891,0.714,4,-6.055,0,0.14,0.202,0.000234,0.0521,0.818,100.972,267267,4
29,Eminem,Superman,4woTEX1wYOTGDqNXuavlRC,71,0.802,0.755,4,-3.138,0,0.0564,0.0215,0.0,0.295,0.58,130.027,350320,4
30,Ja Rule,Mesmerize,2iclfHORMqpR3TxuhwVRhD,64,0.764,0.648,1,-6.639,1,0.206,0.0563,0.0,0.414,0.391,90.1,278720,4
31,Queens of the Stone Age,No One Knows,6NvRxjfYkkT2SpirAlmsjH,64,0.511,0.581,0,-4.93,1,0.0581,0.031,0.000171,0.367,0.668,170.852,278707,4
32,Jennifer Lopez,Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,4ZOyH6KjomjlqCz3oFqglr,69,0.844,0.754,6,-5.46,1,0.207,0.00833,3.42e-06,0.0575,0.961,100.002,187840,4
33,Dixie Chicks,Landslide,5hviCr3lgg6LY6noG6DPKs,67,0.571,0.438,2,-7.007,1,0.0279,0.534,1.56e-05,0.187,0.444,145.948,230549,4
34,The All-American Rejects,"Swing, Swing",003FTlCpBTM4eSqYSWPv4H,66,0.553,0.717,7,-5.857,1,0.0318,6.48e-05,0.128,0.0385,0.318,127.947,233267,4
35,Nivea,Don't Mess With My Man (feat. Brian Casey & Brandon Casey),39YovPslPCXbFYhlYjsZ2Y,63,0.879,0.73,11,-4.369,0,0.164,0.114,0.0,0.241,0.885,99.925,213227,4
36,Maroon 5,Sunday Morning,5qII2n90lVdPDcgXEEVHNy,70,0.608,0.768,0,-5.227,1,0.0475,0.0913,0.0,0.0629,0.809,88.059,244880,4
37,Taking Back Sunday,Cute Without The 'E' (Cut From The Team),6PsISpFaCEKwysPfwO9SfC,65,0.402,0.859,1,-4.41,0,0.0466,0.0394,0.0,0.0745,0.514,95.31,211547,4
38,Eminem,Cleanin' Out My Closet,7BMO7O7ImjV8HNTH74Tshv,70,0.908,0.758,9,-4.753,0,0.174,0.0687,0.0,0.0783,0.87,148.015,297840,4
39,Eminem,Sing For The Moment,3CpoeW0cZSDzIRv5z34F87,71,0.668,0.824,5,-4.164,0,0.137,0.0017,3.05e-06,0.0426,0.185,163.961,339547,4
40,Audioslave,Show Me How to Live,1Qdnvn4XlmZANCVy3XjrQo,69,0.433,0.854,9,-3.868,1,0.0483,0.000336,0.000177,0.162,0.368,89.4,277840,4
41,Foo Fighters,All My Life,6tsojOQ5wHaIjKqIryLZK6,71,0.58,0.604,5,-5.703,1,0.047,0.000218,0.000579,0.477,0.645,167.784,263440,4
42,Grits,Ooh Ahh (My Life Be Like) (feat. Toby Mac),2cGJxXXIBrxMhk2fWUJTLs,71,0.757,0.862,2,-3.519,1,0.0695,0.114,0.000192,0.285,0.823,99.021,233173,4
43,Norah Jones,Don't Know Why,6ybViy2qrO9sIi41EgRJgx,72,0.732,0.198,5,-11.775,1,0.028,0.883,1.1e-05,0.0659,0.618,88.174,186147,4
44,Toby Keith,Beer For My Horses,7E2DqvnVtbIrFrL5X6YH9Q,63,0.717,0.85,10,-5.329,1,0.0473,0.368,0.0,0.0495,0.805,119.005,204000,4
45,Red Hot Chili Peppers,By the Way,1f2V8U1BiWaC9aJWmpOARe,73,0.451,0.97,0,-4.938,1,0.107,0.0264,0.00355,0.102,0.198,122.444,216933,4
46,Good Charlotte,Lifestyles of the Rich & Famous,2g2a5kDeZexbUTD8abcvm6,68,0.62,0.93,1,-3.685,1,0.0374,0.00043,0.0,0.0686,0.609,106.22,190173,4
47,Mark Keali'i Ho'omalu,"Hawaiian Roller Coaster Ride - From ""Lilo & Stitch""/Soundtrack Version",7GmiJVBAzWNikX5VkNQg85,62,0.702,0.624,5,-9.927,1,0.0285,0.314,0.0152,0.0669,0.947,114.542,208227,4
48,José Feliciano,Feliz Navidad,0oPdaY4dXtc3ZsaG17V972,62,0.512,0.831,2,-9.004,1,0.0383,0.552,0.0,0.336,0.963,148.82,182067,4
49,Norah Jones,Come Away With Me,0Cvjlph1WGbwZY1PlMEtJY,71,0.363,0.129,0,-14.304,1,0.0322,0.904,1.52e-06,0.157,0.147,80.367,198147,3
50,Chevelle,Send the Pain Below,6dRAAG4sB71NAtVCHJep7s,62,0.468,0.851,11,-3.617,1,0.0398,0.000281,0.00483,0.0644,0.293,92.079,252360,4
51,Keith Urban,Somebody Like You,0b9djfiuDIMw1zKH6gV74g,64,0.624,0.84,4,-5.768,1,0.0337,0.108,0.000546,0.144,0.656,111.02,323040,4
52,Saliva,Always,7kpa6MWRrPaF3b6C0DgioK,61,0.363,0.906,1,-4.415,1,0.0615,0.0122,0.0,0.172,0.371,181.964,231200,4
53,The Used,The Taste of Ink,5jZ1Z2GFTf2gwmFc3qiUxs,63,0.541,0.904,7,-3.001,1,0.0435,0.00143,0.0,0.193,0.541,98.122,208693,4
54,Cam’ron,Oh Boy,4gdQ8QShlC3toP9Mkc8DwB,64,0.754,0.767,6,-5.587,1,0.186,0.0214,0.0,0.172,0.815,83.014,204707,4
55,Sum 41,Still Waiting,2OMqSRS11ly56zg9u5za6c,61,0.431,0.95,7,-4.918,1,0.26,0.00105,3.63e-05,0.272,0.56,191.936,158733,4
56,New Found Glory,My Friends Over You,4pImG3RdbaGfanzQOTFgyr,64,0.404,0.98,2,-4.038,1,0.107,0.000193,0.0,0.0742,0.433,177.793,220200,4
57,Los Angeles De Charly,Un Sueño,6iPDBwtiOZGlfQt9HD0jAG,68,0.66,0.666,9,-3.996,0,0.0269,0.0459,0.0,0.0518,0.737,149.445,225360,4
58,Deana Carter,Strawberry Wine,3ODF56f90W3qxDqxHAUi3v,61,0.558,0.435,1,-6.812,1,0.0264,0.302,0.0,0.0351,0.199,122.385,290467,3
59,Big Tymers,Still Fly,563vSy3HB5NHxel1VGQCW6,60,0.675,0.607,11,-3.538,1,0.161,0.0302,8.67e-06,0.339,0.56,177.928,335613,4
60,Christina Aguilera,Fighter,7nXq1vaZiz7PdbfojpPjW5,67,0.435,0.92,4,-1.357,0,0.201,0.235,0.000353,0.552,0.45,188.899,245960,4
61,Stone Sour,Bother,0AfIsqZ4gTUg9CwwW2jLeK,64,0.272,0.281,1,-7.634,1,0.0287,0.388,2.29e-05,0.158,0.141,89.914,240400,4
62,Christina Aguilera,Beautiful,3TCauNPqFiniaYHBvEVoHG,70,0.456,0.573,5,-3.866,0,0.0275,0.578,3.05e-06,0.114,0.0992,76.19,238560,4
63,Nirvana,About A Girl,55yvzYuvJYG2RUEnMK78tr,67,0.409,0.932,11,-4.538,0,0.0339,1.87e-05,1.6e-06,0.31,0.591,131.761,166640,4
64,Mark Keali'i Ho'omalu,"He Mele No Lilo - From ""Lilo & Stitch""/Soundtrack Version",3G9ZnSjGYyHx7e221v0qse,60,0.73,0.331,2,-12.427,1,0.0429,0.46,0.000286,0.104,0.394,126.592,148133,4
65,Seether,Fine Again,4eTIe5eqds88bA9ua6p5p6,61,0.442,0.855,6,-2.985,0,0.0288,0.00049,0.0137,0.273,0.363,175.543,243640,4
66,Avril Lavigne,I'm with You,1jlG3KJ3gdYmhfuySFfpO1,69,0.457,0.406,9,-7.462,1,0.0291,0.08,0.0,0.117,0.208,151.95,223067,3
67,Gary Jules,Mad World (Feat. Michael Andrews),3JOVTQ5h8HGFnDdp4VT3MP,68,0.345,0.0581,3,-17.217,1,0.0374,0.976,0.000366,0.103,0.304,174.117,189507,4
68,Audioslave,Cochise,1TDk2Jmi4dVZhm2dum3Jim,66,0.452,0.873,9,-4.867,1,0.0613,0.000519,0.0,0.0592,0.433,80.473,222027,4
69,Sean Paul,Get Busy,5qTvkDrSfvwDv6RBjjcfQr,72,0.735,0.824,10,-4.143,0,0.036,0.615,0.0,0.158,0.726,100.202,211666,4
70,Nelly,Air Force Ones,7kAFSrTIOiVZ0gnHBuAH3l,60,0.784,0.459,4,-9.74,0,0.317,0.0847,0.0,0.079,0.618,164.062,304000,4
71,Cam’ron,Hey Ma,0Uhnzk5zI46IRlQ04LNOtc,58,0.791,0.666,8,-5.484,1,0.341,0.0256,6.33e-06,0.0796,0.938,90.345,232533,4
