,artist_name,track_name,track_id,popularity,year,genre,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,mood
48618,Rise Against,Like the Angel,4t2rjxCXIJnBmRBkXJOYa5,48,2013,grunge,80061,0.0007469999999999999,0.512,166880,0.976,2.52e-05,10,0.215,-3.092,0,0.0861,95.465,4,0.428,Excited
55603,Mac Miller,BDE (Best Day Ever) - Live,504jTZvXdP8YYVtd19rfuX,40,2013,rap,92664,0.00829,0.434,321960,0.862,5.16e-05,2,0.946,-9.589,1,0.102,96.205,4,0.262,Happy
68155,Justin Bieber,All That Matters,70XP39KE8vTgxtRXcwfxJA,59,2014,pop,111926,0.0050799999999999994,0.696,191173,0.513,0.0,6,0.0682,-5.567,0,0.0424,129.859,4,0.14400000000000002,Motivated
73129,Zac Brown Band,Castaway,5PNcJn4oFNvlRfrZBHfqWh,58,2015,country,121789,0.149,0.611,188053,0.782,0.0,8,0.115,-4.989,1,0.0475,101.31299999999999,4,0.915,Happy
74887,Fifth Harmony,Worth It,41Fflg7qHiVOD6dEPvsCzO,73,2015,dance,123771,0.063,0.884,224573,0.765,7.04e-06,8,0.11800000000000001,-3.865,1,0.0882,99.98700000000001,4,0.594,Im a boss
78952,No Vacation,Dræm Girl,6lbLn5iL2NBJnbib7bTXMn,59,2015,indie,129362,0.00164,0.192,234607,0.9520000000000001,0.716,2,0.307,-5.888,1,0.258,172.752,4,0.262,Happy
89914,Rihanna,Love On The Brain,5oO3drDxtziYU2H1X23ZIp,80,2016,dance,147322,0.0717,0.509,224000,0.637,1.0800000000000002e-05,4,0.0789,-4.83,0,0.0471,172.00599999999997,3,0.37799999999999995,Unwind & Relax
89927,MAX,Lights Down Low,5A6BJLZArq1MPjsnmcuk5f,67,2016,dance,147335,0.0632,0.623,223847,0.493,0.0,5,0.10400000000000001,-7.727,0,0.0338,81.01899999999999,4,0.594,Unwind & Relax
98537,The Weeknd,Ordinary Life,15k2nBQJ0teDmPZHrOXL2N,66,2016,pop,159418,0.0276,0.544,221920,0.586,0.0,7,0.0961,-7.486000000000001,0,0.0794,149.882,4,0.361,Unwind & Relax
98631,Lil Uzi Vert,Hi Roller,69M9QCMsCQ5MLsw7BBW0rL,60,2016,pop,159610,0.0307,0.8,276349,0.562,0.0,2,0.243,-7.3660000000000005,1,0.0961,132.08100000000002,4,0.147,Mad Energized
98851,Russ,Fallin' Too,4nqdlZEyfCTE6vqm58XTrI,55,2016,pop,160060,0.318,0.76,300251,0.516,7.08e-05,3,0.105,-6.23,0,0.195,85.016,4,0.382,Calming
118170,Noah Kahan,Sink,3EIaMTBMRM42nbEROLg7cZ,51,2017,rock,190496,0.391,0.568,227067,0.494,0.00011399999999999999,10,0.109,-8.365,1,0.0309,165.183,4,0.293,Calming
131059,Drake,Talk Up (feat. Jay-Z),4ksuI04WMvUnJbHQjgs3L5,61,2018,pop,208215,0.00359,0.758,223240,0.49,6.61e-06,11,0.292,-9.877,1,0.139,140.116,4,0.335,Head Bobbers
138296,Ariana Grande,needy,1TEL6MlSSVLSdhOSddidlJ,74,2019,dance,219208,0.78,0.647,171573,0.309,7.41e-06,7,0.20199999999999999,-7.9479999999999995,0,0.0366,87.045,4,0.195,Unwind & Relax
143020,Cigarettes After Sex,Don't Let Me Go,0dBQm6NsxCQ1cOwR4zWw89,50,2019,indie,225946,0.452,0.40399999999999997,262560,0.37,0.519,6,0.0982,-9.603,1,0.0265,98.655,3,0.162,Wake Up
149356,Post Malone,Circles,21jGcNKet2qwijlDFuPiPb,95,2019,rap,235177,0.192,0.695,215280,0.762,0.00244,0,0.0863,-3.497,1,0.0395,120.042,4,0.5529999999999999,Motivated
