Name,Calming,Excited ,Happy,Head Bobbers,I'm a boss,Mad Energized,Motivated,Unwind & Relax,Wake up,Not Standardized
Ariana Grande - Needy,1,,1,,1,,,2,,2
Cigarettes After Sex - Don't Let Me Go,,,1,,,,,1,2,2
"Drake ft. Jay Z - Talk Up
",,,,1,,1,,2,,2
Fifth Harmony - Worth It,,,,,2,1,2,,,1
Justin Bieber - All That Matters,2,,,,,,2,1,,1
"Lil Uzi Vert - Hi Roller
",1,,,,1,2,,,,2
Mac Miller - Best Day Ever,,,2,,,,,1,1,2
Max - Lights Down Low,2,,,1,,,,2,,1
No Vacation - Dream Girl,,,3,1,,,,,,2
Noah Kahan - Sink,3,,1,,,,,,1,2
Post Malone - Circles,,,1,,,,1,1,,3
Rihanna - Love On The Brain,1,1,,,,,1,2,,1
Rise Against - Like The Angel,,1,,1,1,2,,,,1
Russ - Fallin' too,1,,,,,,1,2,,2
The Weekend - Ordinary Life,,,,,,1,1,2,,2
Zac Brown Band - Castaway,,,3,,,,,1,,2
