,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Grouplove,Tongue Tied,0GO8y8jQk1PkHzS31d699N,77,0.56,0.936,3,-5.835,1,0.0439,0.00847,0.0,0.161,0.371,112.96,218013,4
1,J. Cole,Work Out,2wAJTrFhCnQyNSD3oUgTZO,77,0.831,0.427,2,-6.903,1,0.106,0.0531,0.0,0.307,0.216,93.004,235320,4
2,Foster The People,Pumped Up Kicks,7w87IxuO7BDcJ3YUqCyMTT,82,0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,239600,4
3,Adele,Someone Like You,4kflIGfjdZJW4ot2ioixTB,78,0.559,0.33,9,-8.251,1,0.0285,0.892,0.0,0.0975,0.285,135.109,285040,4
4,Gotye,Somebody That I Used To Know,4wCmqSrbyCgxEXROQE6vtV,74,0.864,0.495,0,-7.036,1,0.037,0.591,0.000133,0.0992,0.72,129.062,244973,4
5,Christina Perri,A Thousand Years,6lanRgr6wXibZr8KgzXxBl,79,0.421,0.407,10,-7.445,1,0.0267,0.309,0.000961,0.11,0.161,139.028,285120,3
6,Drake,Marvins Room,047fCsbO4NdmwCBn8pcUXl,73,0.492,0.26,9,-17.341,0,0.0921,0.646,0.00178,0.0705,0.312,111.519,347227,5
7,Gym Class Heroes,Stereo Hearts (feat. Adam Levine),0qOnSQQF0yzuPWsXrQ9paz,76,0.646,0.795,9,-3.293,1,0.0976,0.0319,0.0,0.267,0.796,89.99,210960,4
8,Eric Church,Springsteen,05ZACkzW8YbRq3eFgIfSNB,71,0.692,0.809,2,-5.935,1,0.0255,0.1,9.77e-05,0.185,0.927,104.023,263387,4
9,M83,Midnight City,1eyzqe2QqGZUmfcPZtrIyt,70,0.526,0.712,11,-6.525,0,0.0356,0.0161,0.0,0.179,0.32,105.009,241440,4
10,Drake,The Motto,4Kz4RdRCceaA9VgTqBhBfa,72,0.766,0.442,1,-8.558,1,0.356,0.000107,6.12e-05,0.111,0.39,201.8,181573,4
11,Hot Chelle Rae,Tonight Tonight,2i0AUcEnsDm3dsqLrFWUCq,72,0.686,0.783,4,-4.977,1,0.119,0.0764,0.0,0.163,0.814,99.978,200467,4
12,JAY-Z,Ni**as In Paris,4Li2WHPkuyCdtmokzW2007,77,0.788,0.859,1,-5.542,1,0.315,0.127,0.0,0.348,0.769,140.027,219333,4
13,Hunter Hayes,Wanted,0p1BcEcYVO3uk4KDf3gzkY,69,0.421,0.476,0,-7.692,1,0.0298,0.268,0.0,0.0816,0.3,169.784,228840,4
14,Luke Bryan,Country Girl (Shake It For Me),0yD66650JxhqKbW76C2qCo,71,0.645,0.904,2,-4.532,1,0.0462,0.0293,0.0,0.0834,0.671,105.97,225560,4
15,Lil Wayne,6 Foot 7 Foot,0z5ZPs57J2KERwM1tBM2GF,69,0.365,0.751,2,-5.429,1,0.304,0.000707,0.0,0.318,0.604,79.119,248587,4
16,Drake,Headlines,6LxSe8YmdPxy095Ux6znaQ,71,0.636,0.566,6,-7.16,0,0.106,0.365,0.000353,0.0917,0.425,151.894,235987,4
17,Childish Gambino,Bonfire,799f6Ih1Pu4AUApMyXhxUc,70,0.506,0.745,8,-6.044,1,0.331,0.0594,0.0,0.341,0.311,161.808,192947,4
18,Adele,Rolling in the Deep,1CkvWZme3pRgbzaxZnTl5X,74,0.729,0.756,8,-5.119,1,0.0294,0.131,0.0,0.0527,0.522,104.945,228293,4
19,Snoop Dogg,"Young, Wild & Free (feat. Bruno Mars)",5HQVUIKwCEXpe7JIHyY734,76,0.715,0.655,0,-6.425,1,0.137,0.0525,0.0,0.115,0.531,95.078,207333,4
20,Adele,Set Fire to the Rain,3CKCZ9pfwAfoMZlMncA1Nc,74,0.61,0.683,2,-3.879,0,0.0253,0.00382,1.79e-06,0.125,0.466,108.003,241693,4
21,Pitbull,Give Me Everything,4QNpBfC0zvjKqPJcyqBy9W,77,0.671,0.939,8,-3.206,1,0.161,0.192,0.0,0.298,0.529,129.023,252307,4
22,Beyoncé,Love On Top,1z6WtY7X4HQJvzxC4UgkSf,74,0.652,0.748,0,-5.242,1,0.0887,0.0849,0.0,0.604,0.652,94.1,267413,4
23,Chris Brown,Look At Me Now (feat. Lil' Wayne & Busta Rhymes),3hsmbFKT5Cujb5GQjqEU39,72,0.767,0.677,11,-6.128,0,0.184,0.0339,5.51e-06,0.144,0.538,146.155,222587,4
24,Young the Giant,Cough Syrup,1UqhkbzB1kuFwt2iy4h29Q,69,0.534,0.721,11,-7.307,0,0.0417,0.0343,6.24e-06,0.115,0.225,128.978,249520,3
25,Jake Owen,Barefoot Blue Jean Night,3ts6xK5GzfMAAriT9AIBmP,68,0.6,0.808,4,-4.679,1,0.0403,0.208,0.0,0.196,0.809,172.016,167427,4
26,Frank Ocean,Novacane,4osgfFTICMkcGbbigdsa53,69,0.762,0.508,3,-9.112,1,0.0919,0.0584,0.00126,0.16,0.37,93.51,302347,4
27,Lupe Fiasco,The Show Goes On,4NTWZqvfQTlOMitlVn6tew,69,0.591,0.889,7,-3.839,1,0.115,0.0189,0.0,0.155,0.65,143.067,239613,4
28,The Head and the Heart,Rivers and Roads,20svOpmCQao5GUBgSu8zDe,67,0.494,0.194,0,-8.965,1,0.0352,0.699,2.98e-05,0.0803,0.161,135.753,284000,3
29,Birdy,Skinny Love,4RL77hMWUq35NYnPLXBpih,74,0.379,0.29,4,-8.485,1,0.051,0.952,0.00106,0.118,0.169,166.467,201080,4
30,Eric Church,Drink In My Hand,1cktZnxiONH0hR6Q3DKy8h,67,0.626,0.913,0,-4.452,1,0.0318,0.00635,0.0,0.293,0.946,113.044,191307,4
31,Rihanna,We Found Love,6qn9YLKt13AGvpq9jfO8py,73,0.734,0.766,1,-4.485,1,0.0383,0.025,0.00138,0.108,0.6,127.986,215227,4
32,Nicki Minaj,Starships,1oHNvJVbFkexQc0BpQp7Y4,67,0.747,0.716,11,-2.457,0,0.075,0.135,0.0,0.251,0.751,125.008,210627,4
33,Lil Wayne,How To Love,4aX4Oycsk1fhHIee1zqsDe,66,0.644,0.661,11,-6.093,1,0.0418,0.000177,5.14e-06,0.108,0.272,154.001,240307,4
34,Eli Young Band,Crazy Girl,1nVLAEzhBXMJLR5zAl90Nl,66,0.366,0.651,4,-3.842,1,0.031,0.000415,0.00526,0.271,0.257,151.343,200707,3
35,Selena Gomez & The Scene,Who Says,3TcL0dyCMyr0kyTTc4NLgI,73,0.682,0.927,4,-2.915,1,0.0479,0.0843,0.0,0.149,0.744,101.019,195613,4
36,Bruno Mars,It Will Rain,0RUGuh2uSNFJpGMSsD1F5C,65,0.576,0.835,2,-6.826,1,0.0486,0.337,0.0,0.082,0.476,150.017,257720,4
37,Avril Lavigne,What the Hell,2z4U9d5OAA4YLNXoCgioxo,73,0.578,0.926,6,-3.689,0,0.0548,0.00472,0.0127,0.14,0.877,149.976,220707,4
38,Christina Perri,Jar of Hearts,0HZhYMZOcUzZKSFwPOti6m,73,0.349,0.348,3,-6.142,1,0.0316,0.726,0.0,0.12,0.0886,74.541,246587,4
39,Kelly Clarkson,Stronger (What Doesn't Kill You),6D60klaHqbCl9ySc8VcRss,65,0.562,0.939,0,-4.282,1,0.0475,0.046,0.0,0.112,0.684,116.044,221947,4
40,Drake,HYFR (Hell Ya Fucking Right),0m1KYWlT6LhFRBDVq9UNx4,67,0.444,0.627,7,-8.744,0,0.252,0.123,0.0,0.0795,0.359,98.21,206627,3
41,Drake,Take Care,124NFj84ppZ5pAxTuVQYCQ,70,0.629,0.515,0,-10.358,0,0.265,0.0267,1.22e-05,0.0888,0.299,121.845,277387,4
42,Wale,Lotus Flower Bomb (feat. Miguel),3MAgQuClHcAV8E9CbeBS6f,66,0.512,0.598,9,-4.959,0,0.115,0.611,0.0,0.0881,0.345,70.189,213253,4
43,Drake,Doing It Wrong,4eSGSqP2TZvvX0kadZZttM,68,0.397,0.172,6,-15.698,0,0.0445,0.841,6.78e-05,0.108,0.123,101.275,265120,4
44,Kendrick Lamar,A.D.H.D,2Fw5S2gaOSZzdN5dFoC2dj,69,0.609,0.799,9,-6.883,1,0.24,0.33,0.0,0.108,0.582,157.74,215509,4
45,Wiz Khalifa,Black and Yellow,5A6OHHy73AR5tLxgTc98zz,73,0.684,0.834,2,-4.524,0,0.0675,0.0646,0.0,0.271,0.538,164.02,217667,4
46,Beyoncé,Run the World (Girls),1uXbwHHfgsXcUKfSZw5ZJ0,73,0.733,0.899,0,-4.237,1,0.143,0.00496,4.72e-05,0.372,0.76,127.086,236093,4
47,David Guetta,Titanium (feat. Sia),0lHAMNU8RGiIObScrsRgmP,65,0.604,0.787,0,-3.674,0,0.103,0.0679,0.15,0.127,0.301,126.062,245040,4
48,Ed Sheeran,The A Team,1VdZ0vKfR5jneCmWIUAMxK,74,0.642,0.289,9,-9.918,1,0.0367,0.669,0.0,0.18,0.407,84.996,258373,4
49,Coldplay,Paradise,6nek1Nin9q48AVZcWs9e9D,76,0.449,0.585,5,-6.762,1,0.0268,0.0522,8.49e-05,0.0833,0.203,139.627,278719,4
50,Drake,Crew Love,0V4l4GQhgnWQGtCWpvA7va,68,0.418,0.546,0,-9.057,0,0.238,0.227,0.0,0.229,0.294,160.152,208813,4
51,Andy Grammer,Keep Your Head Up,4Jz4bjXeiF2SXVj9P4YfY5,67,0.674,0.778,0,-5.367,1,0.0376,0.0469,0.0,0.145,0.816,90.01,189933,4
